Code,Name,결산월,WICS업종명(중)
A000020,동화약품,12,제약과생물공학
A000040,KR모터스,12,자동차와부품
A000050,경방,12,내구소비재와의류
A000070,삼양홀딩스,12,소재
A000080,하이트진로,12,"식품,음료,담배"
A000100,유한양행,12,제약과생물공학
A000120,CJ대한통운,12,운송
A000140,하이트진로홀딩스,12,"식품,음료,담배"
A000150,두산,12,자본재
A000180,성창기업지주,12,소재
A0001A0,덕양에너젠,12,에너지
A000210,DL,12,소재
A000220,유유제약,12,제약과생물공학
A000230,일동홀딩스,12,제약과생물공학
A000240,한국앤컴퍼니,12,자동차와부품
A000250,삼천당제약,12,제약과생물공학
A000270,기아,12,자동차와부품
A000300,DH오토넥스,12,자동차와부품
A000320,노루홀딩스,12,자본재
A000370,한화손해보험,12,보험
A000390,SP삼화,12,자본재
A000400,롯데손해보험,12,보험
A000430,대원강업,12,자동차와부품
A000440,중앙에너비스,12,에너지
A000480,CR홀딩스,12,소재
A000490,대동,12,자본재
A0004V0,엔비알모션,12,자본재
A000500,가온전선,12,자본재
A000520,삼일제약,12,제약과생물공학
A000540,흥국화재,12,보험
A000590,CS홀딩스,12,소재
A000640,동아쏘시오홀딩스,12,제약과생물공학
A000650,천일고속,12,운송
A000660,SK하이닉스,12,반도체와반도체장비
A000670,영풍,12,기술하드웨어와장비
A000680,LS네트웍스,12,증권
A000700,유수홀딩스,12,운송
A000720,현대건설,12,자본재
A000760,이화산업,12,소재
A0007C0,아크릴,12,소프트웨어와서비스
A0007J0,인벤테라,12,제약과생물공학
A000810,삼성화재,12,보험
A000850,화천기공,12,자본재
A000860,강남제비스코,12,자본재
A000880,한화,12,자본재
A000890,보해양조,12,"식품,음료,담배"
A0008Z0,에스엔시스,12,자본재
A000910,유니온,12,자본재
A000950,전방,12,내구소비재와의류
A000970,한국주철관,12,소재
A000990,DB하이텍,12,반도체와반도체장비
A0009K0,에임드바이오,12,제약과생물공학
A001000,신라섬유,12,부동산
A001020,페이퍼코리아,12,소재
A001040,CJ,12,자본재
A001060,JW중외제약,12,제약과생물공학
A001070,대한방직,12,내구소비재와의류
A001080,만호제강,6,소재
A0010F0,보원케미칼,12,소재
A0010V0,제이피아이헬스케어,12,건강관리장비와서비스
A001120,LX인터내셔널,12,자본재
A001130,대한제분,12,"식품,음료,담배"
A0011A0,액스비스,12,기술하드웨어와장비
A0011T0,채비,12,전자와 전기제품
A001200,유진투자증권,12,증권
A001210,금호전기,12,디스플레이
A001230,동국홀딩스,12,소재
A001250,GS글로벌,12,자본재
A001260,남광토건,12,자본재
A001270,부국증권,12,증권
A001290,상상인증권,12,증권
A001340,PKC,12,소재
A001360,삼성제약,12,제약과생물공학
A001380,SG글로벌,12,자동차와부품
A001390,KG케미칼,12,자동차와부품
A0013V0,삼진식품,12,"식품,음료,담배"
A001420,태원물산,12,자동차와부품
A001430,세아베스틸지주,12,소재
A001440,대한전선,12,자본재
A001450,현대해상,12,보험
A001460,BYC,12,내구소비재와의류
A001470,삼부토건,12,자본재
A001500,현대차증권,12,증권
A001510,SK증권,12,증권
A001520,동양,12,자본재
A001530,DI동일,12,내구소비재와의류
A001540,안국약품,12,제약과생물공학
A001550,조비,12,소재
A001560,제일연마,12,소재
A001570,금양,12,소재
A0015G0,그린광학,12,자본재
A0015N0,아로마티카,12,내구소비재와의류
A0015S0,페스카로,12,자동차와부품
A001620,케이비아이동국실업,12,자동차와부품
A001630,종근당홀딩스,12,제약과생물공학
A001680,대상,12,"식품,음료,담배"
A001720,신영증권,3,증권
A001740,SK네트웍스,12,자본재
A001750,한양증권,12,증권
A001770,SHD,12,소재
A001780,알루코,12,소재
A001790,대한제당,12,"식품,음료,담배"
A0017J0,세미티에스,12,반도체와반도체장비
A001800,오리온홀딩스,12,"식품,음료,담배"
A001810,무림SP,12,소재
A001820,삼화콘덴서,12,전자와 전기제품
A001840,이화공영,12,자본재
A001940,KISCO홀딩스,12,소재
A002020,코오롱,12,자본재
A002030,아세아,12,자본재
A002070,비비안,12,내구소비재와의류
A002100,경농,12,소재
A002140,고려산업,12,"식품,음료,담배"
A002150,도화엔지니어링,12,자본재
A002170,SYTS,12,내구소비재와의류
A002200,한국수출포장,12,소재
A002210,동성제약,12,제약과생물공학
A002220,한일철강,12,소재
A002230,피에스텍,12,전자와 전기제품
A002240,고려제강,12,소재
A002290,삼일기업공사,12,자본재
A002310,아세아제지,12,소재
A002320,한진,12,운송
A002350,넥센타이어,12,자동차와부품
A002360,SH에너지화학,12,소재
A002380,KCC,12,자본재
A002390,한독,12,제약과생물공학
A002410,범양건영,12,자본재
A002420,세기상사,12,에너지
A002450,삼익악기,12,내구소비재와의류
A002460,HS화성,12,자본재
A002600,조흥,12,"식품,음료,담배"
A002620,제일파마홀딩스,12,제약과생물공학
A002630,오리엔트바이오,3,제약과생물공학
A002680,한탑,12,"식품,음료,담배"
A002690,동일제강,12,소재
A002700,신일전자,12,내구소비재와의류
A002710,TCC스틸,12,소재
A002720,국제약품,12,제약과생물공학
A002760,보락,12,"식품,음료,담배"
A002780,진흥기업,12,자본재
A002790,아모레퍼시픽홀딩스,12,내구소비재와의류
A002800,신신제약,12,제약과생물공학
