date,universe,eligible,valid_all8,coverage
2016-01-04,K200,190,154,0.8105263157894737
2016-01-04,KOSPI_EX_K200,479,47,0.09812108559498957
2016-01-04,KOSDAQ,978,51,0.05214723926380368
2016-01-04,KOSPI_ALL,669,201,0.3004484304932735
2016-01-04,KOSPI_KOSDAQ_ALL,1647,252,0.15300546448087432
2016-01-04,KOSDAQ_PLUS_KOSPI_EX_K200,1457,98,0.06726149622512011
2016-01-11,K200,190,166,0.8736842105263158
2016-01-11,KOSPI_EX_K200,479,76,0.15866388308977036
2016-01-11,KOSDAQ,978,88,0.08997955010224949
2016-01-11,KOSPI_ALL,669,242,0.3617339312406577
2016-01-11,KOSPI_KOSDAQ_ALL,1647,330,0.20036429872495445
2016-01-11,KOSDAQ_PLUS_KOSPI_EX_K200,1457,164,0.11256005490734386
2016-01-18,K200,190,166,0.8736842105263158
2016-01-18,KOSPI_EX_K200,479,76,0.15866388308977036
2016-01-18,KOSDAQ,978,89,0.09100204498977506
2016-01-18,KOSPI_ALL,669,242,0.3617339312406577
2016-01-18,KOSPI_KOSDAQ_ALL,1647,331,0.20097146326654525
2016-01-18,KOSDAQ_PLUS_KOSPI_EX_K200,1457,165,0.11324639670555937
2016-01-25,K200,190,166,0.8736842105263158
2016-01-25,KOSPI_EX_K200,479,76,0.15866388308977036
2016-01-25,KOSDAQ,978,87,0.08895705521472393
2016-01-25,KOSPI_ALL,669,242,0.3617339312406577
2016-01-25,KOSPI_KOSDAQ_ALL,1647,329,0.1997571341833637
2016-01-25,KOSDAQ_PLUS_KOSPI_EX_K200,1457,163,0.11187371310912834
2016-02-01,K200,190,164,0.8631578947368421
2016-02-01,KOSPI_EX_K200,479,78,0.162839248434238
2016-02-01,KOSDAQ,979,85,0.08682328907048008
2016-02-01,KOSPI_ALL,669,242,0.3617339312406577
2016-02-01,KOSPI_KOSDAQ_ALL,1648,327,0.19842233009708737
2016-02-01,KOSDAQ_PLUS_KOSPI_EX_K200,1458,163,0.11179698216735254
2016-02-11,K200,190,162,0.8526315789473684
2016-02-11,KOSPI_EX_K200,480,81,0.16875
2016-02-11,KOSDAQ,981,81,0.08256880733944955
2016-02-11,KOSPI_ALL,670,243,0.36268656716417913
2016-02-11,KOSPI_KOSDAQ_ALL,1651,324,0.19624470018170806
2016-02-11,KOSDAQ_PLUS_KOSPI_EX_K200,1461,162,0.11088295687885011
2016-02-18,K200,190,162,0.8526315789473684
2016-02-18,KOSPI_EX_K200,480,76,0.15833333333333333
2016-02-18,KOSDAQ,982,88,0.08961303462321792
2016-02-18,KOSPI_ALL,670,238,0.35522388059701493
2016-02-18,KOSPI_KOSDAQ_ALL,1652,326,0.1973365617433414
2016-02-18,KOSDAQ_PLUS_KOSPI_EX_K200,1462,164,0.1121751025991792
2016-02-25,K200,190,162,0.8526315789473684
2016-02-25,KOSPI_EX_K200,480,72,0.15
2016-02-25,KOSDAQ,982,91,0.09266802443991853
2016-02-25,KOSPI_ALL,670,234,0.3492537313432836
2016-02-25,KOSPI_KOSDAQ_ALL,1652,325,0.1967312348668281
2016-02-25,KOSDAQ_PLUS_KOSPI_EX_K200,1462,163,0.11149110807113544
2016-03-04,K200,190,160,0.8421052631578947
2016-03-04,KOSPI_EX_K200,480,68,0.14166666666666666
2016-03-04,KOSDAQ,984,93,0.09451219512195122
2016-03-04,KOSPI_ALL,670,228,0.3402985074626866
2016-03-04,KOSPI_KOSDAQ_ALL,1654,321,0.19407496977025393
2016-03-04,KOSDAQ_PLUS_KOSPI_EX_K200,1464,161,0.10997267759562841
2016-03-11,K200,190,160,0.8421052631578947
2016-03-11,KOSPI_EX_K200,480,68,0.14166666666666666
2016-03-11,KOSDAQ,985,96,0.09746192893401015
2016-03-11,KOSPI_ALL,670,228,0.3402985074626866
2016-03-11,KOSPI_KOSDAQ_ALL,1655,324,0.1957703927492447
2016-03-11,KOSDAQ_PLUS_KOSPI_EX_K200,1465,164,0.11194539249146758
2016-03-18,K200,190,160,0.8421052631578947
2016-03-18,KOSPI_EX_K200,480,62,0.12916666666666668
2016-03-18,KOSDAQ,985,96,0.09746192893401015
2016-03-18,KOSPI_ALL,670,222,0.33134328358208953
2016-03-18,KOSPI_KOSDAQ_ALL,1655,318,0.19214501510574017
2016-03-18,KOSDAQ_PLUS_KOSPI_EX_K200,1465,158,0.10784982935153584
2016-03-25,K200,190,162,0.8526315789473684
2016-03-25,KOSPI_EX_K200,480,62,0.12916666666666668
2016-03-25,KOSDAQ,985,97,0.09847715736040609
2016-03-25,KOSPI_ALL,670,224,0.33432835820895523
2016-03-25,KOSPI_KOSDAQ_ALL,1655,321,0.19395770392749245
2016-03-25,KOSDAQ_PLUS_KOSPI_EX_K200,1465,159,0.10853242320819112
2016-04-01,K200,190,164,0.8631578947368421
2016-04-01,KOSPI_EX_K200,481,66,0.13721413721413722
2016-04-01,KOSDAQ,985,99,0.10050761421319797
2016-04-01,KOSPI_ALL,671,230,0.34277198211624443
2016-04-01,KOSPI_KOSDAQ_ALL,1656,329,0.19867149758454106
2016-04-01,KOSDAQ_PLUS_KOSPI_EX_K200,1466,165,0.11255115961800818
2016-04-08,K200,190,164,0.8631578947368421
2016-04-08,KOSPI_EX_K200,481,76,0.158004158004158
2016-04-08,KOSDAQ,986,103,0.10446247464503043
2016-04-08,KOSPI_ALL,671,240,0.35767511177347244
2016-04-08,KOSPI_KOSDAQ_ALL,1657,343,0.20700060350030175
2016-04-08,KOSDAQ_PLUS_KOSPI_EX_K200,1467,179,0.12201772324471712
2016-04-18,K200,190,164,0.8631578947368421
2016-04-18,KOSPI_EX_K200,481,74,0.15384615384615385
2016-04-18,KOSDAQ,987,102,0.1033434650455927
2016-04-18,KOSPI_ALL,671,238,0.35469448584202684
2016-04-18,KOSPI_KOSDAQ_ALL,1658,340,0.20506634499396864
2016-04-18,KOSDAQ_PLUS_KOSPI_EX_K200,1468,176,0.11989100817438691
2016-04-25,K200,190,166,0.8736842105263158
2016-04-25,KOSPI_EX_K200,481,78,0.16216216216216217
2016-04-25,KOSDAQ,987,105,0.10638297872340426
2016-04-25,KOSPI_ALL,671,244,0.36363636363636365
2016-04-25,KOSPI_KOSDAQ_ALL,1658,349,0.21049457177322076
2016-04-25,KOSDAQ_PLUS_KOSPI_EX_K200,1468,183,0.12465940054495912
2016-05-02,K200,190,166,0.8736842105263158
2016-05-02,KOSPI_EX_K200,481,76,0.158004158004158
2016-05-02,KOSDAQ,988,103,0.10425101214574899
2016-05-02,KOSPI_ALL,671,242,0.36065573770491804
2016-05-02,KOSPI_KOSDAQ_ALL,1659,345,0.20795660036166366
2016-05-02,KOSDAQ_PLUS_KOSPI_EX_K200,1469,179,0.12185159972770593
2016-05-11,K200,190,169,0.8894736842105263
2016-05-11,KOSPI_EX_K200,482,77,0.15975103734439833
2016-05-11,KOSDAQ,987,103,0.10435663627152988
2016-05-11,KOSPI_ALL,672,246,0.36607142857142855
2016-05-11,KOSPI_KOSDAQ_ALL,1659,349,0.2103676913803496
2016-05-11,KOSDAQ_PLUS_KOSPI_EX_K200,1469,180,0.12253233492171545
2016-05-18,K200,190,168,0.8842105263157894
2016-05-18,KOSPI_EX_K200,482,81,0.16804979253112035
2016-05-18,KOSDAQ,987,100,0.10131712259371833
2016-05-18,KOSPI_ALL,672,249,0.3705357142857143
2016-05-18,KOSPI_KOSDAQ_ALL,1659,349,0.2103676913803496
2016-05-18,KOSDAQ_PLUS_KOSPI_EX_K200,1469,181,0.12321307011572498
2016-05-25,K200,190,167,0.8789473684210526
2016-05-25,KOSPI_EX_K200,482,80,0.16597510373443983
2016-05-25,KOSDAQ,987,100,0.10131712259371833
2016-05-25,KOSPI_ALL,672,247,0.36755952380952384
2016-05-25,KOSPI_KOSDAQ_ALL,1659,347,0.20916214587100662
2016-05-25,KOSDAQ_PLUS_KOSPI_EX_K200,1469,180,0.12253233492171545
2016-06-01,K200,190,168,0.8842105263157894
2016-06-01,KOSPI_EX_K200,483,77,0.15942028985507245
2016-06-01,KOSDAQ,987,98,0.09929078014184398
2016-06-01,KOSPI_ALL,673,245,0.3640416047548291
2016-06-01,KOSPI_KOSDAQ_ALL,1660,343,0.20662650602409638
2016-06-01,KOSDAQ_PLUS_KOSPI_EX_K200,1470,175,0.11904761904761904
2016-06-09,K200,190,171,0.9
2016-06-09,KOSPI_EX_K200,483,77,0.15942028985507245
2016-06-09,KOSDAQ,989,99,0.10010111223458039
2016-06-09,KOSPI_ALL,673,248,0.3684992570579495
2016-06-09,KOSPI_KOSDAQ_ALL,1662,347,0.20878459687123946
