date,basic_rows,listed_kospi,listed_kosdaq,basic_k200,udf_kospi,udf_k200,k200_symmetric_difference,kospi_symmetric_difference,listed_return_coverage,listed_mcap_positive_coverage,listed_trading_amount_coverage,listed_trading_positive_share,daily_return_abs_gt_50pct,daily_return_le_minus100pct,k200_flag_outside_kospi
2016-01-04,2557,669,978,190,669,190,0,0,1.0,1.0,1.0,0.9914996964177292,0,0,0
2016-01-11,2557,669,978,190,669,190,0,0,1.0,1.0,1.0,0.9927140255009107,0,0,0
2016-01-18,2557,669,978,190,669,190,0,0,1.0,1.0,1.0,0.99210686095932,0,0,0
2016-01-25,2557,669,978,190,669,190,0,0,1.0,1.0,1.0,0.9914996964177292,0,0,0
2016-02-01,2557,669,979,190,669,190,0,0,1.0,1.0,1.0,0.9890776699029126,0,0,0
2016-02-11,2557,670,981,190,670,190,0,0,1.0,1.0,1.0,0.9909145972138098,0,0,0
2016-02-18,2557,670,982,190,670,190,0,0,1.0,1.0,1.0,0.9915254237288136,0,0,0
2016-02-25,2557,670,982,190,670,190,0,0,1.0,1.0,1.0,0.9909200968523002,0,0,0
2016-03-04,2557,670,984,190,670,190,0,0,0.9993954050785974,1.0,1.0,0.9909310761789601,0,0,0
2016-03-11,2557,670,985,190,670,190,0,0,0.9993957703927493,1.0,1.0,0.9903323262839879,0,0,0
2016-03-18,2557,670,985,190,670,190,0,0,1.0,1.0,1.0,0.9897280966767371,0,0,0
2016-03-25,2557,670,985,190,670,190,0,0,1.0,1.0,1.0,0.9897280966767371,0,0,0
2016-04-01,2557,671,985,190,671,190,0,0,1.0,1.0,1.0,0.9891304347826086,0,0,0
2016-04-08,2557,671,986,190,671,190,0,0,1.0,1.0,1.0,0.987929993964997,0,0,0
2016-04-18,2557,671,987,190,671,190,0,0,1.0,1.0,1.0,0.9873341375150784,0,0,0
2016-04-25,2557,671,987,190,671,190,0,0,1.0,1.0,1.0,0.9867310012062727,0,0,0
2016-05-02,2557,671,988,190,671,190,0,0,0.9993972272453285,1.0,1.0,0.9783001808318263,0,0,0
2016-05-11,2557,672,987,190,672,190,0,0,0.9993972272453285,1.0,1.0,0.9776974080771549,0,0,0
2016-05-18,2557,672,987,190,672,190,0,0,1.0,1.0,1.0,0.9849306811332128,0,0,0
2016-05-25,2557,672,987,190,672,190,0,0,1.0,1.0,1.0,0.9885473176612417,0,0,0
2016-06-01,2557,673,987,190,673,190,0,0,1.0,1.0,1.0,0.9921686746987952,0,0,0
2016-06-09,2557,673,989,190,673,190,0,0,0.9993983152827918,1.0,1.0,0.9927797833935018,0,0,0
2016-06-16,2557,673,989,190,673,190,0,0,1.0,1.0,1.0,0.9915764139590855,0,0,0
2016-06-23,2557,673,992,190,673,190,0,0,0.9987987987987988,1.0,1.0,0.9921921921921922,0,0,0
2016-06-30,2557,674,993,190,674,190,0,0,0.9994001199760048,1.0,1.0,0.991001799640072,0,0,0
2016-07-07,2557,674,995,190,674,190,0,0,1.0,1.0,1.0,0.9910125823846615,0,0,0
2016-07-14,2557,676,994,190,676,190,0,0,1.0,1.0,1.0,0.9898203592814371,0,0,0
2016-07-21,2557,677,994,190,677,190,0,0,1.0,1.0,1.0,0.9886295631358468,0,0,0
2016-07-28,2557,677,996,190,677,190,0,0,0.9994022713687986,1.0,1.0,0.9886431560071728,0,0,0
2016-08-04,2557,678,996,190,678,190,0,0,1.0,1.0,1.0,0.9904420549581839,0,0,0
2016-08-11,2557,679,997,190,679,190,0,0,1.0,1.0,1.0,0.9886634844868735,0,0,0
2016-08-19,2557,679,998,190,679,190,0,0,1.0,1.0,1.0,0.9886702444841979,0,0,0
