year,universe,median_all8_coverage,sampled_dates
2016,K200,0.8842105263157894,50
2016,KOSDAQ,0.10000060606734015,50
2016,KOSPI_EX_K200,0.1554175293305728,50
2017,K200,0.8645833333333334,48
2017,KOSDAQ,0.0935863779817574,48
2017,KOSPI_EX_K200,0.16168032133635118,48
2018,K200,0.8549222797927462,49
2018,KOSDAQ,0.10526315789473684,49
2018,KOSPI_EX_K200,0.16538461538461538,49
2019,K200,0.8489583333333334,49
2019,KOSDAQ,0.08500400962309543,49
2019,KOSPI_EX_K200,0.14555765595463138,49
2020,K200,0.8359375,50
2020,KOSDAQ,0.09664914633968535,50
2020,KOSPI_EX_K200,0.13015592969721412,50
2021,K200,0.8307692307692308,49
2021,KOSDAQ,0.11077618688771665,49
2021,KOSPI_EX_K200,0.1634446397188049,49
2022,K200,0.8641025641025641,50
2022,KOSDAQ,0.09639389736477115,50
2022,KOSPI_EX_K200,0.15452162920482226,50
2023,K200,0.868020304568528,49
2023,KOSDAQ,0.09001956947162426,49
2023,KOSPI_EX_K200,0.13917525773195877,49
2024,K200,0.8661709563043645,48
2024,KOSDAQ,0.08557665260196906,48
2024,KOSPI_EX_K200,0.1669449081803005,48
2025,K200,0.8484848484848485,49
2025,KOSDAQ,0.08328445747800586,49
2025,KOSPI_EX_K200,0.17109634551495018,49
2026,K200,0.865,30
2026,KOSDAQ,0.08723281340265743,30
2026,KOSPI_EX_K200,0.16242832916094646,30
