date,year,universe,eligible,valid_all8,coverage
2016-01-04,2016,K200,190,154,0.8105263157894737
2016-01-04,2016,KOSPI_EX_K200,479,47,0.09812108559498957
2016-01-04,2016,KOSDAQ,978,51,0.05214723926380368
2016-01-11,2016,K200,190,166,0.8736842105263158
2016-01-11,2016,KOSPI_EX_K200,479,76,0.15866388308977036
2016-01-11,2016,KOSDAQ,978,88,0.08997955010224949
2016-01-18,2016,K200,190,166,0.8736842105263158
2016-01-18,2016,KOSPI_EX_K200,479,76,0.15866388308977036
2016-01-18,2016,KOSDAQ,978,89,0.09100204498977506
2016-01-25,2016,K200,190,166,0.8736842105263158
2016-01-25,2016,KOSPI_EX_K200,479,76,0.15866388308977036
2016-01-25,2016,KOSDAQ,978,87,0.08895705521472393
2016-02-01,2016,K200,190,164,0.8631578947368421
2016-02-01,2016,KOSPI_EX_K200,479,78,0.162839248434238
2016-02-01,2016,KOSDAQ,979,85,0.08682328907048008
2016-02-11,2016,K200,190,162,0.8526315789473684
2016-02-11,2016,KOSPI_EX_K200,480,81,0.16875
2016-02-11,2016,KOSDAQ,981,81,0.08256880733944955
2016-02-18,2016,K200,190,162,0.8526315789473684
2016-02-18,2016,KOSPI_EX_K200,480,76,0.15833333333333333
2016-02-18,2016,KOSDAQ,982,88,0.08961303462321792
2016-02-25,2016,K200,190,162,0.8526315789473684
2016-02-25,2016,KOSPI_EX_K200,480,72,0.15
2016-02-25,2016,KOSDAQ,982,91,0.09266802443991853
2016-03-04,2016,K200,190,160,0.8421052631578947
2016-03-04,2016,KOSPI_EX_K200,480,68,0.14166666666666666
2016-03-04,2016,KOSDAQ,984,93,0.09451219512195122
2016-03-11,2016,K200,190,160,0.8421052631578947
2016-03-11,2016,KOSPI_EX_K200,480,68,0.14166666666666666
2016-03-11,2016,KOSDAQ,985,96,0.09746192893401015
2016-03-18,2016,K200,190,160,0.8421052631578947
2016-03-18,2016,KOSPI_EX_K200,480,62,0.12916666666666668
2016-03-18,2016,KOSDAQ,985,96,0.09746192893401015
2016-03-25,2016,K200,190,162,0.8526315789473684
2016-03-25,2016,KOSPI_EX_K200,480,62,0.12916666666666668
2016-03-25,2016,KOSDAQ,985,97,0.09847715736040609
2016-04-01,2016,K200,190,164,0.8631578947368421
2016-04-01,2016,KOSPI_EX_K200,481,66,0.13721413721413722
2016-04-01,2016,KOSDAQ,985,99,0.10050761421319797
2016-04-08,2016,K200,190,164,0.8631578947368421
2016-04-08,2016,KOSPI_EX_K200,481,76,0.158004158004158
2016-04-08,2016,KOSDAQ,986,103,0.10446247464503043
2016-04-18,2016,K200,190,164,0.8631578947368421
2016-04-18,2016,KOSPI_EX_K200,481,74,0.15384615384615385
2016-04-18,2016,KOSDAQ,987,102,0.1033434650455927
2016-04-25,2016,K200,190,166,0.8736842105263158
2016-04-25,2016,KOSPI_EX_K200,481,78,0.16216216216216217
2016-04-25,2016,KOSDAQ,987,105,0.10638297872340426
2016-05-02,2016,K200,190,166,0.8736842105263158
2016-05-02,2016,KOSPI_EX_K200,481,76,0.158004158004158
2016-05-02,2016,KOSDAQ,988,103,0.10425101214574899
2016-05-11,2016,K200,190,169,0.8894736842105263
2016-05-11,2016,KOSPI_EX_K200,482,77,0.15975103734439833
2016-05-11,2016,KOSDAQ,987,103,0.10435663627152988
2016-05-18,2016,K200,190,168,0.8842105263157894
2016-05-18,2016,KOSPI_EX_K200,482,81,0.16804979253112035
2016-05-18,2016,KOSDAQ,987,100,0.10131712259371833
2016-05-25,2016,K200,190,167,0.8789473684210526
2016-05-25,2016,KOSPI_EX_K200,482,80,0.16597510373443983
2016-05-25,2016,KOSDAQ,987,100,0.10131712259371833
2016-06-01,2016,K200,190,168,0.8842105263157894
2016-06-01,2016,KOSPI_EX_K200,483,77,0.15942028985507245
2016-06-01,2016,KOSDAQ,987,98,0.09929078014184398
2016-06-09,2016,K200,190,171,0.9
2016-06-09,2016,KOSPI_EX_K200,483,77,0.15942028985507245
2016-06-09,2016,KOSDAQ,989,99,0.10010111223458039
2016-06-16,2016,K200,190,172,0.9052631578947369
2016-06-16,2016,KOSPI_EX_K200,483,74,0.15320910973084886
2016-06-16,2016,KOSDAQ,989,99,0.10010111223458039
2016-06-23,2016,K200,190,172,0.9052631578947369
2016-06-23,2016,KOSPI_EX_K200,483,75,0.15527950310559005
2016-06-23,2016,KOSDAQ,992,103,0.10383064516129033
2016-06-30,2016,K200,190,171,0.9
2016-06-30,2016,KOSPI_EX_K200,484,71,0.14669421487603307
2016-06-30,2016,KOSDAQ,993,104,0.10473313192346426
2016-07-07,2016,K200,190,172,0.9052631578947369
2016-07-07,2016,KOSPI_EX_K200,484,74,0.15289256198347106
2016-07-07,2016,KOSDAQ,995,103,0.1035175879396985
2016-07-14,2016,K200,190,171,0.9
2016-07-14,2016,KOSPI_EX_K200,486,77,0.15843621399176955
2016-07-14,2016,KOSDAQ,994,107,0.10764587525150905
2016-07-21,2016,K200,190,170,0.8947368421052632
2016-07-21,2016,KOSPI_EX_K200,487,74,0.15195071868583163
2016-07-21,2016,KOSDAQ,994,105,0.1056338028169014
2016-07-28,2016,K200,190,170,0.8947368421052632
2016-07-28,2016,KOSPI_EX_K200,487,77,0.15811088295687886
2016-07-28,2016,KOSDAQ,996,105,0.10542168674698796
2016-08-04,2016,K200,190,172,0.9052631578947369
2016-08-04,2016,KOSPI_EX_K200,488,80,0.16393442622950818
2016-08-04,2016,KOSDAQ,996,111,0.11144578313253012
2016-08-11,2016,K200,190,171,0.9
2016-08-11,2016,KOSPI_EX_K200,489,81,0.1656441717791411
2016-08-11,2016,KOSDAQ,997,107,0.10732196589769308
2016-08-19,2016,K200,190,169,0.8894736842105263
2016-08-19,2016,KOSPI_EX_K200,489,85,0.1738241308793456
2016-08-19,2016,KOSDAQ,998,106,0.1062124248496994
2016-08-26,2016,K200,190,170,0.8947368421052632
2016-08-26,2016,KOSPI_EX_K200,489,85,0.1738241308793456
2016-08-26,2016,KOSDAQ,998,107,0.10721442885771543
2016-09-02,2016,K200,190,168,0.8842105263157894
2016-09-02,2016,KOSPI_EX_K200,490,79,0.16122448979591836
2016-09-02,2016,KOSDAQ,998,105,0.10521042084168336
2016-09-09,2016,K200,190,168,0.8842105263157894
2016-09-09,2016,KOSPI_EX_K200,490,79,0.16122448979591836
2016-09-09,2016,KOSDAQ,1001,100,0.0999000999000999
2016-09-21,2016,K200,190,168,0.8842105263157894
2016-09-21,2016,KOSPI_EX_K200,490,76,0.15510204081632653
2016-09-21,2016,KOSDAQ,1002,104,0.10379241516966067
2016-09-28,2016,K200,190,170,0.8947368421052632
2016-09-28,2016,KOSPI_EX_K200,491,78,0.15885947046843177
2016-09-28,2016,KOSDAQ,1002,104,0.10379241516966067
2016-10-06,2016,K200,190,168,0.8842105263157894
2016-10-06,2016,KOSPI_EX_K200,492,76,0.15447154471544716
2016-10-06,2016,KOSDAQ,1003,108,0.10767696909272183
2016-10-13,2016,K200,190,168,0.8842105263157894
2016-10-13,2016,KOSPI_EX_K200,492,74,0.15040650406504066
2016-10-13,2016,KOSDAQ,1006,103,0.10238568588469185
2016-10-20,2016,K200,191,169,0.8848167539267016
2016-10-20,2016,KOSPI_EX_K200,491,69,0.14052953156822812
2016-10-20,2016,KOSDAQ,1009,97,0.09613478691774034
2016-10-27,2016,K200,191,170,0.8900523560209425
2016-10-27,2016,KOSPI_EX_K200,492,69,0.1402439024390244
2016-10-27,2016,KOSDAQ,1010,95,0.09405940594059406
2016-11-03,2016,K200,191,170,0.8900523560209425
2016-11-03,2016,KOSPI_EX_K200,492,73,0.1483739837398374
2016-11-03,2016,KOSDAQ,1015,94,0.09261083743842365
2016-11-10,2016,K200,191,171,0.8952879581151832
2016-11-10,2016,KOSPI_EX_K200,493,70,0.14198782961460446
2016-11-10,2016,KOSDAQ,1017,93,0.09144542772861357
2016-11-17,2016,K200,191,170,0.8900523560209425
2016-11-17,2016,KOSPI_EX_K200,493,70,0.14198782961460446
2016-11-17,2016,KOSDAQ,1017,89,0.08751229105211406
2016-11-24,2016,K200,191,168,0.8795811518324608
2016-11-24,2016,KOSPI_EX_K200,494,70,0.1417004048582996
2016-11-24,2016,KOSDAQ,1018,85,0.08349705304518663
2016-12-01,2016,K200,191,168,0.8795811518324608
2016-12-01,2016,KOSPI_EX_K200,494,72,0.145748987854251
2016-12-01,2016,KOSDAQ,1022,90,0.08806262230919765
2016-12-08,2016,K200,191,168,0.8795811518324608
2016-12-08,2016,KOSPI_EX_K200,495,72,0.14545454545454545
2016-12-08,2016,KOSDAQ,1026,86,0.08382066276803118
2016-12-15,2016,K200,191,167,0.8743455497382199
2016-12-15,2016,KOSPI_EX_K200,495,76,0.15353535353535352
2016-12-15,2016,KOSDAQ,1028,94,0.0914396887159533
2016-12-22,2016,K200,191,167,0.8743455497382199
2016-12-22,2016,KOSPI_EX_K200,495,77,0.15555555555555556
