date,n_factor_files,median_pairwise_rowset_jaccard,min_pairwise_rowset_jaccard,mom1m_rows_in_listed,top_mcap_n_jaccard,share_factor_rows_in_top_mcap_n,median_mcap_pct_rank_of_factor_rows
2016-01-04,8,1.0,1.0,472,0.5250403877221325,0.6885593220338984,0.8324225865209471
2016-01-11,8,1.0,1.0,473,0.9749478079331941,0.9873150105708245,0.856709168184578
2016-01-18,8,1.0,1.0,470,0.9831223628691983,0.9914893617021276,0.8576199149969641
2016-01-25,8,1.0,1.0,455,0.9868995633187773,0.9934065934065934,0.8621736490588949
2016-02-01,8,1.0,1.0,462,0.9743589743589743,0.987012987012987,0.8601334951456311
2016-02-11,8,1.0,1.0,472,0.9748953974895398,0.9872881355932204,0.857359176256814
2016-02-18,8,1.0,1.0,456,0.974025974025974,0.9868421052631579,0.8622881355932204
2016-02-25,8,1.0,1.0,467,0.9872340425531915,0.9935760171306209,0.8589588377723971
2016-03-04,8,1.0,1.0,467,0.9872340425531915,0.9935760171306209,0.8591293833131801
2016-03-11,8,1.0,1.0,479,0.9834368530020704,0.9916492693110647,0.8555891238670695
2016-03-18,8,1.0,1.0,477,0.9833679833679834,0.9916142557651991,0.8561933534743202
2016-03-25,8,1.0,1.0,476,0.975103734439834,0.9873949579831933,0.8564954682779455
2016-04-01,8,1.0,1.0,482,0.9794661190965093,0.9896265560165975,0.8547705314009661
2016-04-08,8,1.0,1.0,490,0.9838056680161943,0.9918367346938776,0.8524441762220881
2016-04-18,8,1.0,1.0,490,0.971830985915493,0.9857142857142858,0.8525331724969842
2016-04-25,8,1.0,1.0,495,0.9839679358717435,0.9919191919191919,0.8510253317249699
2016-05-02,8,1.0,1.0,497,0.9840319361277445,0.9919517102615694,0.8499095840867993
2016-05-11,8,1.0,1.0,487,0.9796747967479674,0.9897330595482546,0.8535262206148282
2016-05-18,8,1.0,1.0,495,0.9642857142857143,0.9818181818181818,0.8511151295961422
2016-05-25,8,1.0,1.0,490,0.971830985915493,0.9857142857142858,0.852622061482821
2016-06-01,8,1.0,1.0,489,0.979757085020243,0.9897750511247444,0.8530120481927711
2016-06-09,8,1.0,1.0,504,0.96875,0.9841269841269841,0.8486762936221419
2016-06-16,8,1.0,1.0,494,0.9839357429718876,0.9919028340080972,0.851684717208183
2016-06-23,8,1.0,1.0,496,0.9760956175298805,0.9879032258064516,0.8507507507507508
2016-06-30,8,1.0,1.0,480,0.9753086419753086,0.9875,0.8563287342531494
2016-07-07,8,1.0,1.0,498,0.9801192842942346,0.9899598393574297,0.8511084481725584
2016-07-14,8,1.0,1.0,503,0.9725490196078431,0.9860834990059643,0.8491017964071856
2016-07-21,8,1.0,1.0,504,0.96875,0.9841269841269841,0.8494913225613405
2016-07-28,8,1.0,1.0,511,0.97678916827853,0.9882583170254403,0.8475791990436342
2016-08-04,8,1.0,1.0,510,0.9805825242718447,0.9901960784313726,0.8479689366786141
2016-08-11,8,1.0,1.0,511,0.9806201550387597,0.9902152641878669,0.8478520286396182
2016-08-19,8,1.0,1.0,507,0.9843444227005871,0.9921104536489151,0.8491353607632678
2016-08-26,8,1.0,1.0,502,0.9881188118811881,0.9940239043824701,0.8506261180679785
2016-09-02,8,1.0,1.0,485,0.983640081799591,0.9917525773195877,0.8557806912991657
2016-09-09,8,1.0,1.0,491,0.9718875502008032,0.9857433808553971,0.8542534205829864
2016-09-21,8,1.0,1.0,488,0.9757085020242915,0.9877049180327869,0.8552318668252081
2016-09-28,8,1.0,1.0,502,0.9881188118811881,0.9940239043824701,0.8511586452762924
2016-10-06,8,1.0,1.0,502,0.9960238568588469,0.99800796812749,0.8513353115727003
2016-10-13,8,1.0,1.0,496,0.9800399201596807,0.9899193548387096,0.8533767772511849
2016-10-20,8,1.0,1.0,488,0.9797160243407708,0.9897540983606558,0.8560023654642224
2016-10-27,8,1.0,1.0,483,0.9795081967213115,0.989648033126294,0.8576491435321913
2016-11-03,8,1.0,1.0,476,0.975103734439834,0.9873949579831933,0.8601295641931684
2016-11-10,8,1.0,1.0,480,0.9672131147540983,0.9833333333333333,0.8580246913580247
2016-11-17,8,1.0,1.0,473,0.9749478079331941,0.9873150105708245,0.8612580834803057
2016-11-24,8,1.0,1.0,465,0.9745222929936306,0.9870967741935484,0.8637698179682912
2016-12-01,8,1.0,1.0,464,0.987152034261242,0.9935344827586207,0.864381956649092
2016-12-08,8,1.0,1.0,458,0.9869848156182213,0.9934497816593887,0.8665303738317757
2016-12-15,8,1.0,1.0,466,0.9704016913319239,0.9849785407725322,0.8643523920653442
2016-12-22,8,1.0,1.0,479,0.9834368530020704,0.9916492693110647,0.8606413994169096
2016-12-29,8,1.0,1.0,485,0.9795918367346939,0.9896907216494846,0.8589743589743589
2017-01-06,8,1.0,1.0,495,0.9919517102615694,0.9959595959595959,0.8560606060606061
2017-01-13,8,1.0,1.0,490,0.9797979797979798,0.9897959183673469,0.8575174825174825
2017-01-20,8,1.0,1.0,486,0.9877300613496932,0.9938271604938271,0.8586829836829837
2017-01-31,8,1.0,1.0,481,0.987603305785124,0.9937629937629938,0.860302677532014
2017-02-07,8,1.0,1.0,479,0.9793388429752066,0.9895615866388309,0.8609656777196044
2017-02-14,8,1.0,1.0,481,0.9753593429158111,0.9875259875259875,0.8603839441535777
2017-02-21,8,1.0,1.0,489,0.9757575757575757,0.9877300613496932,0.8580570098894706
2017-02-28,8,1.0,1.0,480,0.979381443298969,0.9895833333333334,0.8609982588508416
2017-03-08,8,1.0,1.0,478,0.983402489626556,0.9916317991631799,0.8616589327146171
2017-03-15,8,1.0,1.0,489,0.963855421686747,0.9815950920245399,0.8585507246376811
2017-03-22,8,1.0,1.0,480,0.979381443298969,0.9895833333333334,0.8612398609501739
2017-03-29,8,1.0,1.0,488,0.983739837398374,0.9918032786885246,0.8590856481481481
2017-04-05,8,1.0,1.0,501,0.9724409448818898,0.9860279441117764,0.8554077501445922
2017-04-12,8,1.0,1.0,491,0.9838383838383838,0.9918533604887984,0.8586266589728794
2017-04-19,8,1.0,1.0,501,0.9802371541501976,0.9900199600798403,0.8557414887478362
2017-04-26,8,1.0,1.0,499,0.9801587301587301,0.9899799599198397,0.8563185227928448
2017-05-08,8,1.0,1.0,501,0.9724409448818898,0.9860279441117764,0.8560736902705814
2017-05-16,8,1.0,1.0,510,0.9729206963249516,0.9862745098039216,0.8539035591274398
2017-05-23,8,1.0,1.0,502,0.9763779527559056,0.9880478087649402,0.8562822719449226
2017-05-30,8,1.0,1.0,510,0.9805825242718447,0.9901960784313726,0.8539873780837637
2017-06-07,8,1.0,1.0,519,0.9771428571428571,0.9884393063583815,0.8511734401831712
2017-06-14,8,1.0,1.0,519,0.9809160305343512,0.9903660886319846,0.8518306636155606
2017-06-21,8,1.0,1.0,519,0.9809160305343512,0.9903660886319846,0.8518306636155606
2017-06-28,8,1.0,1.0,519,0.9847036328871893,0.9922928709055877,0.852
2017-07-05,8,1.0,1.0,515,0.9845857418111753,0.9922330097087378,0.8532267275842376
2017-07-12,8,1.0,1.0,506,0.984313725490196,0.9920948616600791,0.8560433295324972
2017-07-19,8,1.0,1.0,511,0.97678916827853,0.9882583170254403,0.8547835990888383
2017-07-26,8,1.0,1.0,518,0.9733333333333334,0.9864864864864865,0.8528742174160501
2017-08-02,8,1.0,1.0,504,0.96875,0.9841269841269841,0.8570210346787948
2017-08-09,8,1.0,1.0,505,0.9881889763779528,0.994059405940594,0.8569807037457434
2017-08-17,8,1.0,1.0,501,0.9802371541501976,0.9900199600798403,0.8582766439909297
2017-08-24,8,1.0,1.0,508,0.9728155339805825,0.9862204724409449,0.8564552661381654
2017-08-31,8,1.0,1.0,516,0.9846153846153847,0.9922480620155039,0.854272778720996
2017-09-07,8,1.0,1.0,507,0.9843444227005871,0.9921104536489151,0.8569004524886877
2017-09-14,8,1.0,1.0,511,0.972972972972973,0.9863013698630136,0.8552854720180894
2017-09-21,8,1.0,1.0,516,0.9884393063583815,0.9941860465116279,0.8546839729119639
2017-09-28,8,1.0,1.0,485,0.9795918367346939,0.9896907216494846,0.8636619718309859
2017-10-13,8,1.0,1.0,499,0.9801587301587301,0.9899799599198397,0.8598761958356781
2017-10-20,8,1.0,1.0,487,0.97165991902834,0.9856262833675564,0.863406408094435
2017-10-27,8,1.0,1.0,507,0.9766081871345029,0.9881656804733728,0.8578651685393258
2017-11-03,8,1.0,1.0,514,0.9807321772639692,0.9902723735408561,0.8560606060606061
2017-11-10,8,1.0,1.0,524,0.9810964083175804,0.9904580152671756,0.8533370723499719
2017-11-17,8,1.0,1.0,534,0.9777777777777777,0.9887640449438202,0.8505328098710039
2017-11-24,8,1.0,1.0,536,0.9815157116451017,0.9906716417910447,0.8494955156950672
2017-12-01,8,1.0,1.0,535,0.974169741697417,0.9869158878504672,0.8505039193729004
2017-12-08,8,1.0,1.0,546,0.9640287769784173,0.9816849816849816,0.8464325529542921
2017-12-15,8,1.0,1.0,542,0.9926470588235294,0.996309963099631,0.8493036211699165
2017-12-22,8,1.0,1.0,539,0.9852670349907919,0.9925788497217068,0.8502227171492205
2018-01-03,8,1.0,1.0,543,0.9709618874773139,0.9852670349907919,0.8491930996104619
2018-01-10,8,1.0,1.0,564,0.9789473684210527,0.9893617021276596,0.8434371523915462
2018-01-17,8,1.0,1.0,559,0.9648506151142355,0.9821109123434705,0.8449138410227904
2018-01-24,8,1.0,1.0,574,0.9793103448275862,0.9895470383275261,0.8407448582545859
2018-01-31,8,1.0,1.0,595,0.9767441860465116,0.9882352941176471,0.8350916157690172
2018-02-07,8,1.0,1.0,572,0.9758203799654577,0.9877622377622378,0.8416528008874099
2018-02-14,8,1.0,1.0,568,0.9825479930191972,0.9911971830985915,0.8431101272827892
2018-02-23,8,1.0,1.0,581,0.9863247863247864,0.9931153184165232,0.839690436705362
2018-03-05,8,1.0,1.0,574,0.9827288428324698,0.9912891986062717,0.8416252072968491
2018-03-12,8,1.0,1.0,569,0.9791304347826087,0.9894551845342706,0.8430071862907684
2018-03-19,8,1.0,1.0,588,0.9797979797979798,0.9897959183673469,0.8378453038674034
2018-03-26,8,1.0,1.0,590,0.9831932773109243,0.9915254237288136,0.8373826615129762
2018-04-02,8,1.0,1.0,584,0.9796610169491525,0.9897260273972602,0.8391280353200883
2018-04-09,8,1.0,1.0,579,0.9761092150170648,0.9879101899827288,0.840683572216097
2018-04-16,8,1.0,1.0,589,0.9798319327731092,0.9898132427843803,0.8379272326350606
2018-04-23,8,1.0,1.0,599,0.9703947368421053,0.9849749582637729,0.8351708930540243
2018-04-30,8,1.0,1.0,601,0.9640522875816994,0.9816971713810316,0.834619625137817
2018-05-09,8,1.0,1.0,606,0.9803921568627451,0.9900990099009901,0.8332414553472989
2018-05-16,8,1.0,1.0,609,0.970873786407767,0.9852216748768473,0.8324145534729879
2018-05-24,8,1.0,1.0,608,0.9708265802269044,0.9851973684210527,0.8326901874310915
2018-05-31,8,1.0,1.0,603,0.967373572593801,0.9834162520729685,0.8342511013215859
2018-06-08,8,1.0,1.0,603,0.9705882352941176,0.9850746268656716,0.834524463991204
