date,year,basic_rows,listed,kospi,kosdaq,k200,listed_overlap_with_final,listed_not_in_final,final_listed_not_yet_listed
2016-12-29,2016,2557,1716,686,1030,192,1707,9,839
2017-12-28,2017,2557,1797,705,1092,192,1788,9,758
2018-12-28,2018,2557,1892,722,1170,193,1882,10,664
2019-12-30,2019,2557,1985,735,1250,192,1975,10,571
2020-12-30,2020,2557,2065,743,1322,193,2055,10,491
2021-12-30,2021,2557,2163,764,1399,195,2152,11,394
2022-12-29,2022,2557,2242,770,1472,195,2231,11,315
2023-12-28,2023,2557,2347,786,1561,197,2336,11,210
2024-12-30,2024,2557,2445,800,1645,198,2434,11,112
2025-12-30,2025,2557,2537,809,1728,200,2526,11,20
2026-08-07,2026,2557,2546,807,1739,200,2546,0,0
