date,side,code,mcap,market
2016-01-04,factor_below_cutoff,A075580,118.13,KOSPI
2016-01-04,factor_below_cutoff,A048410,181.79,KOSDAQ
2016-01-04,factor_below_cutoff,A119850,69.26,KOSDAQ
2016-01-04,factor_below_cutoff,A016590,96.92,KOSPI
2016-01-04,factor_below_cutoff,A215200,142.25,KOSDAQ
2016-01-04,factor_below_cutoff,A103590,186.51,KOSPI
2016-01-04,factor_below_cutoff,A099320,76.49,KOSDAQ
2016-01-04,factor_below_cutoff,A160980,54.6,KOSDAQ
2016-01-04,factor_below_cutoff,A122640,80.27,KOSDAQ
2016-01-04,factor_below_cutoff,A101930,47.5,KOSDAQ
2016-01-04,factor_below_cutoff,A003160,198.43,KOSPI
2016-01-04,factor_below_cutoff,A047920,79.36,KOSDAQ
2016-01-04,factor_below_cutoff,A007660,185.71,KOSPI
2016-01-04,factor_below_cutoff,A090360,88.53,KOSDAQ
2016-01-04,factor_below_cutoff,A002310,152.71,KOSPI
2016-01-04,factor_below_cutoff,A099440,93.95,KOSDAQ
2016-01-04,factor_below_cutoff,A036890,107.2,KOSDAQ
2016-01-04,factor_below_cutoff,A092460,67.89,KOSDAQ
2016-01-04,factor_below_cutoff,A035890,164.74,KOSDAQ
2016-01-04,factor_below_cutoff,A001820,125.78,KOSPI
2016-01-04,factor_below_cutoff,A064260,189.04,KOSDAQ
2016-01-04,factor_below_cutoff,A078600,47.12,KOSDAQ
2016-01-04,factor_below_cutoff,A161000,173.66,KOSPI
2016-01-04,factor_below_cutoff,A090710,43.48,KOSDAQ
2016-01-04,factor_below_cutoff,A006340,159.37,KOSPI
2016-01-04,factor_below_cutoff,A012030,86.97,KOSPI
2016-01-04,factor_below_cutoff,A058610,89.81,KOSDAQ
2016-01-04,factor_below_cutoff,A101160,27.14,KOSDAQ
2016-01-04,factor_below_cutoff,A060370,116.51,KOSDAQ
2016-01-04,factor_below_cutoff,A035900,162.21,KOSDAQ
2016-01-04,factor_below_cutoff,A009520,100.57,KOSDAQ
2016-01-04,factor_below_cutoff,A218410,14.17,KOSDAQ
2016-01-04,factor_below_cutoff,A101730,118.22,KOSDAQ
2016-01-04,factor_below_cutoff,A066970,137.54,KOSDAQ
2016-01-04,factor_below_cutoff,A079940,96.51,KOSDAQ
2016-01-04,factor_below_cutoff,A003960,106.4,KOSPI
2016-01-04,factor_below_cutoff,A095610,156.38,KOSDAQ
2016-01-04,factor_below_cutoff,A100090,56.83,KOSDAQ
2016-01-04,factor_below_cutoff,A009160,158.8,KOSPI
2016-01-04,factor_below_cutoff,A033500,126.01,KOSDAQ
2016-01-04,factor_below_cutoff,A000250,191.35,KOSDAQ
2016-01-04,factor_below_cutoff,A050890,117.47,KOSDAQ
2016-01-04,factor_below_cutoff,A005950,155.84,KOSPI
2016-01-04,factor_below_cutoff,A005430,90.56,KOSPI
2016-01-04,factor_below_cutoff,A045100,183.6,KOSDAQ
2016-01-04,factor_below_cutoff,A131290,140.48,KOSDAQ
2016-01-04,factor_below_cutoff,A031330,164.39,KOSDAQ
2016-01-04,factor_below_cutoff,A170920,86.06,KOSDAQ
2016-01-04,factor_below_cutoff,A077970,157.84,KOSPI
2016-01-04,factor_below_cutoff,A082920,163.93,KOSDAQ
2016-01-04,factor_below_cutoff,A059090,67.56,KOSDAQ
2016-01-04,factor_below_cutoff,A036620,31.82,KOSDAQ
2016-01-04,factor_below_cutoff,A039200,165.79,KOSDAQ
2016-01-04,factor_below_cutoff,A016610,159.81,KOSPI
2016-01-04,factor_below_cutoff,A071970,126.14,KOSPI
2016-01-04,factor_below_cutoff,A078130,62.38,KOSDAQ
2016-01-04,factor_below_cutoff,A137400,91.96,KOSDAQ
2016-01-04,factor_below_cutoff,A025320,81.7,KOSDAQ
2016-01-04,factor_below_cutoff,A121800,151.0,KOSDAQ
2016-01-04,factor_below_cutoff,A093320,82.72,KOSDAQ
2016-01-04,factor_below_cutoff,A017890,148.0,KOSDAQ
2016-01-04,factor_below_cutoff,A001530,139.29,KOSPI
2016-01-04,factor_below_cutoff,A043260,29.27,KOSDAQ
