factor,period,n,common_next5_ic
FOREIGN_FLOW,DISC_2016_2019,194,-0.08280704926183266
FOREIGN_FLOW,VAL_2020_2022,149,-0.049726101940867046
FOREIGN_FLOW,CONF_2023_2024,97,-0.12573637702503682
FOREIGN_FLOW,STRESS_2025,49,0.2514285714285714
FOREIGN_FLOW,STRESS_2026,29,0.1650246305418719
MOM12_1,DISC_2016_2019,194,0.10164397858431296
MOM12_1,VAL_2020_2022,149,-0.035599492109559226
MOM12_1,CONF_2023_2024,97,0.06848306332842416
MOM12_1,STRESS_2025,49,-0.16979591836734692
MOM12_1,STRESS_2026,29,0.1763546798029556
MOM1M,DISC_2016_2019,194,-0.07891672453394583
MOM1M,VAL_2020_2022,149,-0.02537275530564121
MOM1M,CONF_2023_2024,97,0.005075741636860929
MOM1M,STRESS_2025,49,-0.04826530612244897
MOM1M,STRESS_2026,29,-0.16403940886699503
OP12_REV,DISC_2016_2019,193,0.13186895732065596
OP12_REV,VAL_2020_2022,148,0.057578191806379735
OP12_REV,CONF_2023_2024,97,-0.1606353881758889
OP12_REV,STRESS_2025,49,-0.06938775510204082
OP12_REV,STRESS_2026,29,0.41576354679802946
OPFY1_REV,DISC_2016_2019,194,0.1644299080012984
OPFY1_REV,VAL_2020_2022,148,0.012134583563154992
OPFY1_REV,CONF_2023_2024,97,-0.009257311171891436
OPFY1_REV,STRESS_2025,49,-0.1336734693877551
OPFY1_REV,STRESS_2026,29,-0.12807881773399013
PBR12MF,DISC_2016_2019,194,0.08968538005448426
PBR12MF,VAL_2020_2022,148,0.024820739106453396
PBR12MF,CONF_2023_2024,97,-0.015292972859246788
PBR12MF,STRESS_2025,49,0.15724489795918364
PBR12MF,STRESS_2026,29,0.09605911330049259
PER12MF,DISC_2016_2019,194,0.08014611316785346
PER12MF,VAL_2020_2022,148,0.03218737159293247
PER12MF,CONF_2023_2024,97,-0.12201504313065432
PER12MF,STRESS_2025,49,0.2946938775510204
PER12MF,STRESS_2026,29,0.09113300492610836
PRIVATE_FLOW,DISC_2016_2019,194,-0.032655224696248146
PRIVATE_FLOW,VAL_2020_2022,149,-0.15412660983130783
PRIVATE_FLOW,CONF_2023_2024,97,-0.2979171049863244
PRIVATE_FLOW,STRESS_2025,49,0.02081632653061224
PRIVATE_FLOW,STRESS_2026,29,-0.2551724137931034
