factor,period,common_variance_share
FOREIGN_FLOW,DISC_2016_2019,0.5381017133951204
FOREIGN_FLOW,VAL_2020_2022,0.6436360582779702
FOREIGN_FLOW,CONF_2023_2024,0.5684513331507929
FOREIGN_FLOW,STRESS_2025,0.6726320271172428
FOREIGN_FLOW,STRESS_2026,0.49509910941800084
MOM12_1,DISC_2016_2019,0.7631913591595264
MOM12_1,VAL_2020_2022,0.768686266863598
MOM12_1,CONF_2023_2024,0.7518502608576202
MOM12_1,STRESS_2025,0.8128424769670866
MOM12_1,STRESS_2026,0.8255601125664459
MOM1M,DISC_2016_2019,0.75786231193494
MOM1M,VAL_2020_2022,0.8007287733310475
MOM1M,CONF_2023_2024,0.7919952023349204
MOM1M,STRESS_2025,0.7508533852881979
MOM1M,STRESS_2026,0.7352304774480991
OP12_REV,DISC_2016_2019,0.6083455431614482
OP12_REV,VAL_2020_2022,0.597530045035333
OP12_REV,CONF_2023_2024,0.6133996716017197
OP12_REV,STRESS_2025,0.6337426185053765
OP12_REV,STRESS_2026,0.6233091920010092
OPFY1_REV,DISC_2016_2019,0.607398678862044
OPFY1_REV,VAL_2020_2022,0.6619880421115221
OPFY1_REV,CONF_2023_2024,0.7151284767148842
OPFY1_REV,STRESS_2025,0.7001348778094917
OPFY1_REV,STRESS_2026,0.49938788704476333
PBR12MF,DISC_2016_2019,0.7817492816205359
PBR12MF,VAL_2020_2022,0.7605912143889693
PBR12MF,CONF_2023_2024,0.8085979934927598
PBR12MF,STRESS_2025,0.7285087459244496
PBR12MF,STRESS_2026,0.8083398649369782
PER12MF,DISC_2016_2019,0.7572206248494325
PER12MF,VAL_2020_2022,0.7314558543110797
PER12MF,CONF_2023_2024,0.7738366671445239
PER12MF,STRESS_2025,0.670528244558946
PER12MF,STRESS_2026,0.8175237864936825
PRIVATE_FLOW,DISC_2016_2019,0.5483546253941465
PRIVATE_FLOW,VAL_2020_2022,0.5968122049098451
PRIVATE_FLOW,CONF_2023_2024,0.6571528410638032
PRIVATE_FLOW,STRESS_2025,0.5606442675034345
PRIVATE_FLOW,STRESS_2026,0.5933508341975995
