factor,source,destination,period,n,source_local_to_destination_local_next5_ic
MOM1M,K200,KOSDAQ,DISC_2016_2019,194,0.025541863723584784
MOM1M,K200,KOSDAQ,VAL_2020_2022,149,0.06610919644476691
MOM1M,K200,KOSDAQ,CONF_2023_2024,97,0.13995108352619398
MOM1M,K200,KOSDAQ,STRESS_2025,49,-0.08142857142857142
MOM1M,K200,KOSDAQ,STRESS_2026,29,-0.006403940886699506
MOM1M,K200,KOSPI_EX_K200,DISC_2016_2019,194,0.014357385576871714
MOM1M,K200,KOSPI_EX_K200,VAL_2020_2022,149,0.1172392526754943
MOM1M,K200,KOSPI_EX_K200,CONF_2023_2024,97,0.005246686303387334
MOM1M,K200,KOSPI_EX_K200,STRESS_2025,49,-0.030306122448979587
MOM1M,K200,KOSPI_EX_K200,STRESS_2026,29,-0.04926108374384235
MOM1M,K200,KOSPI_ALL,DISC_2016_2019,194,-0.016147230793884283
MOM1M,K200,KOSPI_ALL,VAL_2020_2022,149,-0.11294757845093414
MOM1M,K200,KOSPI_ALL,CONF_2023_2024,97,-0.14644698085419736
MOM1M,K200,KOSPI_ALL,STRESS_2025,49,0.14836734693877549
MOM1M,K200,KOSPI_ALL,STRESS_2026,29,0.12709359605911327
MOM1M,K200,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,-0.09191077070998013
MOM1M,K200,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,0.11193905314710682
MOM1M,K200,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,0.0118477803492531
MOM1M,K200,KOSPI_KOSDAQ_ALL,STRESS_2025,49,-0.10479591836734692
MOM1M,K200,KOSPI_KOSDAQ_ALL,STRESS_2026,29,0.009359605911330046
MOM1M,K200,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,-0.02340029502040078
MOM1M,K200,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,0.1904915653908943
MOM1M,K200,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,0.033570902587839256
MOM1M,K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,-0.15520408163265306
MOM1M,K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,-0.21083743842364527
MOM1M,KOSDAQ,K200,DISC_2016_2019,194,-0.11508014446960016
MOM1M,KOSDAQ,K200,VAL_2020_2022,149,0.07483040087066933
MOM1M,KOSDAQ,K200,CONF_2023_2024,97,0.13185093625078895
MOM1M,KOSDAQ,K200,STRESS_2025,49,-0.0933673469387755
MOM1M,KOSDAQ,K200,STRESS_2026,29,0.06157635467980294
MOM1M,KOSDAQ,KOSPI_EX_K200,DISC_2016_2019,194,0.03387803905938621
MOM1M,KOSDAQ,KOSPI_EX_K200,VAL_2020_2022,149,-0.09921639760565934
MOM1M,KOSDAQ,KOSPI_EX_K200,CONF_2023_2024,97,0.07378234799074268
MOM1M,KOSDAQ,KOSPI_EX_K200,STRESS_2025,49,-0.04234693877551019
MOM1M,KOSDAQ,KOSPI_EX_K200,STRESS_2026,29,0.06502463054187191
MOM1M,KOSDAQ,KOSPI_ALL,DISC_2016_2019,194,-0.062149046936184366
MOM1M,KOSDAQ,KOSPI_ALL,VAL_2020_2022,149,0.05409395973154363
MOM1M,KOSDAQ,KOSPI_ALL,CONF_2023_2024,97,0.20526509572901325
MOM1M,KOSDAQ,KOSPI_ALL,STRESS_2025,49,-0.06040816326530611
MOM1M,KOSDAQ,KOSPI_ALL,STRESS_2026,29,0.1408866995073891
MOM1M,KOSDAQ,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,0.09264873260386321
MOM1M,KOSDAQ,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,0.09041538182477779
MOM1M,KOSDAQ,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,-0.10014727540500735
MOM1M,KOSDAQ,KOSPI_KOSDAQ_ALL,STRESS_2025,49,0.04255102040816327
MOM1M,KOSDAQ,KOSPI_KOSDAQ_ALL,STRESS_2026,29,-0.25369458128078815
MOM1M,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,0.12245318913766112
MOM1M,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,-0.04254307999274442
MOM1M,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,-0.13085156743109616
MOM1M,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,0.0496938775510204
MOM1M,KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,-0.044827586206896544
MOM1M,KOSPI_EX_K200,K200,DISC_2016_2019,194,0.0909920163699342
MOM1M,KOSPI_EX_K200,K200,VAL_2020_2022,149,0.0693705786323236
MOM1M,KOSPI_EX_K200,K200,CONF_2023_2024,97,-0.12050284031138228
MOM1M,KOSPI_EX_K200,K200,STRESS_2025,49,-0.13479591836734692
MOM1M,KOSPI_EX_K200,K200,STRESS_2026,29,-0.12906403940886696
MOM1M,KOSPI_EX_K200,KOSDAQ,DISC_2016_2019,194,-0.036951510644155264
MOM1M,KOSPI_EX_K200,KOSDAQ,VAL_2020_2022,149,-0.09261744966442953
MOM1M,KOSPI_EX_K200,KOSDAQ,CONF_2023_2024,97,0.19737534188933303
MOM1M,KOSPI_EX_K200,KOSDAQ,STRESS_2025,49,0.012551020408163265
MOM1M,KOSPI_EX_K200,KOSDAQ,STRESS_2026,29,0.16256157635467974
MOM1M,KOSPI_EX_K200,KOSPI_ALL,DISC_2016_2019,194,0.05764074075595895
MOM1M,KOSPI_EX_K200,KOSPI_ALL,VAL_2020_2022,149,0.13044440413567931
MOM1M,KOSPI_EX_K200,KOSPI_ALL,CONF_2023_2024,97,-0.13967494214180515
MOM1M,KOSPI_EX_K200,KOSPI_ALL,STRESS_2025,49,-0.06551020408163265
MOM1M,KOSPI_EX_K200,KOSPI_ALL,STRESS_2026,29,-0.2177339901477832
MOM1M,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,-0.024756238366622423
MOM1M,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,VAL_2020_2022,149,-0.23111917286413933
MOM1M,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,CONF_2023_2024,97,0.21151115085209338
MOM1M,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2025,49,0.12897959183673469
MOM1M,KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,STRESS_2026,29,0.16256157635467974
MOM1M,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,DISC_2016_2019,194,-0.08599721415276139
MOM1M,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,VAL_2020_2022,149,-0.15085434427716307
MOM1M,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,CONF_2023_2024,97,0.17062907637281716
MOM1M,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,49,0.13499999999999998
MOM1M,KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,29,0.21527093596059108
MOM1M,KOSPI_ALL,K200,DISC_2016_2019,194,0.09308263447465413
MOM1M,KOSPI_ALL,K200,VAL_2020_2022,149,-0.08914928351169962
MOM1M,KOSPI_ALL,K200,CONF_2023_2024,97,-0.15178571428571427
MOM1M,KOSPI_ALL,K200,STRESS_2025,49,0.1433673469387755
MOM1M,KOSPI_ALL,K200,STRESS_2026,29,-0.09605911330049259
MOM1M,KOSPI_ALL,KOSDAQ,DISC_2016_2019,194,-0.026606895588253417
MOM1M,KOSPI_ALL,KOSDAQ,VAL_2020_2022,149,0.05506257935788137
MOM1M,KOSPI_ALL,KOSDAQ,CONF_2023_2024,97,0.2631101409636019
MOM1M,KOSPI_ALL,KOSDAQ,STRESS_2025,49,-0.050306122448979584
MOM1M,KOSPI_ALL,KOSDAQ,STRESS_2026,29,0.20049261083743838
MOM1M,KOSPI_ALL,KOSPI_EX_K200,DISC_2016_2019,194,-0.011260904044409199
MOM1M,KOSPI_ALL,KOSPI_EX_K200,VAL_2020_2022,149,0.07050970433520769
MOM1M,KOSPI_ALL,KOSPI_EX_K200,CONF_2023_2024,97,-0.06811487481590574
MOM1M,KOSPI_ALL,KOSPI_EX_K200,STRESS_2025,49,0.016224489795918368
MOM1M,KOSPI_ALL,KOSPI_EX_K200,STRESS_2026,29,-0.04039408866995073
MOM1M,KOSPI_ALL,KOSPI_KOSDAQ_ALL,DISC_2016_2019,194,-0.08147740299868925
