signal_date,date,universe,factor,ls_return,top_abs_return,n_side
2016-01-04,2016-01-11,K200,FOREIGN_FLOW,0.0580854145585713,0.0274799062957391,33
2016-01-11,2016-01-18,K200,FOREIGN_FLOW,-0.000116880336218,-0.0122241017345014,37
2016-01-18,2016-01-25,K200,FOREIGN_FLOW,0.0104382623769782,0.0153079900609106,37
2016-01-25,2016-02-01,K200,FOREIGN_FLOW,-0.0064804180223742,0.0144815462109866,37
2016-02-01,2016-02-11,K200,FOREIGN_FLOW,-0.0164976081880793,-0.0456191652484109,36
2016-02-11,2016-02-18,K200,FOREIGN_FLOW,-0.0139769521346087,0.0158744385189557,37
2016-02-18,2016-02-25,K200,FOREIGN_FLOW,0.0031380783046526,0.0027683307645907,37
2016-02-25,2016-03-04,K200,FOREIGN_FLOW,0.0187870428649536,0.0281485324929963,37
2016-03-04,2016-03-11,K200,FOREIGN_FLOW,-0.00257995855982,0.0079332090588979,37
2016-03-11,2016-03-18,K200,FOREIGN_FLOW,-0.0099775110632375,0.0028269791429337,37
2016-03-18,2016-03-25,K200,FOREIGN_FLOW,-0.0154873257698731,-0.0123739836278685,37
2016-03-25,2016-04-01,K200,FOREIGN_FLOW,0.0128480519116503,0.0049154671081288,37
2016-04-01,2016-04-08,K200,FOREIGN_FLOW,-0.0103410093315906,0.0066989828517452,37
2016-04-08,2016-04-18,K200,FOREIGN_FLOW,0.0073336307389888,0.0216862204137663,37
2016-04-18,2016-04-25,K200,FOREIGN_FLOW,-0.0245386161408016,-0.0009229181462367,37
2016-04-25,2016-05-02,K200,FOREIGN_FLOW,-0.0047673389414644,-0.0187153310413128,37
2016-05-02,2016-05-11,K200,FOREIGN_FLOW,-0.0152947442248786,-0.0135180571114581,37
2016-05-11,2016-05-18,K200,FOREIGN_FLOW,-0.0224412726960251,-0.0203404112629005,37
2016-05-18,2016-05-25,K200,FOREIGN_FLOW,-0.0061785139556242,-0.0062794838439664,37
2016-05-25,2016-06-01,K200,FOREIGN_FLOW,-0.0018445209499329,0.0118867462110686,37
