source,destination,pass,directional,val_median_incremental_oos_r2,val_positive_factors,conf_median_incremental_oos_r2,conf_positive_factors,val_advantage_vs_reverse,conf_advantage_vs_reverse,val_local_diffusion_ic,conf_local_diffusion_ic
KOSDAQ,KOSPI_ALL,True,True,0.000705033528076271,7,0.002786375513665229,8,0.034017776203692285,0.021301780206960608,0.023853563192009986,-0.02672654113191668
KOSPI_KOSDAQ_ALL,KOSPI_ALL,True,True,0.0004476638397316046,6,0.00036130045058635485,5,0.013957700567707065,0.0017381343385863834,-0.007425861692400524,0.0312894487691984
KOSDAQ,K200,True,True,0.0026451562342573176,6,0.0002606959617178495,5,0.009542316033061993,0.009128593517565786,0.02496325938320186,0.03660188302124973
KOSPI_KOSDAQ_ALL,K200,True,False,0.0018077455042947999,5,0.002787762270546612,5,0.005926330116676259,-0.006387358216865646,0.04953149698116142,0.021302335367136542
KOSDAQ_PLUS_KOSPI_EX_K200,K200,True,False,0.0015281102675497316,5,0.0022515000884885117,6,0.009153435717659586,-0.0008183865481003472,0.0210282190147962,0.0197835577529981
K200,KOSPI_EX_K200,False,False,-0.012972775645031076,1,0.010229508321011826,5,-0.011434864975981562,0.007372017530638375,0.00037010850050159944,0.0013675573322112348
K200,KOSPI_ALL,False,False,-0.004567706261211502,1,0.009214068859317193,6,-0.0027476387666792723,0.010999795638250598,-0.06492720360409718,-0.032229644435093616
K200,KOSPI_KOSDAQ_ALL,False,False,-0.0041185846123814596,2,0.009175120487412258,7,-0.005926330116676259,0.006387358216865646,0.009195260182796136,-0.010841836734693877
KOSPI_EX_K200,KOSPI_ALL,False,False,-0.0031971118003875088,2,0.00765429541231083,7,0.014229464910207268,0.0036583989972691078,0.050563380803074,0.034221807279612874
KOSPI_ALL,KOSPI_EX_K200,False,False,-0.017426576710594777,1,0.003995896415041722,6,-0.014229464910207268,-0.0036583989972691078,0.05222350140854455,0.020026825163054904
K200,KOSDAQ_PLUS_KOSPI_EX_K200,False,False,-0.007625325450109854,2,0.003069886636588859,5,-0.009153435717659586,0.0008183865481003472,0.06968438236894613,0.020947296444350935
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,False,False,-0.0014879677971301186,3,0.0030059688797542394,5,0.0009463461405995188,0.0018959594165916527,0.04313426150434779,-0.06908794445613296
KOSPI_EX_K200,K200,False,False,-0.0015379106690495137,3,0.0028574907903734514,4,0.011434864975981562,-0.007372017530638375,0.03101111658158638,0.022262255417630966
KOSPI_EX_K200,KOSDAQ_PLUS_KOSPI_EX_K200,False,False,-0.002545495821725141,3,0.0019213179714466233,5,-0.007768426069790002,0.002804674417278996,-0.05369853074551062,-0.009875341889333051
KOSPI_KOSDAQ_ALL,KOSDAQ_PLUS_KOSPI_EX_K200,False,False,-0.0024343139377296374,3,0.0011100094631625868,5,-0.0009463461405995188,-0.0018959594165916527,-0.036402714178361356,-0.044379865348201125
KOSPI_EX_K200,KOSPI_KOSDAQ_ALL,False,False,0.001152184447332949,4,0.0005525097935965007,4,-1.5162579185379332e-05,0.0036614979994236685,-0.051432976600761834,0.09293472543656638
KOSDAQ,KOSPI_EX_K200,False,False,0.004648139078861191,6,0.00026464733977288324,4,0.01966541887040807,0.0021517096475950903,-0.05488844549247235,0.03253865979381443
KOSDAQ,KOSPI_KOSDAQ_ALL,False,False,-0.0019475878860673035,3,-3.0349273987706482e-05,4,0.011946575839664075,0.01744764836752688,0.04471146122152834,-0.015181201346517983
KOSDAQ,KOSDAQ_PLUS_KOSPI_EX_K200,False,False,0.0012840600918382905,5,-0.0006320988426986585,4,0.013422514924243567,0.02015183497282147,-0.0033029907047164965,0.0313223227435304
KOSDAQ_PLUS_KOSPI_EX_K200,KOSPI_EX_K200,False,False,0.005222930248064861,6,-0.0008833564458323728,4,0.007768426069790002,-0.002804674417278996,-0.08401544401544403,0.01878418893330528
KOSPI_ALL,KOSPI_KOSDAQ_ALL,False,False,-0.01351003672797546,2,-0.0013768338880000286,2,-0.013957700567707065,-0.0017381343385863834,-0.019695265735534193,0.007994950557542605
KOSPI_ALL,K200,False,False,-0.0018200674945322293,2,-0.0017857267789334053,3,0.0027476387666792723,-0.010999795638250598,0.026392015903041792,-0.05675362928676625
