period,factor,shift,shifted_unique_kq_r2,observed_unique_kq_r2
VAL_2020_2022,MOM1M,1,-0.006075827027121505,0.005591189348708614
VAL_2020_2022,MOM1M,2,-0.012323249812368209,0.005591189348708614
VAL_2020_2022,MOM1M,3,-0.0038495390148347575,0.005591189348708614
VAL_2020_2022,MOM1M,4,-0.012099119829003468,0.005591189348708614
VAL_2020_2022,MOM1M,5,-0.004957172982309688,0.005591189348708614
VAL_2020_2022,MOM1M,6,-0.003447258641092521,0.005591189348708614
VAL_2020_2022,MOM1M,7,-0.005570995438180182,0.005591189348708614
VAL_2020_2022,MOM1M,8,-0.010953819113620034,0.005591189348708614
VAL_2020_2022,MOM1M,9,-0.014701271153479967,0.005591189348708614
VAL_2020_2022,MOM1M,10,-0.006536594923024497,0.005591189348708614
VAL_2020_2022,MOM1M,11,-0.009183347865420632,0.005591189348708614
VAL_2020_2022,MOM1M,12,-0.004285629930250723,0.005591189348708614
VAL_2020_2022,MOM1M,13,-0.0006482063663262316,0.005591189348708614
VAL_2020_2022,MOM1M,14,0.004121813538931707,0.005591189348708614
VAL_2020_2022,MOM1M,15,-0.005681326270037257,0.005591189348708614
VAL_2020_2022,MOM1M,16,-0.003865400939032204,0.005591189348708614
VAL_2020_2022,MOM1M,17,-0.008955478137544937,0.005591189348708614
VAL_2020_2022,MOM1M,18,-0.009408295074683437,0.005591189348708614
VAL_2020_2022,MOM1M,19,-0.011210110722828848,0.005591189348708614
VAL_2020_2022,MOM1M,20,-0.0060230479979253015,0.005591189348708614
VAL_2020_2022,MOM1M,21,0.003241221680389317,0.005591189348708614
VAL_2020_2022,MOM1M,22,-0.000240578769571842,0.005591189348708614
VAL_2020_2022,MOM1M,23,-0.007542455640466406,0.005591189348708614
VAL_2020_2022,MOM1M,24,-0.0034064400048297028,0.005591189348708614
VAL_2020_2022,MOM1M,25,-0.005505666380822172,0.005591189348708614
VAL_2020_2022,MOM1M,26,-0.01085093500617873,0.005591189348708614
VAL_2020_2022,MOM1M,27,0.003924663905590986,0.005591189348708614
VAL_2020_2022,MOM1M,28,-0.010175444941212586,0.005591189348708614
VAL_2020_2022,MOM1M,29,-0.007833061702846589,0.005591189348708614
VAL_2020_2022,MOM1M,30,-0.012823041005027846,0.005591189348708614
VAL_2020_2022,MOM1M,31,-0.009021730121833826,0.005591189348708614
VAL_2020_2022,MOM1M,32,-0.00885726677945975,0.005591189348708614
VAL_2020_2022,MOM1M,33,-0.003496834759427525,0.005591189348708614
VAL_2020_2022,MOM1M,34,-0.004893421567723211,0.005591189348708614
VAL_2020_2022,MOM1M,35,-0.0015848711880825928,0.005591189348708614
VAL_2020_2022,MOM1M,36,-0.006268553443010472,0.005591189348708614
VAL_2020_2022,MOM1M,37,-0.0044921769297396885,0.005591189348708614
VAL_2020_2022,MOM1M,38,-0.009199647446608505,0.005591189348708614
VAL_2020_2022,MOM1M,39,-0.0146511019725446,0.005591189348708614
VAL_2020_2022,MOM1M,40,-0.007604226860308927,0.005591189348708614
VAL_2020_2022,MOM1M,41,0.01010724051456835,0.005591189348708614
VAL_2020_2022,MOM1M,42,-0.0022243860846185015,0.005591189348708614
VAL_2020_2022,MOM1M,43,6.434753586992414e-05,0.005591189348708614
VAL_2020_2022,MOM1M,44,0.0017845676507733943,0.005591189348708614
VAL_2020_2022,MOM1M,45,-0.007406134018311361,0.005591189348708614
VAL_2020_2022,MOM1M,46,0.0010872657532821073,0.005591189348708614
VAL_2020_2022,MOM1M,47,-0.007723849174551267,0.005591189348708614
VAL_2020_2022,MOM1M,48,-0.026757381572934724,0.005591189348708614
VAL_2020_2022,MOM1M,49,-0.007047472891113182,0.005591189348708614
VAL_2020_2022,MOM1M,50,-0.011197521693254275,0.005591189348708614
VAL_2020_2022,MOM1M,51,-0.011509724661557641,0.005591189348708614
VAL_2020_2022,MOM1M,52,-0.0080803454316547,0.005591189348708614
VAL_2020_2022,MOM1M,53,0.0011353136485908744,0.005591189348708614
VAL_2020_2022,MOM1M,54,-0.001539863062142599,0.005591189348708614
VAL_2020_2022,MOM1M,55,0.0013429149070900426,0.005591189348708614
VAL_2020_2022,MOM1M,56,-0.007193193725438141,0.005591189348708614
VAL_2020_2022,MOM1M,57,-0.007037630467616296,0.005591189348708614
VAL_2020_2022,MOM1M,58,-0.01605651371005057,0.005591189348708614
VAL_2020_2022,MOM1M,59,-0.02135605506257865,0.005591189348708614
VAL_2020_2022,MOM1M,60,-0.017805839919245336,0.005591189348708614
VAL_2020_2022,MOM1M,61,-0.006427589135748368,0.005591189348708614
VAL_2020_2022,MOM1M,62,-0.015238071329829461,0.005591189348708614
VAL_2020_2022,MOM1M,63,0.004058101845337725,0.005591189348708614
VAL_2020_2022,MOM1M,64,0.004161502528923555,0.005591189348708614
VAL_2020_2022,MOM1M,65,-0.002811382699620557,0.005591189348708614
VAL_2020_2022,MOM1M,66,0.011166392357600863,0.005591189348708614
VAL_2020_2022,MOM1M,67,-0.003740814414088911,0.005591189348708614
VAL_2020_2022,MOM1M,68,-0.00871505431235553,0.005591189348708614
VAL_2020_2022,MOM1M,69,-0.010850467093963312,0.005591189348708614
VAL_2020_2022,MOM1M,70,-0.006212015161305207,0.005591189348708614
VAL_2020_2022,MOM1M,71,-0.01712511152353202,0.005591189348708614
VAL_2020_2022,MOM1M,72,-0.012727578540044693,0.005591189348708614
VAL_2020_2022,MOM1M,73,-0.0012910457004622344,0.005591189348708614
VAL_2020_2022,MOM1M,74,-0.005636594595544109,0.005591189348708614
VAL_2020_2022,MOM1M,75,-0.013392144592047961,0.005591189348708614
VAL_2020_2022,MOM1M,76,-0.019285440102980278,0.005591189348708614
VAL_2020_2022,MOM1M,77,-0.014429834323869573,0.005591189348708614
VAL_2020_2022,MOM1M,78,-0.002808733296421284,0.005591189348708614
VAL_2020_2022,MOM1M,79,-0.00822557048157857,0.005591189348708614
VAL_2020_2022,MOM1M,80,-0.01010945473481173,0.005591189348708614
VAL_2020_2022,MOM1M,81,-0.0007900557997821966,0.005591189348708614
VAL_2020_2022,MOM1M,82,-0.010959291614904387,0.005591189348708614
VAL_2020_2022,MOM1M,83,-0.008689067633107284,0.005591189348708614
VAL_2020_2022,MOM1M,84,0.0046608471498090775,0.005591189348708614
VAL_2020_2022,MOM1M,85,-0.000178904681309211,0.005591189348708614
VAL_2020_2022,MOM1M,86,-0.007605770270040058,0.005591189348708614
VAL_2020_2022,MOM1M,87,-0.005364544501827773,0.005591189348708614
VAL_2020_2022,MOM1M,88,-0.006845384275536492,0.005591189348708614
VAL_2020_2022,MOM1M,89,-0.01300761328736244,0.005591189348708614
VAL_2020_2022,MOM1M,90,-0.0029251602008937283,0.005591189348708614
VAL_2020_2022,MOM1M,91,-0.009808824535414207,0.005591189348708614
VAL_2020_2022,MOM1M,92,0.0003938754342055484,0.005591189348708614
VAL_2020_2022,MOM1M,93,-0.012257786940975901,0.005591189348708614
VAL_2020_2022,MOM1M,94,-0.004583065659013785,0.005591189348708614
VAL_2020_2022,MOM1M,95,-0.004400803260004249,0.005591189348708614
VAL_2020_2022,MOM1M,96,-0.009030469206948721,0.005591189348708614
VAL_2020_2022,MOM1M,97,-0.0018098502054662013,0.005591189348708614
VAL_2020_2022,MOM1M,98,0.003697928387535243,0.005591189348708614
VAL_2020_2022,MOM1M,99,-0.007847958264534105,0.005591189348708614
VAL_2020_2022,MOM1M,100,-0.01907127145250631,0.005591189348708614
VAL_2020_2022,MOM1M,101,-0.0010872574682538882,0.005591189348708614
VAL_2020_2022,MOM1M,102,-0.00782929916135755,0.005591189348708614
VAL_2020_2022,MOM1M,103,-0.005838126379637654,0.005591189348708614
VAL_2020_2022,MOM1M,104,-0.003117390132297615,0.005591189348708614
VAL_2020_2022,MOM1M,105,-0.008693792858977867,0.005591189348708614
VAL_2020_2022,MOM1M,106,-0.007118941466155215,0.005591189348708614
VAL_2020_2022,MOM1M,107,0.002728512776187242,0.005591189348708614
VAL_2020_2022,MOM1M,108,-0.015336177465243184,0.005591189348708614
VAL_2020_2022,MOM1M,109,0.0024297067729600608,0.005591189348708614
VAL_2020_2022,MOM1M,110,-0.008306671246068431,0.005591189348708614
VAL_2020_2022,MOM1M,111,-0.013788227084934102,0.005591189348708614
VAL_2020_2022,MOM1M,112,-0.0055264924357796286,0.005591189348708614
VAL_2020_2022,MOM1M,113,0.0005517540970744195,0.005591189348708614
VAL_2020_2022,MOM1M,114,-0.004013709344975691,0.005591189348708614
VAL_2020_2022,MOM1M,115,-0.013084216701799267,0.005591189348708614
VAL_2020_2022,MOM1M,116,-0.010420647158162932,0.005591189348708614
VAL_2020_2022,MOM1M,117,-0.01356507885039826,0.005591189348708614
VAL_2020_2022,MOM1M,118,-0.002371564824405814,0.005591189348708614
VAL_2020_2022,MOM1M,119,-0.004125145820193188,0.005591189348708614
VAL_2020_2022,MOM1M,120,0.009629003762855692,0.005591189348708614
VAL_2020_2022,MOM1M,121,-0.0029336852228094568,0.005591189348708614
VAL_2020_2022,MOM1M,122,-0.015941938467058714,0.005591189348708614
VAL_2020_2022,MOM1M,123,-0.01281000791150233,0.005591189348708614
VAL_2020_2022,MOM1M,124,-0.005109666504290233,0.005591189348708614
VAL_2020_2022,MOM1M,125,-0.015464698134669996,0.005591189348708614
VAL_2020_2022,MOM1M,126,0.017301929182820586,0.005591189348708614
VAL_2020_2022,MOM1M,127,-0.0057505360602176925,0.005591189348708614
VAL_2020_2022,MOM1M,128,-0.002987684970273241,0.005591189348708614
VAL_2020_2022,MOM1M,129,0.0049517212138756594,0.005591189348708614
VAL_2020_2022,MOM1M,130,-0.007927487588600846,0.005591189348708614
VAL_2020_2022,MOM1M,131,-0.012263472104304896,0.005591189348708614
VAL_2020_2022,MOM1M,132,-0.00376470373763671,0.005591189348708614
VAL_2020_2022,MOM1M,133,-0.008777289736843885,0.005591189348708614
VAL_2020_2022,MOM1M,134,-0.0020243619068744945,0.005591189348708614
VAL_2020_2022,MOM1M,135,0.0003077433736550228,0.005591189348708614
VAL_2020_2022,MOM1M,136,0.004332969295407163,0.005591189348708614
VAL_2020_2022,MOM1M,137,-0.00884057890135237,0.005591189348708614
VAL_2020_2022,MOM1M,138,-0.0058823995585144395,0.005591189348708614
VAL_2020_2022,MOM1M,139,-0.013468286871294088,0.005591189348708614
VAL_2020_2022,MOM1M,140,0.0030521071967840596,0.005591189348708614
VAL_2020_2022,MOM1M,141,-0.011173923799936869,0.005591189348708614
VAL_2020_2022,MOM1M,142,-0.00808987495174196,0.005591189348708614
VAL_2020_2022,MOM1M,143,-0.012354263435772284,0.005591189348708614
VAL_2020_2022,MOM1M,144,-0.013081164377486187,0.005591189348708614
VAL_2020_2022,MOM1M,145,-0.017655223736443126,0.005591189348708614
VAL_2020_2022,MOM1M,146,0.006280737722029639,0.005591189348708614
