factor_a,factor_b,spec,beta_discovery,beta_2016_17,beta_2018_19,same_sign
MOM1M,MOM12_1,TRAIL20,-0.10527782646901855,-0.08073558349234719,-0.13527208850120342,True
MOM1M,MOM12_1,DISLOCATION,0.045249437680950466,0.07359434513140871,0.03396881040997285,True
MOM1M,OP12_REV,TRAIL20,-0.0050776273798440845,-0.12882621047636525,0.021840093845890703,False
MOM1M,OP12_REV,DISLOCATION,0.03000646394298969,-0.3187249450244217,0.12037699643227999,False
MOM1M,OPFY1_REV,TRAIL20,-0.0697339441191261,0.21156629187854306,-0.23159451937733444,False
MOM1M,OPFY1_REV,DISLOCATION,-0.17033195090158507,0.026972765046361175,-0.27051767007060024,False
MOM1M,PBR12MF,TRAIL20,-0.02128516637498088,0.28761774998384293,-0.23084299571382,False
MOM1M,PBR12MF,DISLOCATION,-0.11880964828348313,0.26625761017993527,-0.30438783814070364,False
MOM1M,PER12MF,TRAIL20,-0.09351620728344487,0.1856293797956474,-0.2549842546121248,False
MOM1M,PER12MF,DISLOCATION,-0.154696006352311,0.15935384426615237,-0.28377335327232606,False
MOM1M,PRIVATE_FLOW,TRAIL20,0.1706351792547568,0.27533042512533823,-0.0161780046528813,False
MOM1M,PRIVATE_FLOW,DISLOCATION,0.21581141311163543,0.1869470064931216,0.17398797874489255,True
MOM1M,FOREIGN_FLOW,TRAIL20,0.1655784238991483,-0.1515822509385754,0.1397529034816977,False
MOM1M,FOREIGN_FLOW,DISLOCATION,0.21635194793693133,-0.13059046168191085,0.32055316816016655,False
MOM12_1,OP12_REV,TRAIL20,0.08948125315766255,-0.1390117264781459,0.15645471921091905,False
MOM12_1,OP12_REV,DISLOCATION,0.21415205328421877,0.2332727587349366,0.20856205786657112,True
MOM12_1,OPFY1_REV,TRAIL20,-0.052026361521133734,0.09334879939602372,-0.09046442784688911,False
MOM12_1,OPFY1_REV,DISLOCATION,0.04141203656692403,0.41018989075029005,-0.06691067648601454,False
MOM12_1,PBR12MF,TRAIL20,-0.19359352909068442,0.0777815342437037,-0.338180481977865,False
MOM12_1,PBR12MF,DISLOCATION,-0.12893518653737107,0.28781092594210694,-0.34368994745088827,False
MOM12_1,PER12MF,TRAIL20,-0.27824927025829194,-0.007559536567557601,-0.405197248849685,True
MOM12_1,PER12MF,DISLOCATION,-0.1989192398429643,0.26551348345162734,-0.4025241791347637,False
MOM12_1,PRIVATE_FLOW,TRAIL20,-0.14339753909464545,-0.1333842833863529,-0.17894415110740838,True
MOM12_1,PRIVATE_FLOW,DISLOCATION,-0.05775270250824279,0.023119856244480402,-0.14119811424897233,False
MOM12_1,FOREIGN_FLOW,TRAIL20,0.053363450368510354,-0.02499908954198251,0.03450549737383536,False
MOM12_1,FOREIGN_FLOW,DISLOCATION,0.20890309732326307,0.2926992680225446,0.16048535470000266,True
OP12_REV,OPFY1_REV,TRAIL20,0.1739539930133229,0.20109048660798562,0.14073280551267967,True
OP12_REV,OPFY1_REV,DISLOCATION,0.20189743321084644,0.34729748810217026,0.09867843384431149,True
OP12_REV,PBR12MF,TRAIL20,-0.04065771249988681,0.02233204700489909,-0.07252012417414976,False
OP12_REV,PBR12MF,DISLOCATION,-0.0696461261809622,0.12554039185548366,-0.1778162614187474,False
OP12_REV,PER12MF,TRAIL20,-0.1184530437842874,-0.022343631487905344,-0.15542519715994693,True
OP12_REV,PER12MF,DISLOCATION,-0.13864837017478335,0.14682055152689494,-0.24751452333007257,False
OP12_REV,PRIVATE_FLOW,TRAIL20,0.0156528142572126,-0.28927811738513415,0.09857503557556443,False
OP12_REV,PRIVATE_FLOW,DISLOCATION,-0.0015898494390591243,-0.360781984482011,0.11186484488538949,False
OP12_REV,FOREIGN_FLOW,TRAIL20,0.13796128073033517,-0.2606508957545821,0.157846691120477,False
OP12_REV,FOREIGN_FLOW,DISLOCATION,0.1086099308567936,-0.1292724373882529,0.19658481798539493,False
OPFY1_REV,PBR12MF,TRAIL20,-0.048391071518599754,-0.02989298025136349,-0.05960960773741326,True
OPFY1_REV,PBR12MF,DISLOCATION,-0.013902269049047091,0.13484831541412443,-0.09281075486972648,False
OPFY1_REV,PER12MF,TRAIL20,-0.12121700241188842,-0.12075769466865875,-0.1249896622318051,True
OPFY1_REV,PER12MF,DISLOCATION,-0.051566697484454534,0.1339295598062483,-0.1190745915545327,False
