factor_a,factor_b,spec,period,observed_r2,placebo_p,observed_percentile,placebo_q90
MOM1M,MOM12_1,TRAIL20,VAL_2020_2022,-0.04865488490663328,0.8493150684931506,0.15172413793103448,0.021933780460937316
MOM1M,MOM12_1,TRAIL20,CONF_2023_2024,0.04134249110846788,0.031914893617021274,0.978494623655914,0.021617043525956545
MOM1M,MOM12_1,TRAIL20,STRESS_2025,-0.01589503195433828,0.5434782608695652,0.4666666666666667,0.07711967598250259
MOM1M,MOM12_1,TRAIL20,STRESS_2026,-0.027905008061123393,0.8461538461538461,0.16,0.04757138976938911
MOM1M,MOM12_1,DISLOCATION,VAL_2020_2022,-0.003419329817636818,0.5958904109589042,0.4068965517241379,0.00842660464817235
MOM1M,MOM12_1,DISLOCATION,CONF_2023_2024,-0.016830402336459827,0.9148936170212766,0.08602150537634409,0.013398787396374389
MOM1M,MOM12_1,DISLOCATION,STRESS_2025,0.003364987096180938,0.43478260869565216,0.5777777777777777,0.03436254940567383
MOM1M,MOM12_1,DISLOCATION,STRESS_2026,0.007970632040270154,0.2692307692307692,0.76,0.009024600277391293
MOM1M,OP12_REV,TRAIL20,VAL_2020_2022,0.00013039501657974295,0.5068493150684932,0.496551724137931,0.001972179618480396
MOM1M,OP12_REV,TRAIL20,CONF_2023_2024,-0.0017658001729174977,0.4787234042553192,0.5268817204301075,-0.000581867481106846
MOM1M,OP12_REV,TRAIL20,STRESS_2025,0.0022456301949510538,0.15217391304347827,0.8666666666666667,0.002254377408174557
MOM1M,OP12_REV,TRAIL20,STRESS_2026,-0.0036871223770287287,0.8076923076923077,0.2,-0.0004966092301261771
MOM1M,OP12_REV,DISLOCATION,VAL_2020_2022,-0.00011920867605663688,0.4931506849315068,0.5103448275862069,0.012310602590165653
MOM1M,OP12_REV,DISLOCATION,CONF_2023_2024,0.0008473876999585128,0.44680851063829785,0.5591397849462365,0.007343324777860837
MOM1M,OP12_REV,DISLOCATION,STRESS_2025,-0.009802499539860898,0.717391304347826,0.28888888888888886,0.013921747410170916
MOM1M,OP12_REV,DISLOCATION,STRESS_2026,0.008389869204056266,0.38461538461538464,0.64,0.01255726506930397
MOM1M,OPFY1_REV,TRAIL20,VAL_2020_2022,-0.010431881087975547,0.541095890410959,0.46206896551724136,0.02044143781177607
MOM1M,OPFY1_REV,TRAIL20,CONF_2023_2024,-0.019151382348397084,0.13829787234042554,0.8709677419354839,-0.018137215579503697
MOM1M,OPFY1_REV,TRAIL20,STRESS_2025,0.02766576386399311,0.30434782608695654,0.7111111111111111,0.05137193658600526
