universe,task,horizon,model,period,n,participation,mean,win,edge_vs_control,beat_control,mdd,control_mdd,target_sign_accuracy,rank_ic
K200,ALPHA,5,FACTOR_ONLY,BULL_2025,49,1.0,0.014383893361889574,0.7346938775510204,0.0025238630176356853,0.24489795918367346,-0.10673059311832511,-0.08389640284292221,0.5918367346938775,0.012040816326530611
K200,ALPHA,5,FACTOR_ONLY,DISCOVERY_2016_2022,144,1.0,0.0014408656828699274,0.5347222222222222,0.0005061725017339844,0.3333333333333333,-0.2746712551205357,-0.30362126548128177,0.5347222222222222,0.1713206333895989
K200,ALPHA,5,FACTOR_ONLY,NORMAL_2023_2024,97,1.0,0.0014092961170247356,0.5360824742268041,-0.00042310419595311874,0.21649484536082475,-0.1295365972331185,-0.11421685481033494,0.4742268041237113,-0.05846307595203029
K200,ALPHA,5,FACTOR_ONLY,YTD_2026,20,1.0,0.008077612997215976,0.65,0.0008447579870174214,0.25,-0.29909912692720886,-0.2606418491063277,0.4,-0.33082706766917286
K200,ALPHA,5,FULL,BULL_2025,49,1.0,0.011489918595888231,0.6530612244897959,-0.0003701117483656583,0.12244897959183673,-0.10673059311832511,-0.08389640284292221,0.4489795918367347,-0.1377551020408163
K200,ALPHA,5,FULL,DISCOVERY_2016_2022,144,1.0,0.0009875832122238648,0.5416666666666666,5.289003108792169e-05,0.2777777777777778,-0.2867444034242971,-0.30362126548128177,0.5208333333333334,0.1044128285507596
K200,ALPHA,5,FULL,NORMAL_2023_2024,97,1.0,0.0016430539171384336,0.5463917525773195,-0.00018934639583942055,0.24742268041237114,-0.12953659723311883,-0.11421685481033494,0.5154639175257731,-0.0235640648011782
K200,ALPHA,5,FULL,YTD_2026,20,1.0,0.003180860478509161,0.65,-0.004051994531689393,0.1,-0.3253770511797941,-0.2606418491063277,0.3,-0.393984962406015
K200,ALPHA,5,MARKET_ONLY,BULL_2025,49,1.0,0.012494707254277758,0.6326530612244898,0.0006346769100238696,0.04081632653061224,-0.06857729701135451,-0.08389640284292221,0.5510204081632653,-0.06867346938775509
K200,ALPHA,5,MARKET_ONLY,DISCOVERY_2016_2022,144,1.0,-1.1976937663764111e-05,0.5347222222222222,-0.0009466701187997071,0.22916666666666666,-0.338217261015895,-0.30362126548128177,0.5069444444444444,-0.028747689092516678
K200,ALPHA,5,MARKET_ONLY,NORMAL_2023_2024,97,1.0,0.0014923012208030466,0.5773195876288659,-0.0003400990921748078,0.23711340206185566,-0.1375236803400578,-0.11421685481033494,0.4536082474226804,0.10127814012202818
K200,ALPHA,5,MARKET_ONLY,YTD_2026,20,1.0,0.005589726371461054,0.6,-0.001643128638737498,0.0,-0.2834835448783536,-0.2606418491063277,0.35,-0.5022556390977443
K200,ALPHA,20,FACTOR_ONLY,BULL_2025,49,1.0,0.057294373464019506,0.7346938775510204,0.006221726222467605,0.1836734693877551,-0.19160796578179096,-0.19974295695899869,0.4897959183673469,-0.013367346938775507
K200,ALPHA,20,FACTOR_ONLY,DISCOVERY_2016_2022,144,1.0,0.00262024954907043,0.5277777777777778,-0.00209709547162898,0.3472222222222222,-0.784345993972195,-0.7185451410213708,0.4652777777777778,0.02725665139458243
K200,ALPHA,20,FACTOR_ONLY,NORMAL_2023_2024,97,1.0,0.004618925565605053,0.5773195876288659,-0.002812231601860873,0.26804123711340205,-0.3504280239415444,-0.2511495004092964,0.4948453608247423,-0.09169208920681673
K200,ALPHA,20,FACTOR_ONLY,YTD_2026,20,1.0,0.005885954154449283,0.45,-0.0047635062393297095,0.2,-0.7333418556216207,-0.5564647898356732,0.3,-0.34736842105263155
K200,ALPHA,20,FULL,BULL_2025,49,1.0,0.04881184210950356,0.7346938775510204,-0.0022608051320483456,0.061224489795918366,-0.19160796578179096,-0.19974295695899869,0.3469387755102041,-0.18132653061224488
K200,ALPHA,20,FULL,DISCOVERY_2016_2022,144,1.0,0.0018356982085649383,0.5138888888888888,-0.0028816468121344732,0.2638888888888889,-0.7672362204314351,-0.7185451410213708,0.5069444444444444,0.023643597781528816
K200,ALPHA,20,FULL,NORMAL_2023_2024,97,1.0,0.0033795738626547145,0.5670103092783505,-0.004051583304811212,0.26804123711340205,-0.39661358310043127,-0.2511495004092964,0.4536082474226804,-0.039514517147065005
K200,ALPHA,20,FULL,YTD_2026,20,1.0,-0.00261690059177806,0.4,-0.013266360985557052,0.05,-0.7070456717987125,-0.5564647898356732,0.2,-0.4781954887218045
K200,ALPHA,20,MARKET_ONLY,BULL_2025,49,1.0,0.047860355187843096,0.7346938775510204,-0.0032122920537088102,0.0,-0.1997429569589989,-0.19974295695899869,0.40816326530612246,-0.2785714285714285
K200,ALPHA,20,MARKET_ONLY,DISCOVERY_2016_2022,144,1.0,0.0010734755640137506,0.5208333333333334,-0.0036438694566856603,0.2222222222222222,-0.7761595707486435,-0.7185451410213708,0.5138888888888888,-0.06228197090266056
K200,ALPHA,20,MARKET_ONLY,NORMAL_2023_2024,97,1.0,0.006941191128235869,0.5876288659793815,-0.0004899660392300562,0.24742268041237114,-0.3103173278422052,-0.2511495004092964,0.5463917525773195,0.15924153166421207
K200,ALPHA,20,MARKET_ONLY,YTD_2026,20,1.0,0.0037056751354266866,0.4,-0.0069437852583523006,0.1,-0.6345579991970192,-0.5564647898356732,0.3,-0.44060150375939844
K200,RISK,5,FACTOR_ONLY,BULL_2025,49,0.5918367346938775,0.006673858229774048,0.42857142857142855,-0.007573949283446741,0.12244897959183673,-0.07023704877577186,-0.0859450902900869,0.5510204081632653,-0.034081632653061224
K200,RISK,5,FACTOR_ONLY,DISCOVERY_2016_2022,144,0.6875,-0.0031397390204540945,0.3194444444444444,-0.0031054373244808957,0.1111111111111111,-0.4018201602315564,-0.33486685018424367,0.4305555555555556,-0.16029258098223617
K200,RISK,5,FACTOR_ONLY,NORMAL_2023_2024,97,0.5257731958762887,-0.0013412061915044394,0.25773195876288657,-0.0020359787294605136,0.17525773195876287,-0.14868380778291557,-0.18473364824193184,0.4329896907216495,-0.11971386492741425
K200,RISK,5,FACTOR_ONLY,YTD_2026,20,1.0,0.01777983330436702,0.6,0.0,0.0,-0.29909912692720875,-0.29909912692720875,0.6,0.0631578947368421
K200,RISK,5,FULL,BULL_2025,49,0.6326530612244898,0.007581976042270086,0.46938775510204084,-0.0066658314709507034,0.12244897959183673,-0.06571703768502568,-0.0859450902900869,0.5918367346938775,0.012551020408163265
K200,RISK,5,FULL,DISCOVERY_2016_2022,144,0.6180555555555556,-0.0022221564162316766,0.2847222222222222,-0.0021878547202584782,0.14583333333333334,-0.298694803756521,-0.33486685018424367,0.4305555555555556,-0.1391487822522305
K200,RISK,5,FULL,NORMAL_2023_2024,97,0.4639175257731959,-0.0014519216362898545,0.21649484536082475,-0.002146694174245929,0.1958762886597938,-0.16549534304843738,-0.18473364824193184,0.41237113402061853,-0.12460551230801598
K200,RISK,5,FULL,YTD_2026,20,1.0,0.01777983330436702,0.6,0.0,0.0,-0.29909912692720875,-0.29909912692720875,0.6,-0.1609022556390977
K200,RISK,5,MARKET_ONLY,BULL_2025,49,0.7346938775510204,0.010261684276266865,0.5306122448979592,-0.003986123236953925,0.08163265306122448,-0.06827691544717907,-0.0859450902900869,0.6122448979591837,0.031020408163265303
K200,RISK,5,MARKET_ONLY,DISCOVERY_2016_2022,144,0.6111111111111112,0.0007725098395168081,0.3125,0.0008068115354900062,0.18055555555555555,-0.24501316994302058,-0.33486685018424367,0.4930555555555556,0.02799212281970903
K200,RISK,5,MARKET_ONLY,NORMAL_2023_2024,97,0.422680412371134,0.0013171706502359164,0.25773195876288657,0.000622398112279842,0.27835051546391754,-0.0774806562229784,-0.18473364824193184,0.5360824742268041,-0.04146065642751946
K200,RISK,5,MARKET_ONLY,YTD_2026,20,1.0,0.01777983330436702,0.6,0.0,0.0,-0.29909912692720875,-0.29909912692720875,0.6,-0.3398496240601503
K200,RISK,20,FACTOR_ONLY,BULL_2025,49,0.6938775510204082,0.03832022160255055,0.5306122448979592,-0.022479435417958948,0.061224489795918366,-0.09598855196161449,-0.19483528418920681,0.5918367346938775,-0.13918367346938773
K200,RISK,20,FACTOR_ONLY,DISCOVERY_2016_2022,144,0.6944444444444444,-0.00644751755843591,0.3125,-0.007522463845334877,0.1111111111111111,-0.7425947927381835,-0.7868312359516574,0.4236111111111111,-0.10367735712563299
K200,RISK,20,FACTOR_ONLY,NORMAL_2023_2024,97,0.5773195876288659,0.0023306938133596596,0.3402061855670103,-0.00029406776416554,0.1958762886597938,-0.3402640186212005,-0.4723838937027409,0.5360824742268041,0.08106722070271406
K200,RISK,20,FACTOR_ONLY,YTD_2026,20,1.0,0.05429076317940977,0.65,0.0,0.0,-0.6753797708929281,-0.6753797708929281,0.65,0.32631578947368417
K200,RISK,20,FULL,BULL_2025,49,0.7142857142857143,0.0396905461443166,0.5306122448979592,-0.021109110876192903,0.04081632653061224,-0.12519262085173744,-0.19483528418920681,0.5714285714285714,-0.1404081632653061
K200,RISK,20,FULL,DISCOVERY_2016_2022,144,0.6875,-0.006974023561788909,0.3125,-0.008048969848687875,0.11805555555555555,-0.748014208190457,-0.7868312359516574,0.4305555555555556,-0.20339602925809824
K200,RISK,20,FULL,NORMAL_2023_2024,97,0.5360824742268041,0.0015270567817912703,0.29896907216494845,-0.0010977047957339298,0.1958762886597938,-0.37524054344395696,-0.4723838937027409,0.4948453608247423,0.09561066694719124
K200,RISK,20,FULL,YTD_2026,20,1.0,0.05429076317940977,0.65,0.0,0.0,-0.6753797708929281,-0.6753797708929281,0.65,0.27518796992481204
K200,RISK,20,MARKET_ONLY,BULL_2025,49,0.6938775510204082,0.045268564719364426,0.5306122448979592,-0.015531092301145074,0.061224489795918366,-0.1167189665619629,-0.19483528418920681,0.5918367346938775,-0.06734693877551019
K200,RISK,20,MARKET_ONLY,DISCOVERY_2016_2022,144,0.7013888888888888,0.0013311749204100512,0.3402777777777778,0.0002562286335110842,0.13194444444444445,-0.6303912216381893,-0.7868312359516574,0.4722222222222222,0.009693754521340728
K200,RISK,20,MARKET_ONLY,NORMAL_2023_2024,97,0.44329896907216493,0.003104070295671279,0.28865979381443296,0.0004793087181460786,0.27835051546391754,-0.2865175249140678,-0.4723838937027409,0.5670103092783505,0.10285609088996421
K200,RISK,20,MARKET_ONLY,YTD_2026,20,1.0,0.05429076317940977,0.65,0.0,0.0,-0.6753797708929281,-0.6753797708929281,0.65,-0.2781954887218045
KOSDAQ,ALPHA,5,FACTOR_ONLY,BULL_2025,45,1.0,0.0074724173189266605,0.6888888888888889,-0.002314764887100293,0.15555555555555556,-0.1071855316503918,-0.09860142932654625,0.5777777777777777,0.008563899868247694
KOSDAQ,ALPHA,5,FACTOR_ONLY,DISCOVERY_2016_2022,113,1.0,-0.00100346571094465,0.5752212389380531,-0.0010780073984579003,0.08849557522123894,-0.4074604455205557,-0.4008915617530705,0.5132743362831859,-0.088154567835518
KOSDAQ,ALPHA,5,FACTOR_ONLY,NORMAL_2023_2024,73,1.0,0.00039042445733148437,0.5616438356164384,-0.00118666341432361,0.1232876712328767,-0.26483043604380463,-0.2435008698875203,0.410958904109589,-0.1496976428483278
KOSDAQ,ALPHA,5,FACTOR_ONLY,YTD_2026,13,1.0,0.01578018355354199,0.6153846153846154,-0.003650017187300341,0.07692307692307693,-0.07202613299314875,-0.067631303570856,0.46153846153846156,-0.14835164835164835
KOSDAQ,ALPHA,5,FULL,BULL_2025,45,1.0,0.006980735012384277,0.6888888888888889,-0.0028064471936426754,0.15555555555555556,-0.1071855316503918,-0.09860142932654625,0.5333333333333333,-0.06640316205533597
KOSDAQ,ALPHA,5,FULL,DISCOVERY_2016_2022,113,1.0,-0.0010583214632278674,0.5752212389380531,-0.0011328631507411182,0.09734513274336283,-0.40885023103244544,-0.4008915617530705,0.5221238938053098,-0.09712888415729591
KOSDAQ,ALPHA,5,FULL,NORMAL_2023_2024,73,1.0,-0.000252868767134599,0.5616438356164384,-0.001829956638789693,0.1232876712328767,-0.28097805246791074,-0.2435008698875203,0.3698630136986301,-0.15025299271874618
KOSDAQ,ALPHA,5,FULL,YTD_2026,13,1.0,0.01578018355354199,0.6153846153846154,-0.003650017187300341,0.07692307692307693,-0.07202613299314875,-0.067631303570856,0.46153846153846156,-0.0879120879120879
