universe,task,horizon,period,model,delta_edge_vs_control,delta_sign_accuracy,delta_rank_ic,delta_mdd
K200,ALPHA,5,BULL_2025,FACTOR_ONLY,0.0018891861076118159,0.04081632653061229,0.08071428571428571,-0.0381532961069706
K200,ALPHA,5,BULL_2025,FULL,-0.0010047886583895277,-0.10204081632653056,-0.06908163265306122,-0.0381532961069706
K200,ALPHA,5,DISCOVERY_2016_2022,FACTOR_ONLY,0.0014528426205336915,0.02777777777777779,0.2000683224821156,0.0635460058953593
K200,ALPHA,5,DISCOVERY_2016_2022,FULL,0.0009995601498876288,0.01388888888888895,0.13316051764327627,0.05147285759159792
K200,ALPHA,5,NORMAL_2023_2024,FACTOR_ONLY,-8.300510377831096e-05,0.02061855670103091,-0.15974121607405847,0.007987083106939297
K200,ALPHA,5,NORMAL_2023_2024,FULL,0.00015075269633538723,0.06185567010309273,-0.12484220492320638,0.007987083106938964
K200,ALPHA,5,YTD_2026,FACTOR_ONLY,0.002487886625754919,0.050000000000000044,0.17142857142857143,-0.01561558204885527
K200,ALPHA,5,YTD_2026,FULL,-0.0024088658929518948,-0.04999999999999999,0.1082706766917293,-0.04189350630144051
K200,ALPHA,20,BULL_2025,FACTOR_ONLY,0.009434018276176414,0.08163265306122447,0.265204081632653,0.00813499117720795
K200,ALPHA,20,BULL_2025,FULL,0.0009514869216604646,-0.06122448979591838,0.09724489795918365,0.00813499117720795
K200,ALPHA,20,DISCOVERY_2016_2022,FACTOR_ONLY,0.0015467739850566803,-0.04861111111111105,0.08953862229724299,-0.008186423223551453
K200,ALPHA,20,DISCOVERY_2016_2022,FULL,0.0007622226445511871,-0.00694444444444442,0.08592556868418938,0.008923350317208367
K200,ALPHA,20,NORMAL_2023_2024,FACTOR_ONLY,-0.0023222655626308165,-0.05154639175257725,-0.2509336208710288,-0.04011069609933915
K200,ALPHA,20,NORMAL_2023_2024,FULL,-0.0035616172655811556,-0.09278350515463912,-0.19875604881127706,-0.08629625525822604
K200,ALPHA,20,YTD_2026,FACTOR_ONLY,0.002180279019022591,0.0,0.09323308270676689,-0.09878385642460152
K200,ALPHA,20,YTD_2026,FULL,-0.006322575727204752,-0.09999999999999998,-0.03759398496240607,-0.07248767260169331
K200,RISK,5,BULL_2025,FACTOR_ONLY,-0.0035878260464928162,-0.061224489795918435,-0.06510204081632653,-0.0019601333285927947
K200,RISK,5,BULL_2025,FULL,-0.002679708233996779,-0.020408163265306145,-0.01846938775510204,0.002559877762153384
K200,RISK,5,DISCOVERY_2016_2022,FACTOR_ONLY,-0.003912248859970902,-0.0625,-0.1882847038019452,-0.15680699028853584
