universe,horizon,strategy,sample,n,mean_ret,edge_vs_ew4,beat_ew4
K200,5,SPREAD20_LEADER,BULL_2025,49,0.011156653051309253,-0.0007033772929446381,0.3877551020408163
K200,5,SPREAD20_LEADER,DISCOVERY_2016_2022,328,0.0008666376393191653,0.00048393183357505664,0.4969512195121951
K200,5,SPREAD20_LEADER,NORMAL_2023_2024,97,0.002127193542103816,0.0002947932291259623,0.44329896907216493
K200,5,SPREAD20_LEADER,YTD_2026,20,0.0109819304633491,0.0037490754531505502,0.6
K200,5,SPREAD60_LEADER,BULL_2025,49,0.010786383829231402,-0.0010736465150224868,0.3673469387755102
K200,5,SPREAD60_LEADER,DISCOVERY_2016_2022,328,0.00026436643945387865,-0.00011833936629022994,0.49390243902439024
K200,5,SPREAD60_LEADER,NORMAL_2023_2024,97,0.001359123186801574,-0.00047327712617628007,0.4639175257731959
K200,5,SPREAD60_LEADER,YTD_2026,20,0.005221876483016523,-0.0020109785271820247,0.5
K200,5,TOP20_LEADER,BULL_2025,49,0.011783019751719736,-7.701059253415427e-05,0.4489795918367347
K200,5,TOP20_LEADER,DISCOVERY_2016_2022,328,-0.0002705797969963083,-0.0006532856027404169,0.4298780487804878
K200,5,TOP20_LEADER,NORMAL_2023_2024,97,0.0018522250915536278,1.9824778575773556e-05,0.4639175257731959
K200,5,TOP20_LEADER,YTD_2026,20,0.008850700682739524,0.001617845672540975,0.55
K200,5,WPLUS,BULL_2025,39,0.011635957675537831,-0.001245597905654082,0.358974358974359
K200,5,WPLUS,DISCOVERY_2016_2022,182,0.0029813166371553024,0.00033799301921719676,0.489010989010989
K200,5,WPLUS,NORMAL_2023_2024,55,0.0012124071086303044,0.0014002699410390368,0.43636363636363634
K200,5,WPLUS,YTD_2026,17,0.013451307368829947,-0.001055515688179708,0.35294117647058826
K200,20,SPREAD20_LEADER,BULL_2025,49,0.04875504747763024,-0.002317599763921676,0.4489795918367347
K200,20,SPREAD20_LEADER,DISCOVERY_2016_2022,328,0.0023473305313270903,0.0007115780947308493,0.5609756097560976
K200,20,SPREAD20_LEADER,NORMAL_2023_2024,97,0.006777357580430828,-0.0006537995870350994,0.4845360824742268
K200,20,SPREAD20_LEADER,YTD_2026,20,0.010880712985909773,0.00023125259213078973,0.45
K200,20,SPREAD60_LEADER,BULL_2025,49,0.04892209238412105,-0.002150554857430857,0.42857142857142855
K200,20,SPREAD60_LEADER,DISCOVERY_2016_2022,328,0.0006833879157748275,-0.0009523645208214132,0.5
K200,20,SPREAD60_LEADER,NORMAL_2023_2024,97,0.0041978124061854815,-0.003233344761280445,0.4329896907216495
K200,20,SPREAD60_LEADER,YTD_2026,20,-0.0003396066607372142,-0.0109890670545162,0.3
K200,20,TOP20_LEADER,BULL_2025,49,0.05151852655012289,0.0004458793085709839,0.5306122448979592
K200,20,TOP20_LEADER,DISCOVERY_2016_2022,328,-1.3205859402610363e-05,-0.001648958295998851,0.4817073170731707
K200,20,TOP20_LEADER,NORMAL_2023_2024,97,0.006217165277340856,-0.0012139918901250704,0.4742268041237113
K200,20,TOP20_LEADER,YTD_2026,20,0.011377773963414318,0.0007283135696353356,0.45
K200,20,WPLUS,BULL_2025,39,0.04719091447501228,-0.0032263575336393437,0.4358974358974359
K200,20,WPLUS,DISCOVERY_2016_2022,182,0.005997983018014143,-4.5696520209279087e-05,0.4835164835164835
K200,20,WPLUS,NORMAL_2023_2024,55,-0.001547201390663503,0.004133868774148914,0.5272727272727272
K200,20,WPLUS,YTD_2026,17,0.028464169794522338,-0.008517858418604276,0.23529411764705882
KOSDAQ,5,SPREAD20_LEADER,BULL_2025,45,0.011051226127201443,0.0012640439211744896,0.5555555555555556
KOSDAQ,5,SPREAD20_LEADER,DISCOVERY_2016_2022,256,0.002420596421254252,0.0016221088002350374,0.5546875
KOSDAQ,5,SPREAD20_LEADER,NORMAL_2023_2024,73,0.0015184040045059495,-5.868386714914531e-05,0.547945205479452
KOSDAQ,5,SPREAD20_LEADER,YTD_2026,13,0.027155898206792796,0.0077256974659504615,0.5384615384615384
KOSDAQ,5,SPREAD60_LEADER,BULL_2025,45,0.010250264963699133,0.0004630827576721804,0.5111111111111111
KOSDAQ,5,SPREAD60_LEADER,DISCOVERY_2016_2022,256,0.002624331569827283,0.001825843948808068,0.56640625
KOSDAQ,5,SPREAD60_LEADER,NORMAL_2023_2024,73,-0.00018188445433993224,-0.001758972325995027,0.4794520547945205
KOSDAQ,5,SPREAD60_LEADER,YTD_2026,13,0.02264813624811928,0.0032179355072769456,0.38461538461538464
KOSDAQ,5,TOP20_LEADER,BULL_2025,45,0.010029877090081653,0.0002426948840547006,0.5111111111111111
KOSDAQ,5,TOP20_LEADER,DISCOVERY_2016_2022,256,0.0023260388126919297,0.0015275511916727146,0.55859375
KOSDAQ,5,TOP20_LEADER,NORMAL_2023_2024,73,0.0013333574072362465,-0.00024373046441884805,0.5068493150684932
KOSDAQ,5,TOP20_LEADER,YTD_2026,13,0.025187225513871606,0.00575702477302927,0.5384615384615384
KOSDAQ,5,WPLUS,BULL_2025,37,0.011727078576446592,0.0009130764632983707,0.4864864864864865
KOSDAQ,5,WPLUS,DISCOVERY_2016_2022,181,0.0019297832902529695,0.00105061886171654,0.5414364640883977
KOSDAQ,5,WPLUS,NORMAL_2023_2024,45,0.002909398857778909,8.757468705305606e-05,0.5555555555555556
KOSDAQ,5,WPLUS,YTD_2026,12,0.02200110288770642,0.0031503853897055425,0.3333333333333333
KOSDAQ,20,SPREAD20_LEADER,BULL_2025,45,0.04471379234559198,0.0020491945439910946,0.5555555555555556
KOSDAQ,20,SPREAD20_LEADER,DISCOVERY_2016_2022,256,0.005821282922352713,0.0047425492860709954,0.5703125
KOSDAQ,20,SPREAD20_LEADER,NORMAL_2023_2024,73,0.0020014349600940926,-0.0003718124034076047,0.4657534246575342
KOSDAQ,20,SPREAD20_LEADER,YTD_2026,13,0.034121174630771946,0.009445596577036591,0.5384615384615384
KOSDAQ,20,SPREAD60_LEADER,BULL_2025,45,0.04504874638701523,0.0023841485854143485,0.5111111111111111
KOSDAQ,20,SPREAD60_LEADER,DISCOVERY_2016_2022,256,0.007608262854053964,0.006529529217772247,0.609375
KOSDAQ,20,SPREAD60_LEADER,NORMAL_2023_2024,73,-0.0014994235577319387,-0.003872670921233636,0.4246575342465753
KOSDAQ,20,SPREAD60_LEADER,YTD_2026,13,0.02137847674481525,-0.0032971013089200993,0.38461538461538464
KOSDAQ,20,TOP20_LEADER,BULL_2025,45,0.04970515521122982,0.007040557409628935,0.6444444444444445
KOSDAQ,20,TOP20_LEADER,DISCOVERY_2016_2022,256,0.0056715701282122645,0.004592836491930548,0.5703125
KOSDAQ,20,TOP20_LEADER,NORMAL_2023_2024,73,0.0017989201841703605,-0.000574327179331337,0.4657534246575342
KOSDAQ,20,TOP20_LEADER,YTD_2026,13,0.03344801539940995,0.008772437345674592,0.46153846153846156
KOSDAQ,20,WPLUS,BULL_2025,37,0.04881948053401263,0.006275128337456545,0.6486486486486487
KOSDAQ,20,WPLUS,DISCOVERY_2016_2022,181,0.0015035106133308642,0.004730684210989247,0.5966850828729282
KOSDAQ,20,WPLUS,NORMAL_2023_2024,45,0.012336954446648491,0.002538964734817424,0.5333333333333333
KOSDAQ,20,WPLUS,YTD_2026,12,0.0311617740592325,0.0015052406199589248,0.5
KOSDAQ_PLUS_KOSPI_EX_K200,5,SPREAD20_LEADER,BULL_2025,49,0.009870228702569392,0.0002573362458119846,0.5306122448979592
KOSDAQ_PLUS_KOSPI_EX_K200,5,SPREAD20_LEADER,DISCOVERY_2016_2022,328,0.0023374898229168483,0.0018590739976155413,0.5701219512195121
KOSDAQ_PLUS_KOSPI_EX_K200,5,SPREAD20_LEADER,NORMAL_2023_2024,96,0.0015473024306497274,0.00016491937516428999,0.4895833333333333
KOSDAQ_PLUS_KOSPI_EX_K200,5,SPREAD20_LEADER,YTD_2026,19,0.004851181936177247,-0.00377462200322746,0.3684210526315789
KOSDAQ_PLUS_KOSPI_EX_K200,5,SPREAD60_LEADER,BULL_2025,49,0.011657671874439621,0.002044779417682213,0.5510204081632653
KOSDAQ_PLUS_KOSPI_EX_K200,5,SPREAD60_LEADER,DISCOVERY_2016_2022,328,0.0020343147859803365,0.0015558989606790298,0.5548780487804879
KOSDAQ_PLUS_KOSPI_EX_K200,5,SPREAD60_LEADER,NORMAL_2023_2024,96,0.00026507311979705395,-0.0011173099356883835,0.5104166666666666
KOSDAQ_PLUS_KOSPI_EX_K200,5,SPREAD60_LEADER,YTD_2026,19,0.010400860976194845,0.001775057036790139,0.5263157894736842
KOSDAQ_PLUS_KOSPI_EX_K200,5,TOP20_LEADER,BULL_2025,49,0.009830995731044258,0.00021810327428685008,0.46938775510204084
KOSDAQ_PLUS_KOSPI_EX_K200,5,TOP20_LEADER,DISCOVERY_2016_2022,328,0.002191418374741298,0.0017130025494399913,0.5396341463414634
KOSDAQ_PLUS_KOSPI_EX_K200,5,TOP20_LEADER,NORMAL_2023_2024,96,0.002077744760300726,0.0006953617048152885,0.5
KOSDAQ_PLUS_KOSPI_EX_K200,5,TOP20_LEADER,YTD_2026,19,0.0067571470168342855,-0.0018686569225704224,0.5263157894736842
KOSDAQ_PLUS_KOSPI_EX_K200,5,WPLUS,BULL_2025,37,0.013037479282787175,0.0022703632274251847,0.4864864864864865
KOSDAQ_PLUS_KOSPI_EX_K200,5,WPLUS,DISCOVERY_2016_2022,202,0.002876564651602135,0.0013283416623213527,0.594059405940594
KOSDAQ_PLUS_KOSPI_EX_K200,5,WPLUS,NORMAL_2023_2024,50,0.0005384144170637672,-0.0007064839757613264,0.5
KOSDAQ_PLUS_KOSPI_EX_K200,5,WPLUS,YTD_2026,12,0.0073550799935065995,0.00034213256432757115,0.4166666666666667
KOSDAQ_PLUS_KOSPI_EX_K200,20,SPREAD20_LEADER,BULL_2025,49,0.04213153515561284,0.0024195545263016155,0.5714285714285714
KOSDAQ_PLUS_KOSPI_EX_K200,20,SPREAD20_LEADER,DISCOVERY_2016_2022,328,0.007119808563993265,0.00472939469886171,0.6067073170731707
KOSDAQ_PLUS_KOSPI_EX_K200,20,SPREAD20_LEADER,NORMAL_2023_2024,96,0.004640232427289706,-0.0025639466651665396,0.46875
KOSDAQ_PLUS_KOSPI_EX_K200,20,SPREAD20_LEADER,YTD_2026,19,-0.008515092969495848,0.0005002031513843555,0.3684210526315789
KOSDAQ_PLUS_KOSPI_EX_K200,20,SPREAD60_LEADER,BULL_2025,49,0.04691913915822443,0.007207158528913205,0.6326530612244898
KOSDAQ_PLUS_KOSPI_EX_K200,20,SPREAD60_LEADER,DISCOVERY_2016_2022,328,0.006530657540584019,0.004140243675452464,0.600609756097561
KOSDAQ_PLUS_KOSPI_EX_K200,20,SPREAD60_LEADER,NORMAL_2023_2024,96,0.002526773953367955,-0.004677405139088291,0.4479166666666667
KOSDAQ_PLUS_KOSPI_EX_K200,20,SPREAD60_LEADER,YTD_2026,19,-0.018759765207507176,-0.009744469086626975,0.3157894736842105
KOSDAQ_PLUS_KOSPI_EX_K200,20,TOP20_LEADER,BULL_2025,49,0.04500596242262817,0.005293981793316948,0.6122448979591837
KOSDAQ_PLUS_KOSPI_EX_K200,20,TOP20_LEADER,DISCOVERY_2016_2022,328,0.0056341733391827,0.0032437594740511444,0.5823170731707317
KOSDAQ_PLUS_KOSPI_EX_K200,20,TOP20_LEADER,NORMAL_2023_2024,96,0.006144064199177967,-0.0010601148932782795,0.5
KOSDAQ_PLUS_KOSPI_EX_K200,20,TOP20_LEADER,YTD_2026,19,-0.001673617236086811,0.007341678884793391,0.5263157894736842
KOSDAQ_PLUS_KOSPI_EX_K200,20,WPLUS,BULL_2025,37,0.046721592718404044,0.007225792314716725,0.6216216216216216
KOSDAQ_PLUS_KOSPI_EX_K200,20,WPLUS,DISCOVERY_2016_2022,202,0.006419484279679935,0.003754977315349112,0.6039603960396039
KOSDAQ_PLUS_KOSPI_EX_K200,20,WPLUS,NORMAL_2023_2024,50,0.006468602795593909,-0.0004905670460476144,0.52
KOSDAQ_PLUS_KOSPI_EX_K200,20,WPLUS,YTD_2026,12,0.002291138463671553,-0.0030364274462520214,0.4166666666666667
KOSPI_ALL,5,SPREAD20_LEADER,BULL_2025,49,0.009419994943778109,-0.0006869089512494286,0.42857142857142855
KOSPI_ALL,5,SPREAD20_LEADER,DISCOVERY_2016_2022,328,0.0012899564372530513,0.0008288286297444973,0.5182926829268293
KOSPI_ALL,5,SPREAD20_LEADER,NORMAL_2023_2024,97,0.0033873926362873808,0.0013891367063947257,0.5051546391752577
KOSPI_ALL,5,SPREAD20_LEADER,YTD_2026,21,0.010852658889424457,0.0025536234869843683,0.6190476190476191
KOSPI_ALL,5,SPREAD60_LEADER,BULL_2025,49,0.009019668022472884,-0.001087235872554653,0.3877551020408163
KOSPI_ALL,5,SPREAD60_LEADER,DISCOVERY_2016_2022,328,0.0006031491766976567,0.00014202136918910254,0.5
KOSPI_ALL,5,SPREAD60_LEADER,NORMAL_2023_2024,97,0.001942472040614267,-5.578388927838769e-05,0.4845360824742268
KOSPI_ALL,5,SPREAD60_LEADER,YTD_2026,21,0.002573255308920062,-0.005725780093520027,0.38095238095238093
KOSPI_ALL,5,TOP20_LEADER,BULL_2025,49,0.008991436259163696,-0.0011154676358638412,0.3877551020408163
KOSPI_ALL,5,TOP20_LEADER,DISCOVERY_2016_2022,328,0.0004250907568592348,-3.603705064931926e-05,0.4725609756097561
