universe,eval_year,horizon,model,feature,coef,alpha
K200,2020,5,STATIC_FAMILY,FAM_REVISION,0.0006025316367344149,100.0
K200,2020,5,STATIC_FAMILY,FAM_VALUE,0.00035497555062747487,100.0
K200,2020,5,STATIC_FAMILY,FAM_FLOW,0.0002069467715052495,100.0
K200,2020,5,FAMILY_STATE,top_20d,-0.00018214267246743603,1.0
K200,2020,5,FAMILY_STATE,spread_20d,-0.00025842684672770116,1.0
K200,2020,5,FAMILY_STATE,top_60d,0.0002268176346294003,1.0
K200,2020,5,FAMILY_STATE,spread_60d,0.0003262360296487838,1.0
K200,2020,5,FAMILY_STATE,z_top_20d,0.0005480530139193238,1.0
K200,2020,5,FAMILY_STATE,z_spread_20d,0.0017274411796927083,1.0
K200,2020,5,FAMILY_STATE,z_top_60d,0.0005578170538012364,1.0
K200,2020,5,FAMILY_STATE,z_spread_60d,-0.003724319586852508,1.0
K200,2020,5,FAMILY_STATE,rank_top_20d,-0.0015433271832778093,1.0
K200,2020,5,FAMILY_STATE,rank_spread_20d,0.0012559346511500271,1.0
K200,2020,5,FAMILY_STATE,rank_top_60d,0.0007331268426431797,1.0
K200,2020,5,FAMILY_STATE,rank_spread_60d,3.030110858840058e-05,1.0
K200,2020,5,FAMILY_STATE,spread_accel,-0.0027980313375523536,1.0
K200,2020,5,FAMILY_STATE,top_accel,0.0009686866989894946,1.0
K200,2020,5,FAMILY_STATE,member_positive_spread_share_20d,-0.00047036431101345525,1.0
K200,2020,5,FAMILY_STATE,member_same_sign_20d,0.00011744519583544366,1.0
K200,2020,5,FAMILY_STATE,FAM_REVISION,0.0010135254999242159,1.0
K200,2020,5,FAMILY_STATE,FAM_VALUE,0.0006689506689694506,1.0
K200,2020,5,FAMILY_STATE,FAM_FLOW,0.00048702052861045034,1.0
K200,2020,5,FULL_INTERACTION,top_20d,-0.00016435531559218767,100.0
K200,2020,5,FULL_INTERACTION,spread_20d,-0.00015415550833510145,100.0
K200,2020,5,FULL_INTERACTION,top_60d,0.00015682765858148008,100.0
K200,2020,5,FULL_INTERACTION,spread_60d,7.819220653642144e-05,100.0
K200,2020,5,FULL_INTERACTION,z_top_20d,-1.629198911287232e-05,100.0
K200,2020,5,FULL_INTERACTION,z_spread_20d,-0.00020600754929553703,100.0
K200,2020,5,FULL_INTERACTION,z_top_60d,5.4426170054136216e-05,100.0
K200,2020,5,FULL_INTERACTION,z_spread_60d,-0.00021543335962306013,100.0
K200,2020,5,FULL_INTERACTION,rank_top_20d,-0.0006047520531952844,100.0
K200,2020,5,FULL_INTERACTION,rank_spread_20d,0.00028422170196149227,100.0
K200,2020,5,FULL_INTERACTION,rank_top_60d,0.00035388138827018587,100.0
K200,2020,5,FULL_INTERACTION,rank_spread_60d,-8.729344323311309e-06,100.0
K200,2020,5,FULL_INTERACTION,spread_accel,-0.00014246760589544706,100.0
K200,2020,5,FULL_INTERACTION,top_accel,-3.460716129576036e-05,100.0
K200,2020,5,FULL_INTERACTION,member_positive_spread_share_20d,-0.000447895319969752,100.0
K200,2020,5,FULL_INTERACTION,member_same_sign_20d,0.00015163459825613177,100.0
K200,2020,5,FULL_INTERACTION,FAM_REVISION,0.0006551624812869157,100.0
K200,2020,5,FULL_INTERACTION,FAM_VALUE,0.0004022191631026927,100.0
K200,2020,5,FULL_INTERACTION,FAM_FLOW,0.00017541749021477093,100.0
K200,2020,5,FULL_INTERACTION,INT_z_top_20d__MKT_RET_60D,5.9462702050241e-06,100.0
K200,2020,5,FULL_INTERACTION,INT_z_top_20d__MKT_VOL_20D,9.8629966030128e-05,100.0
K200,2020,5,FULL_INTERACTION,INT_z_top_20d__LIQ_5D_20D,0.0002867947242150431,100.0
K200,2020,5,FULL_INTERACTION,INT_z_top_20d__ABS_CONFIRMED_BREADTH,-7.575231866714313e-05,100.0
K200,2020,5,FULL_INTERACTION,INT_z_top_20d__CONFLICT_PAIR_SHARE,0.00040849357743635796,100.0
K200,2020,5,FULL_INTERACTION,INT_z_spread_20d__MKT_RET_60D,0.0003926749495412414,100.0
K200,2020,5,FULL_INTERACTION,INT_z_spread_20d__MKT_VOL_20D,-4.6917159805408325e-05,100.0
K200,2020,5,FULL_INTERACTION,INT_z_spread_20d__LIQ_5D_20D,-8.635425067668023e-05,100.0
K200,2020,5,FULL_INTERACTION,INT_z_spread_20d__ABS_CONFIRMED_BREADTH,-0.0006246268053586929,100.0
K200,2020,5,FULL_INTERACTION,INT_z_spread_20d__CONFLICT_PAIR_SHARE,0.0003448631476781803,100.0
K200,2020,5,FULL_INTERACTION,INT_spread_accel__MKT_RET_60D,-5.3038807809222444e-05,100.0
K200,2020,5,FULL_INTERACTION,INT_spread_accel__MKT_VOL_20D,0.00019719894100647496,100.0
K200,2020,5,FULL_INTERACTION,INT_spread_accel__LIQ_5D_20D,0.0005941030397408207,100.0
