universe,eval_year,model,action,feature,coef_std,alpha
K200,2020,MARKET_ONLY,MARKET,MKT_RET_20D,-0.0008828972558530291,100.0
K200,2020,MARKET_ONLY,MARKET,MKT_RET_60D,-0.0006525373544317682,100.0
K200,2020,MARKET_ONLY,MARKET,MKT_VOL_20D,-0.0005976426646529994,100.0
K200,2020,MARKET_ONLY,MARKET,MKT_DD_60D,0.0006886450803466254,100.0
K200,2020,MARKET_ONLY,MARKET,LIQ_5D_20D,-0.0009890362547050819,100.0
K200,2020,MARKET_ONLY,MARKET,LIQ_1D_20D,-6.527700405601429e-05,100.0
K200,2020,FACTOR_ONLY,MARKET,RELATIVE_WORKING_BREADTH,-0.0003301557028827911,100.0
K200,2020,FACTOR_ONLY,MARKET,ABS_CONFIRMED_BREADTH,-0.00017725916957525301,100.0
K200,2020,FACTOR_ONLY,MARKET,DEFENSIVE_WORKING_BREADTH,-0.00018967171539670664,100.0
K200,2020,FACTOR_ONLY,MARKET,REVERSE_BREADTH,-0.00029160550293159254,100.0
K200,2020,FACTOR_ONLY,MARKET,BEARISH_REVERSE_BREADTH,0.00014443273465753826,100.0
K200,2020,FACTOR_ONLY,MARKET,POSITIVE_ABS_BREADTH,-3.3319133357615834e-05,100.0
K200,2020,FACTOR_ONLY,MARKET,WPLUS_FAMILY_SHARE,-0.0006617589476218314,100.0
K200,2020,FACTOR_ONLY,MARKET,WMINUS_FAMILY_SHARE,0.0005837425211683139,100.0
K200,2020,FACTOR_ONLY,MARKET,RMINUS_FAMILY_SHARE,-0.00029268519795613385,100.0
K200,2020,FACTOR_ONLY,MARKET,WPLUS_PAIR_SHARE,-0.0008853486843511328,100.0
K200,2020,FACTOR_ONLY,MARKET,CONFLICT_PAIR_SHARE,-0.0004517751485353544,100.0
K200,2020,FACTOR_ONLY,MARKET,LEADER_STRENGTH_60D,0.0004120017412956253,100.0
K200,2020,FACTOR_ONLY,MARKET,SPREAD_DISPERSION_20D,0.00028761945998879426,100.0
K200,2020,FACTOR_ONLY,MARKET,FAMILY_MEMBER_AGREEMENT,0.0001682796014190443,100.0
K200,2020,FACTOR_ONLY,MARKET,MOMENTUM_top_20d,0.0002533482404237372,100.0
K200,2020,FACTOR_ONLY,MARKET,MOMENTUM_spread_20d,0.000276054015480401,100.0
K200,2020,FACTOR_ONLY,MARKET,MOMENTUM_top_60d,0.00041526483651113595,100.0
K200,2020,FACTOR_ONLY,MARKET,MOMENTUM_spread_60d,-7.571038831426889e-05,100.0
K200,2020,FACTOR_ONLY,MARKET,MOMENTUM_member_positive_spread_share_20d,-0.00010566282643923532,100.0
K200,2020,FACTOR_ONLY,MARKET,MOMENTUM_member_same_sign_20d,0.00029504171125989214,100.0
K200,2020,FACTOR_ONLY,MARKET,REVISION_top_20d,-0.0005892904245203837,100.0
K200,2020,FACTOR_ONLY,MARKET,REVISION_spread_20d,4.676387830901056e-05,100.0
K200,2020,FACTOR_ONLY,MARKET,REVISION_top_60d,-0.0001666166626681499,100.0
K200,2020,FACTOR_ONLY,MARKET,REVISION_spread_60d,0.0001545013542355866,100.0
K200,2020,FACTOR_ONLY,MARKET,REVISION_member_positive_spread_share_20d,7.106954960944767e-05,100.0
K200,2020,FACTOR_ONLY,MARKET,REVISION_member_same_sign_20d,4.078350340337307e-05,100.0
K200,2020,FACTOR_ONLY,MARKET,VALUE_top_20d,-0.00020974915726396,100.0
K200,2020,FACTOR_ONLY,MARKET,VALUE_spread_20d,5.246824138431274e-05,100.0
K200,2020,FACTOR_ONLY,MARKET,VALUE_top_60d,0.00036825864612411986,100.0
K200,2020,FACTOR_ONLY,MARKET,VALUE_spread_60d,0.0008620805719133707,100.0
K200,2020,FACTOR_ONLY,MARKET,VALUE_member_positive_spread_share_20d,-0.0012873360656545996,100.0
K200,2020,FACTOR_ONLY,MARKET,VALUE_member_same_sign_20d,0.00012616617596515042,100.0
K200,2020,FACTOR_ONLY,MARKET,FLOW_top_20d,0.00023176730266002963,100.0
K200,2020,FACTOR_ONLY,MARKET,FLOW_spread_20d,8.195278509915349e-05,100.0
K200,2020,FACTOR_ONLY,MARKET,FLOW_top_60d,0.00032762102904216955,100.0
K200,2020,FACTOR_ONLY,MARKET,FLOW_spread_60d,0.00047325029708271133,100.0
K200,2020,FACTOR_ONLY,MARKET,FLOW_member_positive_spread_share_20d,0.00038661339424822587,100.0
K200,2020,FACTOR_ONLY,MARKET,FLOW_member_same_sign_20d,-2.1538832114517566e-05,100.0
K200,2020,FULL,MARKET,MKT_RET_20D,-0.0007421332007978091,100.0
K200,2020,FULL,MARKET,MKT_RET_60D,-0.0009821029058099191,100.0
K200,2020,FULL,MARKET,MKT_VOL_20D,-0.00041725967643012633,100.0
K200,2020,FULL,MARKET,MKT_DD_60D,0.0006533103928148415,100.0
K200,2020,FULL,MARKET,LIQ_5D_20D,-0.000994844790246721,100.0
K200,2020,FULL,MARKET,LIQ_1D_20D,-1.7821255016636333e-06,100.0
K200,2020,FULL,MARKET,RELATIVE_WORKING_BREADTH,-0.0003402129931973195,100.0
K200,2020,FULL,MARKET,ABS_CONFIRMED_BREADTH,-0.0002086396110360543,100.0
K200,2020,FULL,MARKET,DEFENSIVE_WORKING_BREADTH,-0.0001671470284538075,100.0
K200,2020,FULL,MARKET,REVERSE_BREADTH,-0.00024424760574213403,100.0
