universe,factor,n_blocks,mean_pairwise_breadth,mean_top5_abs_contrib_share,mean_liquidity_support,median_activity_coverage
K200,FOREIGN_FLOW,519,0.4986195614829521,0.2236191552075586,-0.02724254329798282,1.0
K200,MOM12_1,519,0.5007571162701765,0.22446488936882134,-0.007427297031746647,1.0
K200,MOM1M,519,0.48626759239838013,0.22398739215691482,-0.01613675273158,1.0
K200,OP12_REV,519,0.5139068263868822,0.24335456204360667,-0.01704554389672787,1.0
K200,OPFY1_REV,519,0.5118665338253833,0.24332443859330669,-0.016715819276187215,1.0
K200,PBR12MF,519,0.5141176677909279,0.2416651156591441,-0.004609921003683315,1.0
K200,PER12MF,519,0.5222866151836978,0.24631713304629338,-0.00424026116299518,1.0
K200,PRIVATE_FLOW,519,0.5100294922283798,0.2213592866090764,-0.021412197197921562,1.0
KOSDAQ,FOREIGN_FLOW,519,0.5006486900907116,0.2093727852483164,-0.01685580040254065,1.0
KOSDAQ,MOM12_1,519,0.49627865903967167,0.21548049088599372,-0.004142245570994315,1.0
KOSDAQ,MOM1M,519,0.47596695891320273,0.21570795578348043,-0.016869920342263093,1.0
KOSDAQ,OP12_REV,519,0.5103884207047956,0.3042101214429996,-0.01383184261215132,1.0
KOSDAQ,OPFY1_REV,519,0.5134999020602584,0.2905087731162248,-0.00942412902973261,1.0
KOSDAQ,PBR12MF,519,0.5184347850737621,0.3005973517748454,-0.002269080434644153,1.0
KOSDAQ,PER12MF,519,0.5215472829299294,0.30513749689279823,-0.004612880396894743,1.0
KOSDAQ,PRIVATE_FLOW,519,0.5000507750194989,0.20255963736056606,-0.0036836275597402,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,519,0.49968437069289884,0.1457248274182499,-0.01936830283344105,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,519,0.49579628812459264,0.1522394719734523,-0.006057682928018481,0.9957627118644068
KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,519,0.4724270639521149,0.15124202540533221,-0.017587212815324993,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,519,0.516221339577732,0.21608590882534315,-0.012358127187483156,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,519,0.517577877980619,0.20725947793272748,-0.00891320664479765,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,519,0.5170650215153256,0.21415330475749517,-0.0014116705838320392,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,519,0.5246062499085596,0.2166976048397157,-0.0029785157963291135,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,519,0.5041898054539956,0.13949297346429756,-0.00715480033178848,1.0
KOSPI_ALL,FOREIGN_FLOW,519,0.5007949759838006,0.15359469166521672,-0.022837616268762302,1.0
KOSPI_ALL,MOM12_1,519,0.4994789351809713,0.157144810057709,-0.011047536080494691,1.0
KOSPI_ALL,MOM1M,519,0.4789956494569582,0.15587892566518632,-0.018265491465436115,1.0
KOSPI_ALL,OP12_REV,519,0.5159239824568843,0.1879697704886418,-0.015611119706819497,1.0
KOSPI_ALL,OPFY1_REV,519,0.5142186065939389,0.18487572640481204,-0.01296888265852321,1.0
KOSPI_ALL,PBR12MF,519,0.5153701943197158,0.1879880039056316,-0.0013600102680901079,1.0
KOSPI_ALL,PER12MF,519,0.518257728585705,0.18902948510188072,-0.004310214708444957,1.0
KOSPI_ALL,PRIVATE_FLOW,519,0.5083811536664624,0.14718736119295092,-0.01569394800726395,1.0
KOSPI_EX_K200,FOREIGN_FLOW,519,0.49972741868237625,0.26553651970385467,-0.024853728904696473,1.0
KOSPI_EX_K200,MOM12_1,519,0.49844673272996115,0.26909442795172134,-0.012789382917445942,1.0
KOSPI_EX_K200,MOM1M,519,0.4697718932036342,0.2662382915117172,-0.02025531433979336,1.0
KOSPI_EX_K200,OP12_REV,519,0.523394099998215,0.4007625482537378,-0.012006309389135352,1.0
KOSPI_EX_K200,OPFY1_REV,519,0.5254378570663619,0.39213056664988166,-0.008224432544264457,1.0
KOSPI_EX_K200,PBR12MF,519,0.5185848339663127,0.39872049763229767,0.002560948253405022,1.0
KOSPI_EX_K200,PER12MF,519,0.521087417050128,0.40086415079001453,-0.0022365930102032972,1.0
KOSPI_EX_K200,PRIVATE_FLOW,519,0.5068316173893614,0.2549303916650235,-0.011774015124628614,1.0
KOSPI_KOSDAQ_ALL,FOREIGN_FLOW,519,0.500247559976977,0.11101788928485225,-0.02217076406603456,1.0
KOSPI_KOSDAQ_ALL,MOM12_1,519,0.4951873070544062,0.11493841593479028,-0.009783060784468996,0.9966666666666667
KOSPI_KOSDAQ_ALL,MOM1M,519,0.4749717392009742,0.11528680458699261,-0.01903723178754673,1.0
KOSPI_KOSDAQ_ALL,OP12_REV,519,0.5134111363037246,0.14301024685210165,-0.015433194954276716,1.0
KOSPI_KOSDAQ_ALL,OPFY1_REV,519,0.5143104428709557,0.13851648653521592,-0.012446015450955757,1.0
KOSPI_KOSDAQ_ALL,PBR12MF,519,0.5222673135094765,0.14204138440069772,3.232144575210997e-05,1.0
KOSPI_KOSDAQ_ALL,PER12MF,519,0.5254252976739464,0.14468082023435824,-0.002455491364849661,1.0
KOSPI_KOSDAQ_ALL,PRIVATE_FLOW,519,0.5065969998870491,0.10600537082634946,-0.013593540452174683,1.0
