sample,spec,split_rule,universe,forward_horizon,state,n,mean_fwd_return,median_fwd_return,positive_share,mean_trailing20_return,median_trailing20_return,mean_factor_breadth,mean_liquidity_breadth,factor_low_cut,factor_high_cut,liq_low_cut,liq_high_cut
TRAIN,MAIN_F20_L5_20,MEDIAN,K200,1,A_FHIGH_LHIGH,115,0.0005380877896153398,0.0008118477299759,0.5565217391304348,0.0028866695801024896,0.01149762917978981,0.6597826086956522,0.5416974341098851,,0.5,,0.3894736842105263
TRAIN,MAIN_F20_L5_20,MEDIAN,K200,1,B_FHIGH_LLOW,110,-0.0005022882859672625,-0.0004039118310682,0.4636363636363636,-0.008272890311512324,-0.008772113272286091,0.6704545454545454,0.28101774611151437,,0.5,,0.3894736842105263
TRAIN,MAIN_F20_L5_20,MEDIAN,K200,1,C_FLOW_LHIGH,56,0.0010536123915039772,0.0010066121253347001,0.5892857142857143,0.027195256511570554,0.018730287315262856,0.27232142857142855,0.517896530052494,,0.5,,0.3894736842105263
TRAIN,MAIN_F20_L5_20,MEDIAN,K200,1,D_FLOW_LLOW,60,-0.0013818269831699,0.00028293065373619997,0.5166666666666667,0.006533548342660105,0.014104780182338718,0.2833333333333333,0.29322963731474805,,0.5,,0.3894736842105263
OOS,MAIN_F20_L5_20,MEDIAN,K200,1,A_FHIGH_LHIGH,66,0.002956192694043397,0.0034574374824544504,0.5909090909090909,0.06493084021654048,0.042338375928361316,0.7064393939393939,0.5612988649181906,,0.5,,0.3894736842105263
OOS,MAIN_F20_L5_20,MEDIAN,K200,1,B_FHIGH_LLOW,65,0.0010380700572359724,0.0017364255396289,0.5384615384615384,-0.0034865561846183914,-0.006918831240731407,0.6673076923076923,0.27160530276446165,,0.5,,0.3894736842105263
OOS,MAIN_F20_L5_20,MEDIAN,K200,1,C_FLOW_LHIGH,20,-0.0028102559535987106,0.00180424821266425,0.55,0.04048483768082142,0.04359572028372119,0.3,0.5655647339018693,,0.5,,0.3894736842105263
OOS,MAIN_F20_L5_20,MEDIAN,K200,1,D_FLOW_LLOW,24,0.002863513924185287,0.0017466069623837499,0.5416666666666666,0.005861685888502358,0.011953752486793449,0.28125,0.27421500921105163,,0.5,,0.3894736842105263
TRAIN,MAIN_F20_L5_20,MEDIAN,K200,5,A_FHIGH_LHIGH,115,-0.0008923651179836694,0.0012491429364384036,0.5217391304347826,0.0028866695801024896,0.01149762917978981,0.6597826086956522,0.5416974341098851,,0.5,,0.3894736842105263
TRAIN,MAIN_F20_L5_20,MEDIAN,K200,5,B_FHIGH_LLOW,110,-0.0001736930338751469,0.0007413886595804233,0.5181818181818182,-0.008272890311512324,-0.008772113272286091,0.6704545454545454,0.28101774611151437,,0.5,,0.3894736842105263
TRAIN,MAIN_F20_L5_20,MEDIAN,K200,5,C_FLOW_LHIGH,56,0.003805185596365442,0.003549077089030943,0.6428571428571429,0.027195256511570554,0.018730287315262856,0.27232142857142855,0.517896530052494,,0.5,,0.3894736842105263
