sample,spec,universe,lag_steps,approx_trading_days,from_state,to_state,n_from,count,probability
TRAIN,MAIN_F20_L5_20,K200,1,5,A_FHIGH_LHIGH,A_FHIGH_LHIGH,114,60,0.5263157894736842
TRAIN,MAIN_F20_L5_20,K200,1,5,A_FHIGH_LHIGH,B_FHIGH_LLOW,114,34,0.2982456140350877
TRAIN,MAIN_F20_L5_20,K200,1,5,A_FHIGH_LHIGH,C_FLOW_LHIGH,114,12,0.10526315789473684
TRAIN,MAIN_F20_L5_20,K200,1,5,A_FHIGH_LHIGH,D_FLOW_LLOW,114,8,0.07017543859649122
TRAIN,MAIN_F20_L5_20,K200,1,5,B_FHIGH_LLOW,A_FHIGH_LHIGH,110,33,0.3
TRAIN,MAIN_F20_L5_20,K200,1,5,B_FHIGH_LLOW,B_FHIGH_LLOW,110,57,0.5181818181818182
TRAIN,MAIN_F20_L5_20,K200,1,5,B_FHIGH_LLOW,C_FLOW_LHIGH,110,3,0.02727272727272727
TRAIN,MAIN_F20_L5_20,K200,1,5,B_FHIGH_LLOW,D_FLOW_LLOW,110,17,0.15454545454545454
TRAIN,MAIN_F20_L5_20,K200,1,5,C_FLOW_LHIGH,A_FHIGH_LHIGH,56,11,0.19642857142857142
TRAIN,MAIN_F20_L5_20,K200,1,5,C_FLOW_LHIGH,B_FHIGH_LLOW,56,6,0.10714285714285714
TRAIN,MAIN_F20_L5_20,K200,1,5,C_FLOW_LHIGH,C_FLOW_LHIGH,56,24,0.42857142857142855
TRAIN,MAIN_F20_L5_20,K200,1,5,C_FLOW_LHIGH,D_FLOW_LLOW,56,15,0.26785714285714285
TRAIN,MAIN_F20_L5_20,K200,1,5,D_FLOW_LLOW,A_FHIGH_LHIGH,60,10,0.16666666666666666
TRAIN,MAIN_F20_L5_20,K200,1,5,D_FLOW_LLOW,B_FHIGH_LLOW,60,13,0.21666666666666667
TRAIN,MAIN_F20_L5_20,K200,1,5,D_FLOW_LLOW,C_FLOW_LHIGH,60,17,0.2833333333333333
TRAIN,MAIN_F20_L5_20,K200,1,5,D_FLOW_LLOW,D_FLOW_LLOW,60,20,0.3333333333333333
TRAIN,MAIN_F20_L5_20,K200,4,20,A_FHIGH_LHIGH,A_FHIGH_LHIGH,114,31,0.2719298245614035
TRAIN,MAIN_F20_L5_20,K200,4,20,A_FHIGH_LHIGH,B_FHIGH_LLOW,114,45,0.39473684210526316
TRAIN,MAIN_F20_L5_20,K200,4,20,A_FHIGH_LHIGH,C_FLOW_LHIGH,114,19,0.16666666666666666
TRAIN,MAIN_F20_L5_20,K200,4,20,A_FHIGH_LHIGH,D_FLOW_LLOW,114,19,0.16666666666666666
TRAIN,MAIN_F20_L5_20,K200,4,20,B_FHIGH_LLOW,A_FHIGH_LHIGH,108,38,0.35185185185185186
TRAIN,MAIN_F20_L5_20,K200,4,20,B_FHIGH_LLOW,B_FHIGH_LLOW,108,33,0.3055555555555556
TRAIN,MAIN_F20_L5_20,K200,4,20,B_FHIGH_LLOW,C_FLOW_LHIGH,108,18,0.16666666666666666
TRAIN,MAIN_F20_L5_20,K200,4,20,B_FHIGH_LLOW,D_FLOW_LLOW,108,19,0.17592592592592593
TRAIN,MAIN_F20_L5_20,K200,4,20,C_FLOW_LHIGH,A_FHIGH_LHIGH,56,22,0.39285714285714285
TRAIN,MAIN_F20_L5_20,K200,4,20,C_FLOW_LHIGH,B_FHIGH_LLOW,56,12,0.21428571428571427
