sample,universe,cut_name,factor_a,factor_b,family_pair,pair_regime,n,mean_mom_top20,mean_other_top20,mean_mom_spread20,mean_other_spread20,mkt_1d_mean,mkt_1d_median,mkt_1d_positive_share,mkt_1d_tstat,mkt_5d_mean,mkt_5d_median,mkt_5d_positive_share,mkt_5d_tstat,mkt_20d_mean,mkt_20d_median,mkt_20d_positive_share,mkt_20d_tstat,mom_top_fwd5_mean,mom_top_fwd5_positive_share,mom_top_fwd20_mean,mom_top_fwd20_positive_share,mom_spread_fwd5_mean,mom_spread_fwd5_positive_share,mom_spread_fwd20_mean,mom_spread_fwd20_positive_share,oth_top_fwd5_mean,oth_top_fwd5_positive_share,oth_top_fwd20_mean,oth_top_fwd20_positive_share,oth_spread_fwd5_mean,oth_spread_fwd5_positive_share,oth_spread_fwd20_mean,oth_spread_fwd20_positive_share
TRAIN,K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BROAD_BREAKDOWN,15,-0.030947301691156257,-0.024625250651300494,-0.04420133494266762,-0.03632285605135635,0.0022564920018870735,0.0014779851835781,0.7333333333333333,2.4971452774129506,0.0014187277198886726,0.0057868417447371236,0.6666666666666666,0.29743065825211984,-0.0026775978473667058,0.00981829654122131,0.7333333333333333,-0.1286244495207155,-0.0005236859871771612,0.4666666666666667,-0.006987542453959731,0.6,-0.0013056949701436736,0.6,-0.010983195591185813,0.3333333333333333,0.004664172306402381,0.7333333333333333,0.003616551345677051,0.8,0.00747267232285582,0.6666666666666666,0.00972810061961742,0.7333333333333333
TRAIN,K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BROAD_CONFIRMATION,46,0.05678014272811893,0.047585829987414466,0.04268027157864821,0.03853327899759818,-0.0019311190955250451,-0.00150887007439045,0.41304347826086957,-1.0846289823529385,-0.005499445698712167,-0.003435685231150779,0.41304347826086957,-1.5984576659614256,-0.007329356292774392,-0.013407959474998645,0.41304347826086957,-0.949496483912445,-0.006082463270841305,0.3695652173913043,-0.010331454580662426,0.34782608695652173,-0.003477050108826298,0.3695652173913043,0.005283405548116542,0.6739130434782609,-0.0043659918204268485,0.43478260869565216,-0.009337564555000096,0.34782608695652173,0.001326767502339098,0.5217391304347826,0.008275189492352026,0.6086956521739131
TRAIN,K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BULLISH_STYLE_SHIFT,25,0.03055154804596982,0.061831021095088604,-0.03362999897867375,0.030730176865790177,0.0014692024938130375,0.0025483696723487,0.6,0.7247081866148242,0.003344864010904417,0.00600067692957922,0.52,0.8854629842308493,-0.0006939533477171869,0.002153292391390695,0.52,-0.08051230399055423,0.007709490641028312,0.64,-0.006883964441572505,0.32,0.004138605279954852,0.56,0.0003757583149675714,0.4,0.009244860449287247,0.64,0.007566819379456961,0.6,0.008030290837188312,0.6,0.026644801575300928,0.8
TRAIN,K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,DEFENSIVE_CONFIRMATION,22,-0.06129303183017702,-0.0662823025506258,0.04058427493111654,0.034825013522942525,0.00030941372597299106,-0.00016465193031645002,0.5,0.08102114527983008,-0.002308627136668021,-0.0010106649289089514,0.5,-0.24614110183494106,0.01844400464008462,0.0170625708036371,0.5909090909090909,1.4014050189944192,-0.004825583889755431,0.45454545454545453,0.0012140839733802875,0.5,-0.00056531553556511,0.5,-0.023765437172663228,0.5,-0.008119146904289153,0.4090909090909091,0.007573644631237038,0.45454545454545453,-0.004028308710890763,0.4090909090909091,-0.00689053979963411,0.4090909090909091
TRAIN,K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,DEFENSIVE_ROTATION,8,-0.050642410560677226,-0.03462748466884555,-0.024366424305230602,0.02069155979540027,0.000652962035698975,0.0005269702879518501,0.5,0.42532915289535445,-0.0026081504985963253,-9.860067362156728e-05,0.5,-0.41885126428124125,0.015133046818724802,0.01857623106092103,0.75,2.1169011045392607,-0.007021522027442126,0.5,-0.006272943814581447,0.5,0.00854019086638195,0.75,-0.004305851499454338,0.5,-0.005179664073789038,0.5,0.00556073954640271,0.75,0.006176506734748675,0.5,0.008690852076900596,0.75
TRAIN,K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,GENUINE_ROTATION,21,-0.022021140420768432,0.02991852647617555,-0.04676926703571508,0.030436655157058727,0.003707402050332919,0.0022758370358374,0.7142857142857143,1.157429848902733,0.0007413246035291989,-0.001755408839929509,0.47619047619047616,0.19673015588409587,0.015714340158009772,0.016877012949659077,0.6190476190476191,1.8931346082471745,-0.0008887559391181998,0.42857142857142855,0.004020960253610227,0.47619047619047616,0.0008046962790336338,0.5238095238095238,-0.010922365768061095,0.42857142857142855,0.00044705822296865804,0.5238095238095238,0.017714666351412854,0.6666666666666666,0.0021117086416669564,0.5714285714285714,0.008969936126740982,0.6666666666666666
OOS,K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BROAD_BREAKDOWN,11,-0.046673097648289634,-0.037182793885931736,-0.04484561434166896,-0.031097406838895312,-0.003733551378236855,-0.0044420023316312,0.18181818181818182,-1.266541231035431,-0.00026156156216444954,0.003248679060483491,0.5454545454545454,-0.04219506194168669,0.037190202612350114,0.030056929410284126,1.0,5.289773033761757,-0.0036570550206274184,0.36363636363636365,0.02565996975320522,0.8181818181818182,-0.012566917233105228,0.18181818181818182,-0.023241825016623884,0.09090909090909091,0.00698684453893312,0.6363636363636364,0.04278433847522602,0.8181818181818182,0.004522148831681446,0.7272727272727273,0.013329801839323701,0.7272727272727273
OOS,K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BROAD_CONFIRMATION,41,0.10343025570775727,0.09690648507104416,0.07385680866181864,0.05828878271156603,0.0009427966912379805,0.0017364255396289,0.5609756097560976,0.34871768789265284,0.016441411456952354,0.01318574940869516,0.6585365853658537,2.612306329547775,0.05257711160168902,0.032933609621308944,0.7073170731707317,4.0022425283226974,0.014078113600368857,0.6097560975609756,0.026071362432327286,0.5365853658536586,0.00967413826550002,0.5853658536585366,0.010710241985873531,0.5121951219512195,0.014252519178231001,0.6585365853658537,0.03992369942301144,0.6341463414634146,0.006069821035024141,0.7073170731707317,0.02528273835285658,0.8048780487804879
OOS,K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,BULLISH_STYLE_SHIFT,12,0.03294816773087902,0.07071175327713443,-0.04630729713102405,0.03597343215926734,0.007254006572346534,0.0010500807659058501,0.5,1.150259091700539,0.010166286368794157,0.0031368650697021798,0.75,1.2679791335972193,0.04893314741514265,0.012375746767223335,0.5833333333333334,1.4541736482427978,0.01036808467527831,0.5,0.02094267681130062,0.4166666666666667,0.00684404292721846,0.6666666666666666,0.03436190758186881,0.6666666666666666,0.009675818387080225,0.6666666666666666,0.03162583647189057,0.5,0.007079739840732725,0.5833333333333334,0.04958110614868822,0.75
OOS,K200,Q25,MOM1M,OP12_REV,MOMENTUM_X_REVISION,DEFENSIVE_ROTATION,8,-0.06709509378012199,-0.03887070485448321,-0.03987396519231384,0.019611610646223354,0.013917241643973037,0.00388076534192445,0.75,1.3034732197674117,0.011935733940699337,0.009339701813027207,0.75,0.6236545765953638,0.09240043217024514,0.06257590156726492,0.875,2.2648249437052415,0.0082565960723806,0.625,0.08953283374686966,0.75,0.0006409404747472498,0.5,0.04176764093825383,0.875,0.01304052070965481,0.75,0.10157045959411153,0.875,0.010084791214561987,0.625,0.06584511590257996,1.0
