date,universe,n_factors,RELATIVE_WORKING_BREADTH,ABS_CONFIRMED_BREADTH,DEFENSIVE_WORKING_BREADTH,REVERSE_BREADTH,BULLISH_REVERSE_BREADTH,BEARISH_REVERSE_BREADTH,POSITIVE_ABS_BREADTH
2016-02-01,K200,8,0.625,0.625,0.0,0.375,0.125,0.25,0.75
2016-02-01,KOSDAQ,8,0.375,0.375,0.0,0.25,0.0,0.25,0.625
2016-02-01,KOSDAQ_PLUS_KOSPI_EX_K200,8,0.625,0.5,0.125,0.25,0.0,0.25,0.5
2016-02-01,KOSPI_ALL,8,0.625,0.625,0.0,0.375,0.0,0.375,0.625
2016-02-01,KOSPI_EX_K200,7,0.42857142857142855,0.42857142857142855,0.0,0.2857142857142857,0.0,0.2857142857142857,0.42857142857142855
2016-02-01,KOSPI_KOSDAQ_ALL,8,0.5,0.5,0.0,0.375,0.0,0.375,0.625
2016-02-11,K200,8,0.375,0.375,0.0,0.375,0.0,0.375,0.375
2016-02-11,KOSDAQ,8,0.5,0.25,0.25,0.125,0.0,0.125,0.375
2016-02-11,KOSDAQ_PLUS_KOSPI_EX_K200,8,0.25,0.125,0.125,0.125,0.0,0.125,0.125
2016-02-11,KOSPI_ALL,8,0.25,0.125,0.125,0.25,0.0,0.25,0.125
2016-02-11,KOSPI_EX_K200,8,0.25,0.125,0.125,0.25,0.0,0.25,0.125
2016-02-11,KOSPI_KOSDAQ_ALL,8,0.375,0.125,0.25,0.25,0.0,0.25,0.125
2016-02-18,K200,8,0.375,0.375,0.0,0.625,0.0,0.625,0.375
2016-02-18,KOSDAQ,8,0.5,0.0,0.5,0.125,0.0,0.125,0.0
2016-02-18,KOSDAQ_PLUS_KOSPI_EX_K200,8,0.375,0.0,0.375,0.125,0.0,0.125,0.0
2016-02-18,KOSPI_ALL,8,0.375,0.375,0.0,0.625,0.0,0.625,0.375
2016-02-18,KOSPI_EX_K200,8,0.25,0.125,0.125,0.625,0.0,0.625,0.125
2016-02-18,KOSPI_KOSDAQ_ALL,8,0.375,0.375,0.0,0.625,0.0,0.625,0.375
2016-02-25,K200,8,0.375,0.375,0.0,0.625,0.125,0.5,0.5
2016-02-25,KOSDAQ,8,0.625,0.375,0.25,0.25,0.0,0.25,0.375
2016-02-25,KOSDAQ_PLUS_KOSPI_EX_K200,8,0.5,0.375,0.125,0.375,0.0,0.375,0.375
