universe,factor,family,cut_name,abs_spread_cut,train_n
K200,MOM1M,MOMENTUM,Q25,0.01152539404015096,341
K200,MOM1M,MOMENTUM,Q33,0.016076664197716806,341
K200,MOM1M,MOMENTUM,Q50,0.02628494889736155,341
K200,MOM12_1,MOMENTUM,Q25,0.014986957906507392,341
K200,MOM12_1,MOMENTUM,Q33,0.020709651842205412,341
K200,MOM12_1,MOMENTUM,Q50,0.028384896582456465,341
K200,OP12_REV,REVISION,Q25,0.010280046121323716,341
K200,OP12_REV,REVISION,Q33,0.013520845016082342,341
K200,OP12_REV,REVISION,Q50,0.019862296762426346,341
K200,OPFY1_REV,REVISION,Q25,0.009357239550699337,341
K200,OPFY1_REV,REVISION,Q33,0.014037913998363589,341
K200,OPFY1_REV,REVISION,Q50,0.02374023403642167,341
K200,PBR12MF,VALUE,Q25,0.014363311579209004,341
K200,PBR12MF,VALUE,Q33,0.01859250998651089,341
K200,PBR12MF,VALUE,Q50,0.03329493581510801,341
K200,PER12MF,VALUE,Q25,0.014443663634659987,341
K200,PER12MF,VALUE,Q33,0.022500896426709417,341
K200,PER12MF,VALUE,Q50,0.03535878082403865,341
K200,PRIVATE_FLOW,FLOW,Q25,0.009592867301194685,341
K200,PRIVATE_FLOW,FLOW,Q33,0.012038395008547049,341
K200,PRIVATE_FLOW,FLOW,Q50,0.0171653584980469,341
K200,FOREIGN_FLOW,FLOW,Q25,0.008942357473689544,341
K200,FOREIGN_FLOW,FLOW,Q33,0.01304032112149637,341
K200,FOREIGN_FLOW,FLOW,Q50,0.019769595582328048,341
KOSDAQ,MOM1M,MOMENTUM,Q25,0.017541553045958613,341
KOSDAQ,MOM1M,MOMENTUM,Q33,0.02488455309413477,341
KOSDAQ,MOM1M,MOMENTUM,Q50,0.038487791185112474,341
KOSDAQ,MOM12_1,MOMENTUM,Q25,0.01835354859735494,341
KOSDAQ,MOM12_1,MOMENTUM,Q33,0.02412204854445606,341
KOSDAQ,MOM12_1,MOMENTUM,Q50,0.03915779655054874,341
