date,period,test,u_hi,u_lo,diff
2016-04-01,TRAIN_2016_2022,FHIGH_MINUS_FLOW,K200,KOSDAQ,-0.011730523820432302
2016-04-01,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSDAQ,K200,0.011730523820432302
2016-04-01,TRAIN_2016_2022,FHIGH_MINUS_FLOW,K200,KOSPI_EX_K200,-0.0069125125199983
2016-04-01,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSDAQ,KOSPI_EX_K200,0.004818011300434001
2016-04-08,TRAIN_2016_2022,FHIGH_MINUS_FLOW,K200,KOSDAQ,0.032994704304769
2016-04-08,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSDAQ,K200,-0.032994704304769
2016-04-08,TRAIN_2016_2022,FHIGH_MINUS_FLOW,K200,KOSPI_EX_K200,0.004523283691849699
2016-04-08,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSDAQ,KOSPI_EX_K200,-0.0284714206129193
2016-04-18,TRAIN_2016_2022,FHIGH_MINUS_FLOW,K200,KOSPI_EX_K200,-0.0134832529432663
2016-04-18,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,K200,KOSPI_EX_K200,-0.0134832529432663
2016-04-18,TRAIN_2016_2022,FHIGH_MINUS_FLOW,KOSDAQ,KOSPI_EX_K200,0.0021025160488881006
2016-04-18,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSDAQ,KOSPI_EX_K200,0.0021025160488881006
2016-04-25,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,K200,KOSPI_EX_K200,-0.0053140082484380985
2016-04-25,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSDAQ,KOSPI_EX_K200,-0.0018163489742398994
2016-05-02,TRAIN_2016_2022,FHIGH_MINUS_FLOW,K200,KOSPI_EX_K200,-0.0338479880682849
2016-05-02,TRAIN_2016_2022,FHIGH_MINUS_FLOW,KOSDAQ,KOSPI_EX_K200,-0.0191245543579928
2016-05-11,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSPI_EX_K200,K200,0.006873473521654299
2016-05-11,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSPI_EX_K200,KOSDAQ,-0.0046035133693489005
2016-05-18,TRAIN_2016_2022,FHIGH_MINUS_FLOW,KOSDAQ,K200,0.0093095076777958
2016-05-18,TRAIN_2016_2022,FHIGH_MINUS_FLOW,KOSPI_EX_K200,K200,0.0133734853228723
2016-05-25,TRAIN_2016_2022,FHIGH_MINUS_FLOW,KOSDAQ,K200,0.0024866665981583
2016-05-25,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSPI_EX_K200,K200,0.0280156722737984
2016-05-25,TRAIN_2016_2022,FHIGH_MINUS_FLOW,KOSDAQ,KOSPI_EX_K200,-0.0255290056756401
2016-05-25,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSPI_EX_K200,KOSDAQ,0.0255290056756401
2016-06-01,TRAIN_2016_2022,FHIGH_MINUS_FLOW,KOSDAQ,K200,-0.006549973145482401
2016-06-01,TRAIN_2016_2022,FHIGH_MINUS_FLOW,KOSPI_EX_K200,K200,-0.0196745041329883
2016-06-09,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,K200,KOSPI_EX_K200,0.0052926129222985036
2016-06-09,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSDAQ,KOSPI_EX_K200,0.0008485156579886993
2016-06-16,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,K200,KOSPI_EX_K200,0.0089906425900719
2016-06-16,TRAIN_2016_2022,STRONGER_BASE_MINUS_WEAKER,KOSDAQ,KOSPI_EX_K200,-0.0011394131323302
