universe,period,policy,n,win_rate,mean5,cagr,mdd
K200,STRESS_2025,WPLUS,49,0.5714285714285714,0.01086863609281492,0.6752039881708869,-0.08226489165743323
K200,STRESS_2025,STABLE_TILT,49,0.6122448979591837,0.013538557435718605,0.9077210116759287,-0.10183850088081292
K200,STRESS_2026,WPLUS,20,0.5,0.006335666675245807,0.20261029150900844,-0.28365788691950644
K200,STRESS_2026,STABLE_TILT,20,0.5,0.00433371766985789,0.13052503025469342,-0.24906655658900834
K200,TRAIN_2016_2022,WPLUS,328,0.5304878048780488,0.000570250712748771,0.010147417263845382,-0.45502078947211644
K200,TRAIN_2016_2022,STABLE_TILT,328,0.5487804878048781,0.0014316660532722333,0.05233796553970005,-0.4150786466835267
K200,VALID_2023_2024,WPLUS,97,0.5257731958762887,0.0026263678053195768,0.11951671961322163,-0.12409347826228034
K200,VALID_2023_2024,STABLE_TILT,97,0.5257731958762887,0.003178849688001542,0.1487341315537467,-0.1446944582949108
KOSDAQ,STRESS_2025,WPLUS,45,0.6222222222222222,0.010537933964738937,0.5971510635629831,-0.10058698392159982
KOSDAQ,STRESS_2025,STABLE_TILT,45,0.6888888888888889,0.01101941858972627,0.6341538876442121,-0.13406635381891074
KOSDAQ,STRESS_2026,WPLUS,13,0.6923076923076923,0.02233824879287821,1.1961507943752738,-0.06774718424035031
KOSDAQ,STRESS_2026,STABLE_TILT,13,0.6153846153846154,0.022596580744672395,1.1848013424241963,-0.06986909368941452
KOSDAQ,TRAIN_2016_2022,WPLUS,256,0.5625,0.0015413079880922324,0.04108080383750168,-0.3936556834696189
KOSDAQ,TRAIN_2016_2022,STABLE_TILT,256,0.56640625,0.00257220921483543,0.08218310219563363,-0.39896080556710267
KOSDAQ,VALID_2023_2024,WPLUS,73,0.5753424657534246,0.0016310722677836836,0.04304703111776975,-0.24942657042650196
KOSDAQ,VALID_2023_2024,STABLE_TILT,73,0.6027397260273972,0.002958372487660973,0.10111799395344034,-0.24544962189817643
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,WPLUS,49,0.6938775510204082,0.011327248363180494,0.7222863988092076,-0.0757979982339948
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,STABLE_TILT,49,0.7142857142857143,0.012247435553663335,0.8014331062927971,-0.08074076918032025
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,WPLUS,19,0.5789473684210527,0.008841887664243162,0.3206657091077054,-0.23490188436903991
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,STABLE_TILT,19,0.5789473684210527,0.009778667309643429,0.3595652773567344,-0.2406691683752087
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,WPLUS,328,0.5823170731707317,0.001296479897828479,0.04005873488510736,-0.3731870712669365
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,STABLE_TILT,328,0.5975609756097561,0.0018174356596075726,0.06506345732289942,-0.375883564715612
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,WPLUS,96,0.5625,0.0010144226514430738,0.027001948179328217,-0.31172072114019034
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,STABLE_TILT,96,0.5625,0.001434042437975976,0.046238153380382396,-0.28551341673124553
KOSPI_ALL,STRESS_2025,WPLUS,49,0.6530612244897959,0.009658046597440647,0.5850513658230523,-0.0747127439264339
KOSPI_ALL,STRESS_2025,STABLE_TILT,49,0.7142857142857143,0.011118823877289942,0.7016035301758332,-0.08255233038275334
KOSPI_ALL,STRESS_2026,WPLUS,21,0.5238095238095238,0.010547283310459768,0.4503520445048599,-0.20010222935679756
KOSPI_ALL,STRESS_2026,STABLE_TILT,21,0.5714285714285714,0.011468007378404333,0.51239326367544,-0.1969213590015092
KOSPI_ALL,TRAIN_2016_2022,WPLUS,328,0.5548780487804879,0.0008142354886097708,0.02180976072504337,-0.45436794103521927
KOSPI_ALL,TRAIN_2016_2022,STABLE_TILT,328,0.5548780487804879,0.001484859076350236,0.05508044294295056,-0.42985092403848124
