universe,state_cell,family,train_diff,valid_diff,train_n,valid_n,stress25_diff,stress25_n,stress25_win
KOSPI_KOSDAQ_ALL,B2|F_HIGH,REVISION,0.003944766100868124,0.010003128124806013,29,8,,0,
KOSPI_ALL,B4|F_HIGH,REVISION,0.004386828002813887,0.008618160011365039,44,11,0.002538026928350421,19,0.631578947368421
KOSPI_EX_K200,B3|F_HIGH,REVISION,0.0035946337618918372,0.006647335371529369,29,13,0.0011218969029165636,8,0.5
KOSPI_KOSDAQ_ALL,B2|F_LOW,VALUE,0.0003834508777897248,0.0058719247666978985,56,16,-0.0037186938453215683,3,0.3333333333333333
KOSDAQ,B4|F_HIGH,REVISION,0.002648383357013381,0.005644662823666309,48,10,0.0008892485801891902,11,0.2727272727272727
KOSPI_KOSDAQ_ALL,B4|F_LOW,REVISION,0.0004822178357563002,0.00429829445548326,84,15,0.0012787157469065541,13,0.3076923076923077
K200,B4|F_HIGH,REVISION,0.001819521804997896,0.00397079556960544,26,10,0.0014052158737618333,21,0.5238095238095238
KOSPI_ALL,B4|F_LOW,REVISION,0.0004898928119102127,0.0021549553587218895,55,10,0.002919446884244674,8,0.5
KOSPI_EX_K200,B3|F_HIGH,VALUE,0.0017776620534344027,0.00208875628847563,29,13,0.00858685681340534,8,0.625
KOSDAQ_PLUS_KOSPI_EX_K200,B2|F_LOW,REVISION,0.0001815975582400456,0.0014007302063815193,48,17,0.007305419686994632,3,1.0
KOSDAQ,B3|F_LOW,REVISION,0.0017764715962287811,0.0013047189617541612,77,31,0.0013205637491498778,9,0.4444444444444444
KOSDAQ_PLUS_KOSPI_EX_K200,B3|F_LOW,REVISION,0.0017608897181647367,0.001044159265132603,73,31,0.006988394078467271,7,0.8571428571428571
K200,B3|F_LOW,MOMENTUM,0.0002820762818645048,0.0010317459714145518,86,29,0.006178251871196224,8,0.375
KOSPI_KOSDAQ_ALL,B3|F_LOW,REVISION,0.0005427474389160453,0.0009639396243527918,77,24,0.004595211616447911,10,0.5
K200,B3|F_HIGH,VALUE,0.0034588697501667614,0.0009129405782368127,51,16,0.002336020024778829,10,0.5
KOSDAQ_PLUS_KOSPI_EX_K200,B2|F_LOW,FLOW,0.0008818445924482643,0.0004655624875322285,48,17,-0.0012765287385372674,3,0.3333333333333333
KOSPI_KOSDAQ_ALL,B2|F_LOW,FLOW,0.0007812706714132747,0.0003685288449652858,56,16,0.0004719193390106009,3,0.3333333333333333
K200,B2|F_LOW,REVISION,0.0010314767384696861,0.0003211395008050239,73,21,0.010481644298349866,3,0.6666666666666666
K200,B4|F_HIGH,VALUE,0.0002532889340213961,0.00023191306804340987,26,10,0.001266428461422514,21,0.5238095238095238
KOSPI_EX_K200,B3|F_LOW,REVISION,0.002876705155876549,0.00017964531913194394,73,18,0.001473923740511757,14,0.5
KOSPI_KOSDAQ_ALL,B2|F_LOW,REVISION,4.3490184193110734e-05,7.9336123325148e-05,56,16,0.004207482135261135,3,0.6666666666666666
