universe,state_cell,family,period,n,mean_diff,median_diff,win_vs_wplus
KOSPI_KOSDAQ_ALL,B2|F_HIGH,REVISION,TRAIN_2016_2022,29,0.003944766100868124,0.0033020111974251982,0.5862068965517241
KOSPI_KOSDAQ_ALL,B2|F_HIGH,REVISION,VALID_2023_2024,8,0.010003128124806013,0.0023801639292843494,0.625
KOSDAQ,B4|F_HIGH,VALUE,TRAIN_2016_2022,48,0.0014354998036028715,0.0027768092037881,0.5416666666666666
KOSDAQ,B4|F_HIGH,VALUE,VALID_2023_2024,10,0.009333015374912811,0.0083312018097942,0.8
KOSDAQ,B4|F_HIGH,VALUE,STRESS_2025,11,-0.008138238379233794,-0.008164214642902096,0.36363636363636365
KOSDAQ,B4|F_HIGH,VALUE,STRESS_2026,8,-0.01761797899282279,-0.006862227003060302,0.5
KOSPI_ALL,B4|F_HIGH,REVISION,TRAIN_2016_2022,44,0.004386828002813887,0.00347440010015865,0.7045454545454546
KOSPI_ALL,B4|F_HIGH,REVISION,VALID_2023_2024,11,0.008618160011365039,0.006552374668539801,0.5454545454545454
KOSPI_ALL,B4|F_HIGH,REVISION,STRESS_2025,19,0.002538026928350421,0.0021189132382483933,0.631578947368421
KOSPI_ALL,B4|F_HIGH,REVISION,STRESS_2026,12,0.0032585205707919996,0.0011104946987875453,0.5833333333333334
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_HIGH,VALUE,TRAIN_2016_2022,63,0.002175630219781888,0.0024114265500293003,0.5396825396825397
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_HIGH,VALUE,VALID_2023_2024,9,0.008427990199732265,0.0010295792720982997,0.5555555555555556
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_HIGH,VALUE,STRESS_2025,12,-0.007294665102449942,-0.005186808364989299,0.3333333333333333
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_HIGH,VALUE,STRESS_2026,10,-0.013206108447718828,-0.0137340966041532,0.4
KOSPI_EX_K200,B3|F_HIGH,REVISION,TRAIN_2016_2022,29,0.0035946337618918372,0.0023583624044523008,0.6551724137931034
KOSPI_EX_K200,B3|F_HIGH,REVISION,VALID_2023_2024,13,0.006647335371529369,0.0064314637498347985,0.5384615384615384
KOSPI_EX_K200,B3|F_HIGH,REVISION,STRESS_2025,8,0.0011218969029165636,-0.00010612957792484855,0.5
KOSPI_EX_K200,B3|F_HIGH,REVISION,STRESS_2026,7,-0.0015057240682307593,-0.003958256747257,0.42857142857142855
