sample,return_type,horizon,high_factor_substate_cell,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
BULL_2025,GROSS,5,HIGH|F_HIGH,17,0.018391722081411405,0.012288882417165536,0.6470588235294118,0.02928604794003344
BULL_2025,GROSS,5,HIGH|F_LOW,5,0.019121636732518814,0.019087921169709476,0.6,0.022256228917983262
BULL_2025,GROSS,5,NON_HIGH,27,0.006541130552543268,0.0019491379123402707,0.5555555555555556,0.022310690852776
BULL_2025,GROSS,10,HIGH|F_HIGH,17,0.038763271286242046,0.02354510126922148,0.8235294117647058,0.04294278913562618
BULL_2025,GROSS,10,HIGH|F_LOW,5,0.03338794896834423,0.03846040212652637,0.8,0.03489675535900981
BULL_2025,GROSS,10,NON_HIGH,27,0.011661906561322963,-0.0025350325563777477,0.4444444444444444,0.03465499854455554
BULL_2025,GROSS,20,HIGH|F_HIGH,17,0.05877344344626865,0.05163596338710359,0.8823529411764706,0.06339979209890464
BULL_2025,GROSS,20,HIGH|F_LOW,5,0.04516312290793962,0.03131549011124196,0.6,0.05774618346516075
BULL_2025,GROSS,20,NON_HIGH,27,0.044643783416855334,0.026574457265353468,0.7037037037037037,0.06808035373666443
BULL_2025,NET30,5,HIGH|F_HIGH,17,0.01745301069934511,0.011346143167890854,0.6470588235294118,0.02902221633009955
BULL_2025,NET30,5,HIGH|F_LOW,5,0.018269424436037126,0.018194470781487816,0.6,0.02207608201691446
BULL_2025,NET30,5,NON_HIGH,27,0.005623858780979362,0.00117637608406298,0.5555555555555556,0.022148845490041074
BULL_2025,NET30,10,HIGH|F_HIGH,17,0.036856036883757035,0.021498458085369387,0.8235294117647058,0.04170957450136047
BULL_2025,NET30,10,HIGH|F_LOW,5,0.03160510148692085,0.036811372742612126,0.8,0.03394036676669289
BULL_2025,NET30,10,NON_HIGH,27,0.009830178763097285,-0.004055870223098645,0.4444444444444444,0.03469885003698246
BULL_2025,NET30,20,HIGH|F_HIGH,17,0.05477754152626442,0.04775447756210971,0.8823529411764706,0.06028697258143311
BULL_2025,NET30,20,HIGH|F_LOW,5,0.041527191162392216,0.027898398350787158,0.6,0.056915296023806974
BULL_2025,NET30,20,NON_HIGH,27,0.04099581169127282,0.023459621620776593,0.6666666666666666,0.06660582801590852
BULL_2025,NET60,5,HIGH|F_HIGH,17,0.016514299317278703,0.010403403918616072,0.6470588235294118,0.02875838472016557
BULL_2025,NET60,5,HIGH|F_LOW,5,0.017417212139555317,0.017301020393265996,0.6,0.021895935115845578
BULL_2025,NET60,5,NON_HIGH,27,0.004706587009415313,0.00040361425578547825,0.5185185185185185,0.02199894529327395
BULL_2025,NET60,10,HIGH|F_HIGH,17,0.03494880248127176,0.019717122238404917,0.8235294117647058,0.04047635986709454
BULL_2025,NET60,10,HIGH|F_LOW,5,0.029822254005497213,0.03516234335869754,0.8,0.032983978174375775
BULL_2025,NET60,10,NON_HIGH,27,0.007998450964871326,-0.005576707889819799,0.4444444444444444,0.03474270152940937
BULL_2025,NET60,20,HIGH|F_HIGH,17,0.05078913922066735,0.04388014874181227,0.8823529411764706,0.057179987276878654
BULL_2025,NET60,20,HIGH|F_LOW,5,0.03789745835511947,0.024486934766618295,0.6,0.05608582352703898
BULL_2025,NET60,20,NON_HIGH,27,0.037354017196604423,0.020131226942907487,0.6296296296296297,0.06534056336791973
OOS_2023_2024,GROSS,5,HIGH|F_HIGH,21,0.006118718654672327,0.010981780943708696,0.6190476190476191,0.02172798402253188
OOS_2023_2024,GROSS,5,HIGH|F_LOW,18,-0.007268509270946074,-0.0024916121582557182,0.5,0.027007987226721326
OOS_2023_2024,GROSS,5,NON_HIGH,58,0.004540980252030501,0.005017306355520857,0.6379310344827587,0.021957925087574274
OOS_2023_2024,GROSS,10,HIGH|F_HIGH,21,0.004095614741854265,0.001229386720684711,0.5238095238095238,0.032271487707608654
OOS_2023_2024,GROSS,10,HIGH|F_LOW,18,-0.0018876121569484823,0.0020390298054388193,0.5,0.040466327082568795
OOS_2023_2024,GROSS,10,NON_HIGH,58,0.007977933116955218,0.009652191139880854,0.6379310344827587,0.02704157512724285
OOS_2023_2024,GROSS,20,HIGH|F_HIGH,21,0.00467538025636526,-0.003508307950441425,0.47619047619047616,0.05046730767595318
OOS_2023_2024,GROSS,20,HIGH|F_LOW,18,0.014687940756377178,0.006115533427076403,0.5555555555555556,0.05990543291914521
OOS_2023_2024,GROSS,20,NON_HIGH,58,0.01039297559376434,0.011973968882134384,0.6551724137931034,0.03784850576351332
OOS_2023_2024,NET30,5,HIGH|F_HIGH,21,0.0052637654937259274,0.010114168547640235,0.6190476190476191,0.0215352519228079
OOS_2023_2024,NET30,5,HIGH|F_LOW,18,-0.008063895276857783,-0.0033678100668418755,0.5,0.026976209330514613
OOS_2023_2024,NET30,5,NON_HIGH,58,0.003644403998700327,0.003957971526040427,0.6206896551724138,0.0216707446668129
OOS_2023_2024,NET30,10,HIGH|F_HIGH,21,0.002363280235483541,-0.0003367383246054123,0.47619047619047616,0.03217561068855693
OOS_2023_2024,NET30,10,HIGH|F_LOW,18,-0.00340675567388903,0.00044069536701126226,0.5,0.04042471938444631
OOS_2023_2024,NET30,10,NON_HIGH,58,0.006157502212241907,0.007526733068496933,0.6206896551724138,0.02647384180174312
OOS_2023_2024,NET30,20,HIGH|F_HIGH,21,0.0012593362584377313,-0.006865807732372819,0.42857142857142855,0.05070115860092014
OOS_2023_2024,NET30,20,HIGH|F_LOW,18,0.011518306279942686,0.002457719857234858,0.5555555555555556,0.0592019576115016
OOS_2023_2024,NET30,20,NON_HIGH,58,0.00672410386019916,0.008117038546226352,0.603448275862069,0.03677295747952108
OOS_2023_2024,NET60,5,HIGH|F_HIGH,21,0.0044088123327793785,0.009246556151571638,0.6190476190476191,0.02134251982308385
OOS_2023_2024,NET60,5,HIGH|F_LOW,18,-0.008859281282769575,-0.004244007975428188,0.4444444444444444,0.027026744517874533
OOS_2023_2024,NET60,5,NON_HIGH,58,0.0027478277453699975,0.0030353138709942164,0.603448275862069,0.02143003484867981
OOS_2023_2024,NET60,10,HIGH|F_HIGH,21,0.0006309457291125509,-0.0019028633698957242,0.42857142857142855,0.03220028554611325
OOS_2023_2024,NET60,10,HIGH|F_LOW,18,-0.004925899190829857,-0.001157639071416655,0.5,0.04038311168632372
OOS_2023_2024,NET60,10,NON_HIGH,58,0.004337071307528329,0.005401274997112737,0.603448275862069,0.026008229304777534
OOS_2023_2024,NET60,20,HIGH|F_HIGH,21,-0.0021509468428288782,-0.010217624258970881,0.38095238095238093,0.05127994971804212
OOS_2023_2024,NET60,20,HIGH|F_LOW,18,0.008353434872619336,-0.001193598034273191,0.4444444444444444,0.05876508535775206
OOS_2023_2024,NET60,20,NON_HIGH,58,0.0030617849438989227,0.004697729689665869,0.603448275862069,0.03576248790772157
TRAIN_2016_2022,GROSS,5,HIGH|F_HIGH,93,0.006397780794651974,0.004183877908693456,0.5806451612903226,0.020273587465924385
TRAIN_2016_2022,GROSS,5,HIGH|F_LOW,72,-0.000523602288545407,0.004182399456558239,0.5555555555555556,0.03014580341288458
TRAIN_2016_2022,GROSS,5,NON_HIGH,174,0.0038723506920928428,0.007301017642405955,0.6149425287356322,0.024316388979317462
TRAIN_2016_2022,GROSS,5,,2,-0.03226731991013218,-0.03226731991013218,0.0,0.03226731991013218
TRAIN_2016_2022,GROSS,10,HIGH|F_HIGH,93,0.00976060074261272,0.009126249144527043,0.6236559139784946,0.029265499278709275
TRAIN_2016_2022,GROSS,10,HIGH|F_LOW,72,0.0016313904770127513,0.008355757525328234,0.625,0.03805881053923879
TRAIN_2016_2022,GROSS,10,NON_HIGH,174,0.008520175841347555,0.014061748859650303,0.6379310344827587,0.03783203903550267
TRAIN_2016_2022,GROSS,10,,2,-0.025467807434059766,-0.025467807434059766,0.5,0.03896520538054709
TRAIN_2016_2022,GROSS,20,HIGH|F_HIGH,93,0.013989704161195847,0.021341361323475416,0.6236559139784946,0.04714901359275939
TRAIN_2016_2022,GROSS,20,HIGH|F_LOW,72,-0.0011710346995919328,0.008222373412000128,0.5138888888888888,0.052836804423292194
TRAIN_2016_2022,GROSS,20,NON_HIGH,174,0.02257874378339716,0.025892128863541385,0.6609195402298851,0.057420981514451734
TRAIN_2016_2022,GROSS,20,,2,-0.010761924258306577,-0.010761924258306577,0.5,0.025248091147374606
TRAIN_2016_2022,NET30,5,HIGH|F_HIGH,93,0.0056176994170662915,0.0035479507825733948,0.5698924731182796,0.020142069377037324
TRAIN_2016_2022,NET30,5,HIGH|F_LOW,72,-0.0013919012285979956,0.0034139542611416832,0.5555555555555556,0.0300312732365534
TRAIN_2016_2022,NET30,5,NON_HIGH,174,0.003048727893332954,0.0063832781667688574,0.603448275862069,0.024110471826132844
TRAIN_2016_2022,NET30,5,,2,-0.03307907968388163,-0.03307907968388163,0.0,0.03307907968388163
TRAIN_2016_2022,NET30,10,HIGH|F_HIGH,93,0.008178587578564954,0.008094560527089345,0.5913978494623656,0.028926588833537027
TRAIN_2016_2022,NET30,10,HIGH|F_LOW,72,-8.099070376213336e-05,0.00664464583871498,0.625,0.03757202567637682
TRAIN_2016_2022,NET30,10,NON_HIGH,174,0.0068612256014947606,0.012338216765126087,0.6091954022988506,0.037340140173747996
TRAIN_2016_2022,NET30,10,,2,-0.027118560362362265,-0.027118560362362265,0.5,0.03886586945555186
TRAIN_2016_2022,NET30,20,HIGH|F_HIGH,93,0.010704355695797363,0.01893054988294336,0.6021505376344086,0.04642075768735859
TRAIN_2016_2022,NET30,20,HIGH|F_LOW,72,-0.0044432829753266205,0.004877110694907889,0.5138888888888888,0.052596644432461134
TRAIN_2016_2022,NET30,20,NON_HIGH,174,0.01922991812917246,0.02285406949758841,0.6436781609195402,0.05624496435622739
TRAIN_2016_2022,NET30,20,,2,-0.014123556052389947,-0.014123556052389947,0.5,0.025071068695003446
TRAIN_2016_2022,NET60,5,HIGH|F_HIGH,93,0.004837618039480469,0.0029610475903307453,0.5698924731182796,0.020014187168703866
TRAIN_2016_2022,NET60,5,HIGH|F_LOW,72,-0.002260200168650724,0.0023899498074744065,0.5416666666666666,0.02993723286481899
TRAIN_2016_2022,NET60,5,NON_HIGH,174,0.0022251050945729343,0.005561802608725764,0.5804597701149425,0.023927709357496753
