sample,return_type,horizon,high_revision_cell,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
BULL_2025,GROSS,5,HIGH|N+,4,0.016672559406734382,0.009220898358262564,0.5,0.020590799638564944
BULL_2025,GROSS,5,HIGH|N-,1,0.058830945053628,0.058830945053628,1.0,0.058830945053628
BULL_2025,GROSS,5,HIGH|W+,16,0.01607627990394404,0.010195442322613602,0.625,0.02765150112872996
BULL_2025,GROSS,5,HIGH|W-,1,0.025525797902917712,0.025525797902917712,1.0,0.025525797902917712
BULL_2025,GROSS,5,NON_HIGH,27,0.006541130552543268,0.0019491379123402707,0.5555555555555556,0.022310690852776
BULL_2025,GROSS,10,HIGH|N+,4,0.01938494478540586,0.02123972592277194,0.75,0.021270952773737827
BULL_2025,GROSS,10,HIGH|N-,1,0.08585823026511016,0.08585823026511016,1.0,0.08585823026511016
BULL_2025,GROSS,10,HIGH|W+,16,0.03900355907341099,0.02341244760077745,0.8125,0.043444296788381645
BULL_2025,GROSS,10,HIGH|W-,1,0.03846040212652637,0.03846040212652637,1.0,0.03846040212652637
BULL_2025,GROSS,10,NON_HIGH,27,0.011661906561322963,-0.0025350325563777477,0.4444444444444444,0.03465499854455554
BULL_2025,GROSS,20,HIGH|N+,4,0.023310565876646577,0.011236812340675705,0.5,0.03903939157317298
BULL_2025,GROSS,20,HIGH|N-,1,0.11762718778932188,0.11762718778932188,1.0,0.11762718778932188
BULL_2025,GROSS,20,HIGH|W+,16,0.05661025711238561,0.0473497055090898,0.875,0.06152575255581136
BULL_2025,GROSS,20,HIGH|W-,1,0.10833058803218705,0.10833058803218705,1.0,0.10833058803218705
BULL_2025,GROSS,20,NON_HIGH,27,0.044643783416855334,0.026574457265353468,0.7037037037037037,0.06808035373666443
BULL_2025,NET30,5,HIGH|N+,4,0.015756477381643562,0.008333681591116743,0.5,0.020514799357740223
BULL_2025,NET30,5,HIGH|N-,1,0.05795759092165509,0.05795759092165509,1.0,0.05795759092165509
BULL_2025,NET30,5,HIGH|W+,16,0.015147068699474197,0.009172970867189278,0.625,0.027439349682150786
BULL_2025,NET30,5,HIGH|W-,1,0.02471170442923607,0.02471170442923607,1.0,0.02471170442923607
BULL_2025,NET30,5,NON_HIGH,27,0.005623858780979362,0.00117637608406298,0.5555555555555556,0.022148845490041074
BULL_2025,NET30,10,HIGH|N+,4,0.01743026385304979,0.01926670849121169,0.75,0.02034934545276484
BULL_2025,NET30,10,HIGH|N-,1,0.084106881570819,0.084106881570819,1.0,0.084106881570819
BULL_2025,NET30,10,HIGH|W+,16,0.037121176545802714,0.021324301330876684,0.8125,0.04227806026450638
BULL_2025,NET30,10,HIGH|W-,1,0.036811372742612126,0.036811372742612126,1.0,0.036811372742612126
BULL_2025,NET30,10,NON_HIGH,27,0.009830178763097285,-0.004055870223098645,0.4444444444444444,0.03469885003698246
BULL_2025,NET30,20,HIGH|N+,4,0.01952895475286151,0.007648607353472798,0.5,0.03876408582962995
BULL_2025,NET30,20,HIGH|N-,1,0.11394036515098901,0.11394036515098901,1.0,0.11394036515098901
BULL_2025,NET30,20,HIGH|W+,16,0.052658157695768704,0.04365225965471917,0.875,0.05851192819188543
BULL_2025,NET30,20,HIGH|W-,1,0.1042674544637218,0.1042674544637218,1.0,0.1042674544637218
BULL_2025,NET30,20,NON_HIGH,27,0.04099581169127282,0.023459621620776593,0.6666666666666666,0.06660582801590852
BULL_2025,NET60,5,HIGH|N+,4,0.014840395356552618,0.007446464823970816,0.5,0.020438799076915443
BULL_2025,NET60,5,HIGH|N-,1,0.05708423678968204,0.05708423678968204,1.0,0.05708423678968204
BULL_2025,NET60,5,HIGH|W+,16,0.01421785749500424,0.008150499411764756,0.625,0.027227198235571536
BULL_2025,NET60,5,HIGH|W-,1,0.023897610955554205,0.023897610955554205,1.0,0.023897610955554205
BULL_2025,NET60,5,NON_HIGH,27,0.004706587009415313,0.00040361425578547825,0.5185185185185185,0.02199894529327395
BULL_2025,NET60,10,HIGH|N+,4,0.015475582920693478,0.017293691059651155,0.75,0.019427738131791678
BULL_2025,NET60,10,HIGH|N-,1,0.08235553287652757,0.08235553287652757,1.0,0.08235553287652757
BULL_2025,NET60,10,HIGH|W+,16,0.035238794018194186,0.01923615506097564,0.8125,0.04111182374063089
BULL_2025,NET60,10,HIGH|W-,1,0.03516234335869754,0.03516234335869754,1.0,0.03516234335869754
BULL_2025,NET60,10,NON_HIGH,27,0.007998450964871326,-0.005576707889819799,0.4444444444444444,0.03474270152940937
BULL_2025,NET60,20,HIGH|N+,4,0.01575423480641406,0.0040664861754969184,0.5,0.03848969127131344
BULL_2025,NET60,20,HIGH|N-,1,0.11025961160941755,0.11025961160941755,1.0,0.11025961160941755
BULL_2025,NET60,20,HIGH|W+,16,0.04871340308515676,0.03996134069677343,0.875,0.05550367914488127
BULL_2025,NET60,20,HIGH|W-,1,0.10021165832936027,0.10021165832936027,1.0,0.10021165832936027
BULL_2025,NET60,20,NON_HIGH,27,0.037354017196604423,0.020131226942907487,0.6296296296296297,0.06534056336791973
OOS_2023_2024,GROSS,5,HIGH|N+,1,0.034712198200057554,0.034712198200057554,1.0,0.034712198200057554
OOS_2023_2024,GROSS,5,HIGH|N-,8,-0.0028187933941561274,-0.0018413572650254396,0.5,0.026351556277491764
OOS_2023_2024,GROSS,5,HIGH|W+,19,0.003548787779462155,0.004032087212730018,0.5789473684210527,0.020801133712359556
OOS_2023_2024,GROSS,5,HIGH|W-,11,-0.007448081271409085,0.001302364921645338,0.5454545454545454,0.027425931418120927
OOS_2023_2024,GROSS,5,NON_HIGH,58,0.004540980252030501,0.005017306355520857,0.6379310344827587,0.021957925087574274
OOS_2023_2024,GROSS,10,HIGH|N+,1,0.052687361656835165,0.052687361656835165,1.0,0.052687361656835165
OOS_2023_2024,GROSS,10,HIGH|N-,8,0.011883061792780968,0.026601060869064372,0.625,0.03241127884753934
OOS_2023_2024,GROSS,10,HIGH|W+,19,0.0030631591595229875,-0.0072124655879512774,0.47368421052631576,0.03420491349009363
OOS_2023_2024,GROSS,10,HIGH|W-,11,-0.01399281720692298,-0.0001010820677221136,0.45454545454545453,0.04038401641791739
OOS_2023_2024,GROSS,10,NON_HIGH,58,0.007977933116955218,0.009652191139880854,0.6379310344827587,0.02704157512724285
OOS_2023_2024,GROSS,20,HIGH|N+,1,0.14628692617180628,0.14628692617180628,1.0,0.14628692617180628
OOS_2023_2024,GROSS,20,HIGH|N-,8,0.03101140629524159,0.03821057558743733,0.75,0.049785107194821404
OOS_2023_2024,GROSS,20,HIGH|W+,19,0.0022606873909417967,-0.008519140208557641,0.42105263157894735,0.052872817696802125
OOS_2023_2024,GROSS,20,HIGH|W-,11,-0.006796847087561228,-0.03167310198896828,0.45454545454545453,0.053541812160910245
OOS_2023_2024,GROSS,20,NON_HIGH,58,0.01039297559376434,0.011973968882134384,0.6551724137931034,0.03784850576351332
OOS_2023_2024,NET30,5,HIGH|N+,1,0.03364939887382794,0.03364939887382794,1.0,0.03364939887382794
OOS_2023_2024,NET30,5,HIGH|N-,8,-0.003550552419321756,-0.002568458353105924,0.5,0.026394187291358617
OOS_2023_2024,NET30,5,HIGH|W+,19,0.0026870464442379977,0.003168218834678027,0.5789473684210527,0.0206713209184865
OOS_2023_2024,NET30,5,HIGH|W-,11,-0.008264536506815585,0.00028077358477268666,0.5454545454545454,0.027295823970208064
OOS_2023_2024,NET30,5,NON_HIGH,58,0.003644403998700327,0.003957971526040427,0.6206896551724138,0.0216707446668129
OOS_2023_2024,NET30,10,HIGH|N+,1,0.05051624088511038,0.05051624088511038,1.0,0.05051624088511038
OOS_2023_2024,NET30,10,HIGH|N-,8,0.010386635431099168,0.02506005155582929,0.625,0.03204972274267052
OOS_2023_2024,NET30,10,HIGH|W+,19,0.001343401425545701,-0.008973894574132358,0.47368421052631576,0.03425842578687887
OOS_2023_2024,NET30,10,HIGH|W-,11,-0.015529697145829108,-0.0018406545639240268,0.36363636363636365,0.04050078732750509
OOS_2023_2024,NET30,10,NON_HIGH,58,0.006157502212241907,0.007526733068496933,0.6206896551724138,0.02647384180174312
OOS_2023_2024,NET30,20,HIGH|N+,1,0.1424368727900828,0.1424368727900828,1.0,0.1424368727900828
OOS_2023_2024,NET30,20,HIGH|N-,8,0.02775437084839221,0.035008335446691144,0.75,0.047938051758593316
OOS_2023_2024,NET30,20,HIGH|W+,19,-0.0011450451971282314,-0.012037002516992712,0.3684210526315789,0.05350117949719443
OOS_2023_2024,NET30,20,HIGH|W-,11,-0.009903673305965753,-0.03415452277202513,0.45454545454545453,0.053445079120075296
OOS_2023_2024,NET30,20,NON_HIGH,58,0.00672410386019916,0.008117038546226352,0.603448275862069,0.03677295747952108
OOS_2023_2024,NET60,5,HIGH|N+,1,0.032586599547598086,0.032586599547598086,1.0,0.032586599547598086
OOS_2023_2024,NET60,5,HIGH|N-,8,-0.004282311444487484,-0.003295559441186535,0.5,0.026436818305225457
OOS_2023_2024,NET60,5,HIGH|W+,19,0.0018253051090137012,0.002304350456625903,0.5789473684210527,0.020541508124613375
