sample,return_type,horizon,breadth_transition,n_dates,mean_fwd,median_fwd,positive_share,mean_abs_fwd
BULL_2025,GROSS,5,HIGH_ENTRY,5,0.010740214705040375,-0.002590989769610619,0.4,0.025971871644757914
BULL_2025,GROSS,5,HIGH_PERSIST,17,0.020856846207140355,0.019087921169709476,0.7058823529411765,0.028193211843923247
BULL_2025,GROSS,5,NON_HIGH,27,0.006541130552543268,0.0019491379123402707,0.5555555555555556,0.022310690852776
BULL_2025,GROSS,10,HIGH_ENTRY,5,0.049488837789893506,0.07588246843897914,0.8,0.06106216043495849
BULL_2025,GROSS,10,HIGH_PERSIST,17,0.034027715750492266,0.02354510126922148,0.8235294117647058,0.03524708176034716
BULL_2025,GROSS,10,NON_HIGH,27,0.011661906561322963,-0.0025350325563777477,0.4444444444444444,0.03465499854455554
BULL_2025,GROSS,20,HIGH_ENTRY,5,0.060501392583223124,0.10850644242610834,0.6,0.08274504738098044
BULL_2025,GROSS,20,HIGH_PERSIST,17,0.054262187659420556,0.043063447631076,0.8823529411764706,0.05604718506484002
BULL_2025,GROSS,20,NON_HIGH,27,0.044643783416855334,0.026574457265353468,0.7037037037037037,0.06808035373666443
BULL_2025,NET30,5,HIGH_ENTRY,5,0.009906511747804237,-0.0033106500591141954,0.4,0.02605674321131481
BULL_2025,NET30,5,HIGH_PERSIST,17,0.01991269090176655,0.018194470781487816,0.7058823529411765,0.02785143362586415
BULL_2025,NET30,5,NON_HIGH,27,0.005623858780979362,0.00117637608406298,0.5555555555555556,0.022148845490041074
BULL_2025,NET30,10,HIGH_ENTRY,5,0.047816069301741704,0.07420692894732847,0.8,0.06004327620360944
BULL_2025,NET30,10,HIGH_PERSIST,17,0.0320881051735156,0.021498458085369387,0.8235294117647058,0.03403224819638502
BULL_2025,NET30,10,NON_HIGH,27,0.009830178763097285,-0.004055870223098645,0.4444444444444444,0.03469885003698246
BULL_2025,NET30,20,HIGH_ENTRY,5,0.05680652615116326,0.10476535348929446,0.6,0.0819213494309056
BULL_2025,NET30,20,HIGH_PERSIST,17,0.05028361947074352,0.039550041747328624,0.8823529411764706,0.05293225099110997
BULL_2025,NET30,20,NON_HIGH,27,0.04099581169127282,0.023459621620776593,0.6666666666666666,0.06660582801590852
BULL_2025,NET60,5,HIGH_ENTRY,5,0.009072808790568007,-0.004030310348617871,0.4,0.026141614777871698
BULL_2025,NET60,5,HIGH_PERSIST,17,0.018968535596392617,0.017301020393265996,0.7058823529411765,0.027509655407804947
BULL_2025,NET60,5,NON_HIGH,27,0.004706587009415313,0.00040361425578547825,0.5185185185185185,0.02199894529327395
BULL_2025,NET60,10,HIGH_ENTRY,5,0.04614330081358968,0.07253138945567753,0.8,0.059024391972260226
