policy,phase,return_type,period,cagr,sharpe,mdd,annual_turnover,annual_allocation_turnover,avg_target_exposure
ALWAYS_100,0,GROSS,TRAIN_2016_2022,0.1734857421668321,0.7884943632902294,-0.47226832174851785,13.784182403091709,0.0,1.0
ALWAYS_100,0,GROSS,OOS_2023_2024,0.1281097853073414,0.655766076651621,-0.27579122316988447,14.502080022677513,0.0,1.0
ALWAYS_100,0,GROSS,PRE_STRESS_2016_2024,0.16329081598865036,0.7606287996711795,-0.47226832174851785,13.94302943294576,0.0,1.0
ALWAYS_100,0,GROSS,BULL_2025,0.9006860888066044,2.799932782796523,-0.15642183111804875,15.43928951746391,0.0,1.0
ALWAYS_100,0,GROSS,YTD_2026,-0.20851836653205624,-0.149519479529378,-0.4701129815519336,14.90653993518705,0.0,1.0
ALWAYS_100,0,NET30,TRAIN_2016_2022,0.12590737816360975,0.6150102163450754,-0.48876542211433927,13.784182403091709,0.0,1.0
ALWAYS_100,0,NET30,OOS_2023_2024,0.08003783752755766,0.45989336477608556,-0.28870589017076886,14.502080022677513,0.0,1.0
ALWAYS_100,0,NET30,PRE_STRESS_2016_2024,0.11559296314671119,0.5826080449934299,-0.48876542211433927,13.94302943294576,0.0,1.0
ALWAYS_100,0,NET30,BULL_2025,0.814576500517904,2.606726086481546,-0.1633441550533168,15.43928951746391,0.0,1.0
ALWAYS_100,0,NET30,YTD_2026,-0.24316719282894528,-0.2298073276029202,-0.47587136459334645,14.90653993518705,0.0,1.0
ALWAYS_100,0,NET60,TRAIN_2016_2022,0.08017841207777643,0.4415599899204996,-0.5047741859259194,13.784182403091709,0.0,1.0
ALWAYS_100,0,NET60,OOS_2023_2024,0.03392902677783605,0.26261019346837955,-0.30141225833570884,14.502080022677513,0.0,1.0
ALWAYS_100,0,NET60,PRE_STRESS_2016_2024,0.06976988168583631,0.40436174755740084,-0.5047741859259194,13.94302943294576,0.0,1.0
ALWAYS_100,0,NET60,BULL_2025,0.7322119151259687,2.4099836343583854,-0.1712905573526492,15.43928951746391,0.0,1.0
ALWAYS_100,0,NET60,YTD_2026,-0.2763640531011037,-0.3098410261760571,-0.4815776143082454,14.90653993518705,0.0,1.0
ALWAYS_100,1,GROSS,TRAIN_2016_2022,0.1512572640158787,0.7094458991121334,-0.4341374498287187,13.68654123770473,0.0,1.0
ALWAYS_100,1,GROSS,OOS_2023_2024,0.03640879214247961,0.27334705406307197,-0.3017970566599868,14.78893581688672,0.0,1.0
ALWAYS_100,1,GROSS,PRE_STRESS_2016_2024,0.12478340663122922,0.6181852250522664,-0.4341374498287187,13.930575166731435,0.0,1.0
ALWAYS_100,1,GROSS,BULL_2025,0.6893724975679443,2.3365183601207593,-0.19206547670850804,16.032199080758268,0.0,1.0
ALWAYS_100,1,GROSS,YTD_2026,-0.07199047233026412,0.15138001789339126,-0.4460960602986548,15.184091909637695,0.0,1.0
ALWAYS_100,1,NET30,TRAIN_2016_2022,0.10490414258013114,0.5371211428553386,-0.45124648802237244,13.68654123770473,0.0,1.0
ALWAYS_100,1,NET30,OOS_2023_2024,-0.008610166589744672,0.07356339315355698,-0.3159570760168876,14.78893581688672,0.0,1.0
ALWAYS_100,1,NET30,PRE_STRESS_2016_2024,0.07870478690530991,0.4400833492345278,-0.45124648802237244,13.930575166731435,0.0,1.0
ALWAYS_100,1,NET30,BULL_2025,0.6099660553707598,2.1362319083640853,-0.20039336489729354,16.032199080758268,0.0,1.0
ALWAYS_100,1,NET30,YTD_2026,-0.11335558001413915,0.07190592576541319,-0.4522832059021925,15.184091909637695,0.0,1.0
ALWAYS_100,1,NET60,TRAIN_2016_2022,0.06033992149597078,0.3647432399394147,-0.47231489619701983,13.68654123770473,0.0,1.0
ALWAYS_100,1,NET60,OOS_2023_2024,-0.05175404511457804,-0.1250518762610469,-0.3298549437285905,14.78893581688672,0.0,1.0
ALWAYS_100,1,NET60,PRE_STRESS_2016_2024,0.03443562469358441,0.26213716590832403,-0.47231489619701983,13.930575166731435,0.0,1.0
ALWAYS_100,1,NET60,BULL_2025,0.5341459485940896,1.9321677543547204,-0.20865312888973853,16.032199080758268,0.0,1.0
ALWAYS_100,1,NET60,YTD_2026,-0.15295452258300724,-0.007298941791210403,-0.4584128699260712,15.184091909637695,0.0,1.0
ALWAYS_100,2,GROSS,TRAIN_2016_2022,0.1377688539708286,0.6531027707669813,-0.47365470712895386,13.653293787368954,0.0,1.0
ALWAYS_100,2,GROSS,OOS_2023_2024,0.05064420206713227,0.33511913868723636,-0.3153968388315056,14.970818329262844,0.0,1.0
ALWAYS_100,2,GROSS,PRE_STRESS_2016_2024,0.11787084512004675,0.587587491591222,-0.47365470712895386,13.94508251064165,0.0,1.0
ALWAYS_100,2,GROSS,BULL_2025,0.9442413139571768,2.9725338033163555,-0.16015190922078892,15.252695789392716,0.0,1.0
ALWAYS_100,2,GROSS,YTD_2026,0.05480001923918154,0.3747671659387278,-0.4204685248747452,14.653741666727067,0.0,1.0
ALWAYS_100,2,NET30,TRAIN_2016_2022,0.09206799577485625,0.4846116649865396,-0.4898424622920381,13.653293787368954,0.0,1.0
ALWAYS_100,2,NET30,OOS_2023_2024,0.004458434237406106,0.13144191548452017,-0.32917670103941976,14.970818329262844,0.0,1.0
ALWAYS_100,2,NET30,PRE_STRESS_2016_2024,0.07202889507148669,0.4119731601271765,-0.4898424622920381,13.94508251064165,0.0,1.0
ALWAYS_100,2,NET30,BULL_2025,0.8571990002779026,2.761500032852002,-0.16630331311469537,15.252695789392716,0.0,1.0
ALWAYS_100,2,NET30,YTD_2026,0.009391829027506127,0.2959479906626908,-0.42531162990762184,14.653741666727067,0.0,1.0
ALWAYS_100,2,NET60,TRAIN_2016_2022,0.048126780921274426,0.3159818898151773,-0.5055591060892546,13.653293787368954,0.0,1.0
ALWAYS_100,2,NET60,OOS_2023_2024,-0.039778913272373484,-0.07165896727221047,-0.3427030778307887,14.970818329262844,0.0,1.0
ALWAYS_100,2,NET60,PRE_STRESS_2016_2024,0.027989377911164404,0.23633125141556383,-0.5055591060892546,13.94508251064165,0.0,1.0
ALWAYS_100,2,NET60,BULL_2025,0.7738958912189324,2.549189762041028,-0.17242126319348483,15.252695789392716,0.0,1.0
ALWAYS_100,2,NET60,YTD_2026,-0.03414287729025989,0.21681257447331848,-0.4301224067752706,14.653741666727067,0.0,1.0
ALWAYS_100,3,GROSS,TRAIN_2016_2022,0.17171486831307758,0.7797049656863487,-0.47481173875453786,13.820232806206189,0.0,1.0
ALWAYS_100,3,GROSS,OOS_2023_2024,0.09217721408699497,0.5053080211586088,-0.3331965256708198,14.561191483342723,0.0,1.0
ALWAYS_100,3,GROSS,PRE_STRESS_2016_2024,0.15360661369077944,0.7219257847989773,-0.47481173875453786,13.984405345000825,0.0,1.0
ALWAYS_100,3,GROSS,BULL_2025,0.7475032255475462,2.457122014172511,-0.17589348409219385,15.295747077832461,0.0,1.0
ALWAYS_100,3,GROSS,YTD_2026,0.07867719426658137,0.42268199327734746,-0.4230613479801285,16.1491365882781,0.0,1.0
ALWAYS_100,3,NET30,TRAIN_2016_2022,0.1240862998737684,0.6071782752854028,-0.47665063244120875,13.820232806206189,0.0,1.0
ALWAYS_100,3,NET30,OOS_2023_2024,0.0454519743029298,0.31114739417798604,-0.34609902879803367,14.561191483342723,0.0,1.0
ALWAYS_100,3,NET30,PRE_STRESS_2016_2024,0.10616841339156058,0.5450114511138463,-0.47665063244120875,13.984405345000825,0.0,1.0
ALWAYS_100,3,NET30,BULL_2025,0.6690520240987194,2.262738001617801,-0.18054510145898228,15.295747077832461,0.0,1.0
ALWAYS_100,3,NET30,YTD_2026,0.027613875961954637,0.3402875318481954,-0.4281845121416572,16.1491365882781,0.0,1.0
ALWAYS_100,3,NET60,TRAIN_2016_2022,0.07831344092246417,0.4343252702398592,-0.4911714304712296,13.820232806206189,0.0,1.0
ALWAYS_100,3,NET60,OOS_2023_2024,0.000644916496802761,0.1159259327324631,-0.3587734903408183,14.561191483342723,0.0,1.0
ALWAYS_100,3,NET60,PRE_STRESS_2016_2024,0.060600472803299166,0.3676346367763903,-0.4911714304712296,13.984405345000825,0.0,1.0
ALWAYS_100,3,NET60,BULL_2025,0.5939789445674901,2.0657375637503606,-0.1851795104444275,15.295747077832461,0.0,1.0
