date,factor_breadth_20d,n_factors_20d,breadth_bin,base_state,factor_substate,REVISION_state,ALWAYS_100,F_LOW_HALF,FB20_HIGH_HALF,CRASH_GUARD_ONLY,FB20_HALF_PLUS_CRASH0,breadth_high,crash_guard
2026-04-07,0.375,8,LOW,B2,F_LOW,R-,1.0,0.5,1.0,0.0,0.0,0,1
2026-04-14,0.625,8,HIGH,B3,F_LOW,R+,1.0,0.5,0.5,1.0,0.5,1,0
2026-04-21,0.375,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2026-04-28,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2026-05-07,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2026-05-14,0.75,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2026-05-21,0.75,8,HIGH,B2,F_HIGH,W-,1.0,1.0,0.5,0.0,0.0,1,1
2026-05-29,0.75,8,HIGH,B2,F_LOW,W-,1.0,0.5,0.5,0.0,0.0,1,1
2026-06-08,0.75,8,HIGH,B2,F_LOW,R-,1.0,0.5,0.5,0.0,0.0,1,1
2026-06-15,0.75,8,HIGH,B2,F_LOW,N-,1.0,0.5,0.5,1.0,0.5,1,0
2026-06-22,0.5,8,LOW,B2,F_LOW,R-,1.0,0.5,1.0,0.0,0.0,0,1
2026-06-29,0.75,8,HIGH,B2,F_LOW,R-,1.0,0.5,0.5,0.0,0.0,1,1
