date,factor_breadth_20d,n_factors_20d,breadth_bin,base_state,factor_substate,REVISION_state,ALWAYS_100,F_LOW_HALF,FB20_HIGH_HALF,CRASH_GUARD_ONLY,FB20_HALF_PLUS_CRASH0,breadth_high,crash_guard
2016-02-01,0.75,8,HIGH,,,,1.0,1.0,0.5,1.0,0.5,1,0
2016-02-11,0.625,8,HIGH,,,,1.0,1.0,0.5,1.0,0.5,1,0
2016-02-18,0.5,8,LOW,,,,1.0,1.0,1.0,1.0,1.0,0,0
2016-02-25,0.5,8,LOW,,,,1.0,1.0,1.0,1.0,1.0,0,0
2016-03-04,0.25,8,LOW,,,,1.0,1.0,1.0,1.0,1.0,0,0
2016-03-11,0.25,8,LOW,,,,1.0,1.0,1.0,1.0,1.0,0,0
2016-03-18,0.25,8,LOW,,,,1.0,1.0,1.0,1.0,1.0,0,0
2016-03-25,0.25,8,LOW,,,,1.0,1.0,1.0,1.0,1.0,0,0
2016-04-01,0.375,8,LOW,B4,F_LOW,N+,1.0,0.5,1.0,1.0,1.0,0,0
2016-04-08,0.75,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2016-04-18,0.5,8,LOW,B4,F_HIGH,N+,1.0,1.0,1.0,1.0,1.0,0,0
2016-04-25,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2016-05-02,0.625,8,HIGH,B4,F_HIGH,N+,1.0,1.0,0.5,1.0,0.5,1,0
2016-05-11,0.625,8,HIGH,B3,F_LOW,W+,1.0,0.5,0.5,1.0,0.5,1,0
2016-05-18,0.75,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2016-05-25,0.5,8,LOW,B3,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2016-06-01,0.5,8,LOW,B3,F_HIGH,W+,1.0,1.0,1.0,1.0,1.0,0,0
2016-06-09,0.625,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2016-06-16,0.5,8,LOW,B3,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
2016-06-23,0.625,8,HIGH,B3,F_LOW,N-,1.0,0.5,0.5,1.0,0.5,1,0
2016-06-30,0.75,8,HIGH,B4,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2016-07-07,0.5,8,LOW,B3,F_LOW,W-,1.0,0.5,1.0,1.0,1.0,0,0
2016-07-14,0.875,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2016-07-21,0.75,8,HIGH,B4,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2016-07-28,0.875,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2016-08-04,0.875,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2016-08-11,0.75,8,HIGH,B3,F_HIGH,W+,1.0,1.0,0.5,1.0,0.5,1,0
2016-08-19,1.0,8,HIGH,B4,F_LOW,W+,1.0,0.5,0.5,1.0,0.5,1,0
2016-08-26,1.0,8,HIGH,B3,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2016-09-02,0.75,8,HIGH,B3,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2016-09-09,0.75,8,HIGH,B3,F_LOW,W-,1.0,0.5,0.5,1.0,0.5,1,0
2016-09-21,0.5,8,LOW,B3,F_LOW,N-,1.0,0.5,1.0,1.0,1.0,0,0
