policy,return_type,period,median_cagr,median_sharpe,median_mdd,median_annual_turnover,median_annual_allocation_turnover,median_avg_target_exposure,median_share_half_or_less,median_share_zero,positive_cagr_phases,n_phases
ALWAYS_100,GROSS,BULL_2025,0.8342467049175835,2.7430441525037144,-0.1730286290987228,15.141749620491293,0.0,1.0,0.0,0.0,10,10
ALWAYS_100,GROSS,OOS_2023_2024,0.11710499932128127,0.6023886664853423,-0.2579522938633898,14.558481803249489,0.0,1.0,0.0,0.0,10,10
ALWAYS_100,GROSS,PRE_STRESS_2016_2024,0.15073870379791976,0.7118633878628652,-0.4647312408588132,13.94975116999418,0.0,1.0,0.0,0.0,10,10
ALWAYS_100,GROSS,TRAIN_2016_2022,0.16063461731389206,0.747536382062296,-0.4647312408588132,13.802207604648949,0.0,1.0,0.0,0.0,10,10
ALWAYS_100,GROSS,YTD_2026,0.05158899586839116,0.3678489639350193,-0.4285388457729723,15.924167468009703,0.0,1.0,0.0,0.0,6,10
ALWAYS_100,NET30,BULL_2025,0.7534163070135472,2.5472650940771056,-0.1795457956417159,15.141749620491293,0.0,1.0,0.0,0.0,10,10
ALWAYS_100,NET30,OOS_2023_2024,0.0697217663898192,0.41091304383597377,-0.27127497292818475,14.558481803249489,0.0,1.0,0.0,0.0,9,10
ALWAYS_100,NET30,PRE_STRESS_2016_2024,0.10340181521985348,0.5343817581796484,-0.4753214909848098,13.94975116999418,0.0,1.0,0.0,0.0,10,10
ALWAYS_100,NET30,TRAIN_2016_2022,0.11356271154467035,0.5725498162011025,-0.4753214909848098,13.802207604648949,0.0,1.0,0.0,0.0,10,10
ALWAYS_100,NET30,YTD_2026,0.004330663129409162,0.28515643970123306,-0.43413742109181797,15.924167468009703,0.0,1.0,0.0,0.0,5,10
ALWAYS_100,NET60,BULL_2025,0.6760024796226739,2.348083231909769,-0.1842775338359705,15.141749620491293,0.0,1.0,0.0,0.0,10,10
ALWAYS_100,NET60,OOS_2023_2024,0.024266836868642172,0.21997578498075035,-0.28439062489751005,14.558481803249489,0.0,1.0,0.0,0.0,7,10
ALWAYS_100,NET60,PRE_STRESS_2016_2024,0.05793199779822733,0.3568094994934987,-0.4911662092123689,13.94975116999418,0.0,1.0,0.0,0.0,10,10
ALWAYS_100,NET60,TRAIN_2016_2022,0.06832138558786927,0.3975257114967712,-0.4911662092123689,13.802207604648949,0.0,1.0,0.0,0.0,10,10
ALWAYS_100,NET60,YTD_2026,-0.04088725026018547,0.20235735374418337,-0.43969083852239915,15.924167468009703,0.0,1.0,0.0,0.0,0,10
CRASH_GUARD_ONLY,GROSS,BULL_2025,0.6771313485695921,2.5272895054135383,-0.12881187763199226,19.416000567190423,5.206611570247934,0.9380165289256198,0.06198347107438017,0.06198347107438017,10,10
CRASH_GUARD_ONLY,GROSS,OOS_2023_2024,0.12359259227660502,0.6524798223118426,-0.19728998036719392,17.07778467631784,3.607361963190184,0.918200408997955,0.081799591002045,0.081799591002045,10,10
CRASH_GUARD_ONLY,GROSS,PRE_STRESS_2016_2024,0.14654983658864873,0.727961505237519,-0.45153618513258537,17.003448928316775,4.456132625307602,0.8979823116916757,0.10201768830832424,0.10201768830832424,10,10
CRASH_GUARD_ONLY,GROSS,TRAIN_2016_2022,0.15508676277083577,0.7554964021403263,-0.45153618513258537,16.99004133214347,4.697932236662581,0.8922225367333113,0.10777746326668866,0.10777746326668866,10,10
CRASH_GUARD_ONLY,GROSS,YTD_2026,0.39780896416815026,1.021856787616515,-0.16606136279131917,18.55583161129198,8.571428571428571,0.6326530612244898,0.3673469387755102,0.3673469387755102,10,10
CRASH_GUARD_ONLY,NET30,BULL_2025,0.5821639646021008,2.254318326791713,-0.13558744611720847,19.416000567190423,5.206611570247934,0.9380165289256198,0.06198347107438017,0.06198347107438017,10,10
CRASH_GUARD_ONLY,NET30,OOS_2023_2024,0.06922856924358756,0.42049253759783745,-0.21116302151734845,17.07778467631784,3.607361963190184,0.918200408997955,0.081799591002045,0.081799591002045,10,10
CRASH_GUARD_ONLY,NET30,PRE_STRESS_2016_2024,0.08943657085521628,0.4974172114603786,-0.455633217559535,17.003448928316775,4.456132625307602,0.8979823116916757,0.10201768830832424,0.10201768830832424,10,10
CRASH_GUARD_ONLY,NET30,TRAIN_2016_2022,0.09747845793030518,0.5269290236037578,-0.455633217559535,16.99004133214347,4.697932236662581,0.8922225367333113,0.10777746326668866,0.10777746326668866,10,10
CRASH_GUARD_ONLY,NET30,YTD_2026,0.3222190987721437,0.8804280501698727,-0.16606136279131894,18.55583161129198,8.571428571428571,0.6326530612244898,0.3673469387755102,0.3673469387755102,10,10
CRASH_GUARD_ONLY,NET60,BULL_2025,0.4905692834245462,1.969218627233399,-0.14320008947827023,19.416000567190423,5.206611570247934,0.9380165289256198,0.06198347107438017,0.06198347107438017,10,10
CRASH_GUARD_ONLY,NET60,OOS_2023_2024,0.01738874847070937,0.18866743628764548,-0.23333826552337766,17.07778467631784,3.607361963190184,0.918200408997955,0.081799591002045,0.081799591002045,7,10
CRASH_GUARD_ONLY,NET60,PRE_STRESS_2016_2024,0.03505610824366445,0.2670958554585387,-0.47133574347824014,17.003448928316775,4.456132625307602,0.8979823116916757,0.10201768830832424,0.10201768830832424,10,10
CRASH_GUARD_ONLY,NET60,TRAIN_2016_2022,0.04259995977647357,0.29870287071905083,-0.47133574347824014,16.99004133214347,4.697932236662581,0.8922225367333113,0.10777746326668866,0.10777746326668866,10,10
CRASH_GUARD_ONLY,NET60,YTD_2026,0.24805795414782938,0.7379451944314749,-0.1697698088691466,18.55583161129198,8.571428571428571,0.6326530612244898,0.3673469387755102,0.3673469387755102,10,10
FB20_HALF_PLUS_CRASH0,GROSS,BULL_2025,0.37918837417619,2.0017493638641755,-0.12881187763199242,19.283597601296343,8.472484610763573,0.7210743801652892,0.49586776859504134,0.06198347107438017,10,10
FB20_HALF_PLUS_CRASH0,GROSS,OOS_2023_2024,0.10203947028297367,0.6186477176684957,-0.15419418200612994,18.596285508938056,7.54402134844293,0.745398773006135,0.4274028629856851,0.081799591002045,10,10
