policy,return_type,period,median_delta_cagr,median_delta_sharpe,median_delta_mdd,median_delta_turnover,better_cagr_phases,better_mdd_phases,n_phases
F_LOW_HALF,GROSS,BULL_2025,-0.08612326797426817,0.2398965443795018,0.06316412707639257,3.9678820684741494,0,10,10
F_LOW_HALF,GROSS,OOS_2023_2024,0.002017366722438685,0.16101888017143362,0.09451905758045892,2.0064099149531485,6,10,10
F_LOW_HALF,GROSS,PRE_STRESS_2016_2024,-0.026978154627116058,0.06298070261782546,0.15205961835180748,3.0080492947740387,0,10,10
F_LOW_HALF,GROSS,TRAIN_2016_2022,-0.0325479734061378,0.03754159641724947,0.15205961835180748,3.2956898620262143,0,10,10
F_LOW_HALF,GROSS,YTD_2026,0.018033861570113663,-0.02201254021523679,0.1405512514362921,1.4907744794313418,8,10,10
F_LOW_HALF,NET30,BULL_2025,-0.10324569388292026,0.14479501108175197,0.06218376767938766,3.970094589485268,0,10,10
F_LOW_HALF,NET30,OOS_2023_2024,-0.0047785736815060265,0.033141524687263085,0.09747925762568144,2.007364292727515,2,10,10
F_LOW_HALF,NET30,PRE_STRESS_2016_2024,-0.03559128807847467,-0.06093977565994052,0.1171426149277075,3.0092584971579486,0,10,10
F_LOW_HALF,NET30,TRAIN_2016_2022,-0.041942507923684924,-0.08521033413414353,0.1171426149277075,3.296863743676126,0,10,10
F_LOW_HALF,NET30,YTD_2026,0.013018859437811614,-0.05639610181454841,0.1405582628059912,1.4932590146487827,7,10,10
F_LOW_HALF,NET60,BULL_2025,-0.11844130581481915,0.033042421250510934,0.06015530409908415,3.972862777993046,0,10,10
F_LOW_HALF,NET60,OOS_2023_2024,-0.010967874515248943,-0.09147521328964994,0.10032484194470298,2.008814634769627,2,10,10
F_LOW_HALF,NET60,PRE_STRESS_2016_2024,-0.043404611686669536,-0.18424690079739997,0.07331829775092247,3.0105812983205764,0,10,10
F_LOW_HALF,NET60,TRAIN_2016_2022,-0.0504174830630042,-0.20695200554462495,0.07331829775092247,3.2982216706361998,0,10,10
F_LOW_HALF,NET60,YTD_2026,0.0071874902635038485,-0.09033497158056973,0.14066795684657596,1.4957484330029258,6,10,10
FB20_HIGH_HALF,GROSS,BULL_2025,-0.32450064368363096,-0.510108112638887,-2.7755575615628914e-16,1.9207148947268475,0,3,10
FB20_HIGH_HALF,GROSS,OOS_2023_2024,0.012231273461760228,0.13083296971986358,0.10699528465742458,2.648355360330548,7,10,10
FB20_HIGH_HALF,GROSS,PRE_STRESS_2016_2024,-0.019024139460950384,0.02191109754048559,0.06365527969948437,3.5298952599926556,0,10,10
FB20_HIGH_HALF,GROSS,TRAIN_2016_2022,-0.030195634063225785,-0.004780911587700831,0.06365527969948437,3.7752946859039076,0,10,10
FB20_HIGH_HALF,GROSS,YTD_2026,0.34626772491570756,0.6867979348081699,0.18016194178835204,1.2034552781217558,10,10,10
FB20_HIGH_HALF,NET30,BULL_2025,-0.31852879348446417,-0.5727688052824981,-5.551115123125783e-17,1.9223993563344877,0,4,10
FB20_HIGH_HALF,NET30,OOS_2023_2024,0.0030923288395666715,0.051282636040710455,0.10925780100882343,2.6489129347915092,7,10,10
FB20_HIGH_HALF,NET30,PRE_STRESS_2016_2024,-0.02958252109270565,-0.07215856858118849,0.05733885441682873,3.5308580812454347,0,10,10
FB20_HIGH_HALF,NET30,TRAIN_2016_2022,-0.041151522421506326,-0.10408023969312391,0.05733885441682873,3.7761470989002097,0,10,10
FB20_HIGH_HALF,NET30,YTD_2026,0.32962066309520877,0.6338296845710757,0.1786540578219113,1.2059716810259165,10,10,10
FB20_HIGH_HALF,NET60,BULL_2025,-0.3123870266749864,-0.6378961231620177,-1.6653345369377348e-16,1.9242520293400407,0,2,10
FB20_HIGH_HALF,NET60,OOS_2023_2024,-0.005481812915326123,-0.02842238139517249,0.09650598181712022,2.649690822328532,2,10,10
FB20_HIGH_HALF,NET60,PRE_STRESS_2016_2024,-0.03914126081967245,-0.1659835562030727,0.009277329005308754,3.532012832583578,0,9,10
