universe,state_cell,base_state,factor_substate,policy,action,train_score
K200,B2|F_HIGH,B2,F_HIGH,ABS_STATE,LEADER,0.6666666666666666
K200,B2|F_HIGH,B2,F_HIGH,ALPHA_STATE,WPLUS,
K200,B2|F_LOW,B2,F_LOW,ABS_STATE,CASH,0.5616438356164384
K200,B2|F_LOW,B2,F_LOW,ALPHA_STATE,LEADER,
K200,B3|F_HIGH,B3,F_HIGH,ABS_STATE,CASH,0.49019607843137253
K200,B3|F_HIGH,B3,F_HIGH,ALPHA_STATE,LEADER,
K200,B3|F_LOW,B3,F_LOW,ABS_STATE,CASH,0.5697674418604651
K200,B3|F_LOW,B3,F_LOW,ALPHA_STATE,EW4,
K200,B4|F_HIGH,B4,F_HIGH,ABS_STATE,EW4,0.6153846153846154
K200,B4|F_HIGH,B4,F_HIGH,ALPHA_STATE,EW4,
K200,B4|F_LOW,B4,F_LOW,ABS_STATE,WPLUS,0.6470588235294118
K200,B4|F_LOW,B4,F_LOW,ALPHA_STATE,POSABS,
KOSDAQ,B3|F_HIGH,B3,F_HIGH,ABS_STATE,LEADER_OR_ROTATE,0.5882352941176471
KOSDAQ,B3|F_HIGH,B3,F_HIGH,ALPHA_STATE,POSABS,
KOSDAQ,B3|F_LOW,B3,F_LOW,ABS_STATE,LEADER_OR_ROTATE,0.5974025974025974
KOSDAQ,B3|F_LOW,B3,F_LOW,ALPHA_STATE,LEADER_OR_ROTATE,
KOSDAQ,B4|F_HIGH,B4,F_HIGH,ABS_STATE,LEADER,0.5833333333333334
KOSDAQ,B4|F_HIGH,B4,F_HIGH,ALPHA_STATE,LEADER,
KOSDAQ,B4|F_LOW,B4,F_LOW,ABS_STATE,POSABS,0.5714285714285714
KOSDAQ,B4|F_LOW,B4,F_LOW,ALPHA_STATE,WPLUS,
KOSDAQ_PLUS_KOSPI_EX_K200,B2|F_HIGH,B2,F_HIGH,ABS_STATE,POSABS,0.6053366899209878
KOSDAQ_PLUS_KOSPI_EX_K200,B2|F_HIGH,B2,F_HIGH,ALPHA_STATE,LEADER_OR_ROTATE,
KOSDAQ_PLUS_KOSPI_EX_K200,B2|F_LOW,B2,F_LOW,ABS_STATE,CASH,0.6041666666666666
KOSDAQ_PLUS_KOSPI_EX_K200,B2|F_LOW,B2,F_LOW,ALPHA_STATE,LEADER,
KOSDAQ_PLUS_KOSPI_EX_K200,B3|F_HIGH,B3,F_HIGH,ABS_STATE,WPLUS,0.5522388059701493
KOSDAQ_PLUS_KOSPI_EX_K200,B3|F_HIGH,B3,F_HIGH,ALPHA_STATE,POSABS,
KOSDAQ_PLUS_KOSPI_EX_K200,B3|F_LOW,B3,F_LOW,ABS_STATE,CASH,0.5616438356164384
KOSDAQ_PLUS_KOSPI_EX_K200,B3|F_LOW,B3,F_LOW,ALPHA_STATE,POSABS,
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_HIGH,B4,F_HIGH,ABS_STATE,POSABS,0.6349206349206349
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_HIGH,B4,F_HIGH,ALPHA_STATE,LEADER,
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_LOW,B4,F_LOW,ABS_STATE,LEADER,0.6440677966101694
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_LOW,B4,F_LOW,ALPHA_STATE,LEADER,
KOSPI_ALL,B2|F_HIGH,B2,F_HIGH,ABS_STATE,POSABS,0.72
KOSPI_ALL,B2|F_HIGH,B2,F_HIGH,ALPHA_STATE,WPLUS,
KOSPI_ALL,B2|F_LOW,B2,F_LOW,ABS_STATE,CASH,0.5441176470588235
KOSPI_ALL,B2|F_LOW,B2,F_LOW,ALPHA_STATE,EW4,
KOSPI_ALL,B3|F_HIGH,B3,F_HIGH,ABS_STATE,POSABS,0.5555555555555556
KOSPI_ALL,B3|F_HIGH,B3,F_HIGH,ALPHA_STATE,LEADER_OR_ROTATE,
KOSPI_ALL,B3|F_LOW,B3,F_LOW,ABS_STATE,CASH,0.5714285714285714
KOSPI_ALL,B3|F_LOW,B3,F_LOW,ALPHA_STATE,EW4,
KOSPI_ALL,B4|F_HIGH,B4,F_HIGH,ABS_STATE,WPLUS,0.5909090909090909
KOSPI_ALL,B4|F_HIGH,B4,F_HIGH,ALPHA_STATE,LEADER,
KOSPI_ALL,B4|F_LOW,B4,F_LOW,ABS_STATE,LEADER,0.6727272727272727
KOSPI_ALL,B4|F_LOW,B4,F_LOW,ALPHA_STATE,LEADER,
KOSPI_EX_K200,B2|F_HIGH,B2,F_HIGH,ABS_STATE,CASH,0.6052631578947368
KOSPI_EX_K200,B2|F_HIGH,B2,F_HIGH,ALPHA_STATE,EW4,
KOSPI_EX_K200,B2|F_LOW,B2,F_LOW,ABS_STATE,CASH,0.4875
KOSPI_EX_K200,B2|F_LOW,B2,F_LOW,ALPHA_STATE,LEADER_OR_ROTATE,
KOSPI_EX_K200,B3|F_HIGH,B3,F_HIGH,ABS_STATE,LEADER_OR_ROTATE,0.5517241379310345
KOSPI_EX_K200,B3|F_HIGH,B3,F_HIGH,ALPHA_STATE,LEADER_OR_ROTATE,
KOSPI_EX_K200,B3|F_LOW,B3,F_LOW,ABS_STATE,WPLUS,0.7123287671232876
KOSPI_EX_K200,B3|F_LOW,B3,F_LOW,ALPHA_STATE,POSABS,
KOSPI_EX_K200,B4|F_HIGH,B4,F_HIGH,ABS_STATE,WPLUS,0.5517241379310345
KOSPI_EX_K200,B4|F_HIGH,B4,F_HIGH,ALPHA_STATE,WPLUS,
KOSPI_EX_K200,B4|F_LOW,B4,F_LOW,ABS_STATE,LEADER_OR_ROTATE,0.5384615384615384
KOSPI_EX_K200,B4|F_LOW,B4,F_LOW,ALPHA_STATE,EW4,
KOSPI_KOSDAQ_ALL,B2|F_HIGH,B2,F_HIGH,ABS_STATE,EW4,0.7241379310344828
