feature,sample,bad_direction,frozen_threshold,n_high_dates,n_bad,bad_share,bad_mean_fwd20,bad_median_fwd20,bad_positive_share,rest_mean_fwd20,rest_positive_share,bad_minus_rest,feature_median_all_high
MKT_RET_20D,TRAIN_2016_2022,HIGH_BAD,0.014452404872928598,165,55,0.3333333333333333,0.00549170325394945,0.0106521754605783,0.5636363636363636,-0.001515727733130481,0.5454545454545454,0.00700743098707993,-0.0062197141947587
MKT_RET_20D,OOS_2023_2024,HIGH_BAD,0.014452404872928598,38,10,0.2631578947368421,-0.020081697457885392,-0.0209105781577763,0.1,0.013625669894587555,0.5357142857142857,-0.03370736735247295,-0.0143465341569325
MKT_RET_20D,BULL_2025,HIGH_BAD,0.014452404872928598,22,16,0.7272727272727273,0.03289299695951231,0.02576210238493855,0.8125,0.08776911786245739,0.8333333333333334,-0.05487612090294508,0.040461649767746494
MKT_RET_20D,YTD_2026,HIGH_BAD,0.014452404872928598,11,6,0.5454545454545454,-0.09483548250172623,-0.0914099225379926,0.16666666666666666,-0.05574668748055398,0.2,-0.03908879502117225,0.027052996351101
MKT_RET_60D,TRAIN_2016_2022,HIGH_BAD,0.038362347991647096,165,55,0.3333333333333333,0.005764458347672191,0.0176068400358257,0.5818181818181818,-0.0016521052799918518,0.5363636363636364,0.007416563627664042,0.0031534039973912
MKT_RET_60D,OOS_2023_2024,HIGH_BAD,0.038362347991647096,38,12,0.3157894736842105,0.011248299984554374,0.00825373271731205,0.5,0.0017585454867286533,0.38461538461538464,0.009489754497825721,0.00910280933836135
MKT_RET_60D,BULL_2025,HIGH_BAD,0.038362347991647096,22,16,0.7272727272727273,0.02956102018879539,0.022616684610783498,0.75,0.09665438925103587,1.0,-0.06709336906224048,0.07451791869393205
MKT_RET_60D,YTD_2026,HIGH_BAD,0.038362347991647096,11,7,0.6363636363636364,-0.057697433777967176,-0.0722248529885439,0.2857142857142857,-0.11096607399183925,0.0,0.05326864021387207,0.0999004590450109
MKT_VOL_20D,TRAIN_2016_2022,LOW_BAD,0.13073673313350842,165,55,0.3333333333333333,0.00012916611862154353,0.0027854037979546,0.509090909090909,0.0011655408345334736,0.5727272727272728,-0.00103637471591193,0.1611053796074471
MKT_VOL_20D,OOS_2023_2024,LOW_BAD,0.13073673313350842,38,9,0.23684210526315788,-0.005257318630503726,-0.0155797260558865,0.3333333333333333,0.007862677591176929,0.4482758620689655,-0.013119996221680655,0.18765267775211542
MKT_VOL_20D,BULL_2025,LOW_BAD,0.13073673313350842,22,2,0.09090909090909091,0.08918309400592425,0.08918309400592425,1.0,0.043726823525754646,0.8,0.045456270480169605,0.1517765727015538
MKT_VOL_20D,YTD_2026,LOW_BAD,0.13073673313350842,11,0,0.0,,,,-0.07706784840119339,0.18181818181818182,,0.386004703576243
MKT_DD_60D,TRAIN_2016_2022,HIGH_BAD,-0.02554555592841767,165,55,0.3333333333333333,-0.002665897857907012,-0.0025038076578766,0.4909090909090909,0.0025630728227977522,0.5818181818181818,-0.005228970680704765,-0.0381451035067087
MKT_DD_60D,OOS_2023_2024,HIGH_BAD,-0.02554555592841767,38,9,0.23684210526315788,-0.028815248647955777,-0.0262414302596661,0.1111111111111111,0.015173759320731018,0.5172413793103449,-0.043989007968686794,-0.0454792123077883
MKT_DD_60D,BULL_2025,HIGH_BAD,-0.02554555592841767,22,17,0.7727272727272727,0.031361662776980034,0.0244869347666182,0.7647058823529411,0.10395087826365615,1.0,-0.07258921548667611,-0.014611471245467599
MKT_DD_60D,YTD_2026,HIGH_BAD,-0.02554555592841767,11,5,0.45454545454545453,-0.09935760840436267,-0.1105949920874413,0.2,-0.0584930483985523,0.16666666666666666,-0.04086456000581037,-0.0444521473702321
LIQ_5D_20D,TRAIN_2016_2022,LOW_BAD,0.29106477769693373,165,55,0.3333333333333333,-0.012357722142698988,-0.0190655922183444,0.45454545454545453,0.00740898496519374,0.6,-0.019766707107892727,0.3353909465020576
LIQ_5D_20D,OOS_2023_2024,LOW_BAD,0.29106477769693373,38,15,0.39473684210526316,0.013957786938896762,-0.0020437856078333,0.4666666666666667,-0.0012463052875588635,0.391304347826087,0.015204092226455626,0.31797262186711617
LIQ_5D_20D,BULL_2025,LOW_BAD,0.29106477769693373,22,5,0.22727272727272727,0.05620561997739841,0.0244869347666182,0.8,0.04540438580234996,0.8235294117647058,0.010801234175048448,0.38911443533747464
LIQ_5D_20D,YTD_2026,LOW_BAD,0.29106477769693373,11,4,0.36363636363636365,-0.11096607399183925,-0.1157489592779531,0.0,-0.057697433777967176,0.2857142857142857,-0.05326864021387207,0.413610251878038
RELATIVE_WORKING_BREADTH,TRAIN_2016_2022,LOW_BAD,0.5,165,102,0.6181818181818182,-0.001275195591594317,0.007466465327199851,0.5686274509803921,0.004212437756595035,0.5238095238095238,-0.005487633348189352,0.5
RELATIVE_WORKING_BREADTH,OOS_2023_2024,LOW_BAD,0.5,38,22,0.5789473684210527,-0.001688299893028596,-0.008455808581179499,0.4090909090909091,0.01361527375726416,0.4375,-0.015303573650292756,0.5
RELATIVE_WORKING_BREADTH,BULL_2025,LOW_BAD,0.5,22,11,0.5,0.04225825219903123,0.0244869347666182,0.7272727272727273,0.05346017130341801,0.9090909090909091,-0.011201919104386775,0.5625
RELATIVE_WORKING_BREADTH,YTD_2026,LOW_BAD,0.5,11,6,0.5454545454545454,-0.03177046906652207,-0.037425195651023355,0.3333333333333333,-0.13142470360279898,0.0,0.09965423453627692,0.5
ABS_CONFIRMED_BREADTH,TRAIN_2016_2022,HIGH_BAD,0.5,165,65,0.3939393939393939,0.004574515772869461,0.0141983459224307,0.5692307692307692,-0.0016202989691364803,0.54,0.006194814742005941,0.375
ABS_CONFIRMED_BREADTH,OOS_2023_2024,HIGH_BAD,0.5,38,17,0.4473684210526316,0.009858810976525304,-0.006054330964967,0.4117647058823529,0.000623904565174639,0.42857142857142855,0.009234906411350665,0.375
ABS_CONFIRMED_BREADTH,BULL_2025,HIGH_BAD,0.5,22,15,0.6818181818181818,0.039870237903560826,0.0360425326517345,0.8666666666666667,0.06497844142478988,0.7142857142857143,-0.025108203521229056,0.5
ABS_CONFIRMED_BREADTH,YTD_2026,HIGH_BAD,0.5,11,5,0.45454545454545453,-0.09168358058458322,-0.0722248529885439,0.2,-0.06488807158170187,0.16666666666666666,-0.026795509002881343,0.375
DEFENSIVE_WORKING_BREADTH,TRAIN_2016_2022,LOW_BAD,0.0,165,78,0.4727272727272727,0.0022232701630069338,0.0048901079961836,0.5512820512820513,-0.0004379476366859069,0.5517241379310345,0.0026612177996928406,0.125
DEFENSIVE_WORKING_BREADTH,OOS_2023_2024,LOW_BAD,0.0,38,19,0.5,0.00048144432570117337,-0.0152223611882907,0.3157894736842105,0.009029175804277641,0.5263157894736842,-0.008547731478576468,0.0625
DEFENSIVE_WORKING_BREADTH,BULL_2025,LOW_BAD,0.0,22,20,0.9090909090909091,0.04212156942940819,0.0315399013274967,0.8,0.10523563496938884,1.0,-0.06311406553998065,0.0
DEFENSIVE_WORKING_BREADTH,YTD_2026,LOW_BAD,0.0,11,7,0.6363636363636364,-0.057697433777967176,-0.0722248529885439,0.2857142857142857,-0.11096607399183925,0.0,0.05326864021387207,0.0
WPLUS_PAIR_SHARE,TRAIN_2016_2022,HIGH_BAD,0.1666666666666666,165,80,0.48484848484848486,0.002796098540517604,0.009791298321075951,0.5375,-0.0010396971166887227,0.5647058823529412,0.003835795657206327,0.0
WPLUS_PAIR_SHARE,OOS_2023_2024,HIGH_BAD,0.1666666666666666,38,21,0.5526315789473685,0.0026430562482910097,-0.0102176242589708,0.38095238095238093,0.0073645647797344945,0.47058823529411764,-0.004721508531443485,0.1666666666666666
WPLUS_PAIR_SHARE,BULL_2025,HIGH_BAD,0.1666666666666666,22,17,0.7727272727272727,0.05078913922066731,0.0438801487418122,0.8823529411764706,0.03789745835511944,0.6,0.012891680865547865,0.5
WPLUS_PAIR_SHARE,YTD_2026,HIGH_BAD,0.1666666666666666,11,6,0.5454545454545454,-0.09483548250172623,-0.0914099225379926,0.16666666666666666,-0.05574668748055398,0.2,-0.03908879502117225,0.1666666666666666
CONFLICT_PAIR_SHARE,TRAIN_2016_2022,LOW_BAD,0.0,165,123,0.7454545454545455,-0.0020721586510158547,0.0060025094728261,0.5447154471544715,0.009290217676138501,0.5714285714285714,-0.011362376327154356,0.0
CONFLICT_PAIR_SHARE,OOS_2023_2024,LOW_BAD,0.0,38,26,0.6842105263157895,0.015999471392838274,0.0014617528386637,0.5,-0.019607039478683138,0.25,0.03560651087152141,0.0
CONFLICT_PAIR_SHARE,BULL_2025,LOW_BAD,0.0,22,15,0.6818181818181818,0.049065086850873546,0.0438801487418122,0.8666666666666667,0.0452751936805483,0.7142857142857143,0.0037898931703252495,0.0
CONFLICT_PAIR_SHARE,YTD_2026,LOW_BAD,0.0,11,11,1.0,-0.07706784840119339,-0.0982199705168307,0.18181818181818182,,,,0.0
LEADER_STRENGTH_60D,TRAIN_2016_2022,LOW_BAD,0.0482500182733954,165,55,0.3333333333333333,-0.013743930653843073,-0.0190655922183444,0.41818181818181815,0.00810208922076578,0.6181818181818182,-0.021846019874608852,0.0698824575457154
LEADER_STRENGTH_60D,OOS_2023_2024,LOW_BAD,0.0482500182733954,38,14,0.3684210526315789,-0.01435730687582384,-0.0065468731925014,0.2857142857142857,0.015904336613797136,0.5,-0.030261643489620977,0.0597555773409996
LEADER_STRENGTH_60D,BULL_2025,LOW_BAD,0.0482500182733954,22,6,0.2727272727272727,0.04216023987884917,0.03545870937253555,0.8333333333333334,0.0499963262033654,0.8125,-0.007836086324516232,0.06297203707405474
LEADER_STRENGTH_60D,YTD_2026,LOW_BAD,0.0482500182733954,11,1,0.09090909090909091,-0.1105949920874413,-0.1105949920874413,0.0,-0.07371513403256859,0.2,-0.036879858054872705,0.0842557504014996
SPREAD_DISPERSION_20D,TRAIN_2016_2022,LOW_BAD,0.021349894506353734,165,55,0.3333333333333333,0.0007982616917772896,0.0172248162192161,0.5818181818181818,0.0008309930479556005,0.5363636363636364,-3.273135617831084e-05,0.0260587185596602
SPREAD_DISPERSION_20D,OOS_2023_2024,LOW_BAD,0.021349894506353734,38,8,0.21052631578947367,0.016714709886655764,0.031017604534274802,0.5,0.001566136779211713,0.4,0.01514857310744405,0.028131219195440697
SPREAD_DISPERSION_20D,BULL_2025,LOW_BAD,0.021349894506353734,22,9,0.4090909090909091,0.0641243458794138,0.0438801487418122,1.0,0.036598734277862865,0.6923076923076923,0.02752561160155094,0.021882844044057548
SPREAD_DISPERSION_20D,YTD_2026,LOW_BAD,0.021349894506353734,11,3,0.2727272727272727,0.0441128516999199,0.0065188818282947,0.6666666666666666,-0.12251061093911085,0.0,0.16662346263903074,0.0331906563317016
FAMILY_MEMBER_AGREEMENT,TRAIN_2016_2022,LOW_BAD,0.75,165,133,0.806060606060606,-0.0018569804999163326,0.0037777065195411,0.5413533834586466,0.011946626087866848,0.59375,-0.01380360658778318,0.75
FAMILY_MEMBER_AGREEMENT,OOS_2023_2024,LOW_BAD,0.75,38,32,0.8421052631578947,0.010146335058895823,-0.00119359803427315,0.46875,-0.0239968232358448,0.16666666666666666,0.03414315829474062,0.75
FAMILY_MEMBER_AGREEMENT,BULL_2025,LOW_BAD,0.75,22,16,0.7272727272727273,0.05089175585097652,0.0558744117727275,0.75,0.03977242748521951,1.0,0.011119328365757013,0.75
