feature,train_n,train_spearman,q1,q2,bad_direction,frozen_threshold
MKT_RET_20D,165,-0.04991852109101595,-0.026164642266137968,0.014452404872928598,HIGH_BAD,0.014452404872928598
MKT_RET_60D,165,-0.03381508294820079,-0.03181061850358657,0.038362347991647096,HIGH_BAD,0.038362347991647096
MKT_VOL_20D,165,0.07607725803435472,0.13073673313350842,0.2067788045663923,LOW_BAD,0.13073673313350842
MKT_DD_60D,165,-0.09023709713020488,-0.06661280935552097,-0.02554555592841767,HIGH_BAD,-0.02554555592841767
LIQ_5D_20D,165,0.15291854780541236,0.29106477769693373,0.38587237482311365,LOW_BAD,0.29106477769693373
RELATIVE_WORKING_BREADTH,165,0.05690988883075745,0.5,0.625,LOW_BAD,0.5
ABS_CONFIRMED_BREADTH,165,-0.01927580333639178,0.125,0.5,HIGH_BAD,0.5
DEFENSIVE_WORKING_BREADTH,165,0.043362879702450764,0.0,0.25,LOW_BAD,0.0
WPLUS_PAIR_SHARE,165,-0.021633886764114332,0.0,0.1666666666666666,HIGH_BAD,0.1666666666666666
CONFLICT_PAIR_SHARE,165,0.060753365521955226,0.0,0.0,LOW_BAD,0.0
LEADER_STRENGTH_60D,165,0.08454305024977961,0.0482500182733954,0.08881566491442146,LOW_BAD,0.0482500182733954
SPREAD_DISPERSION_20D,165,0.06522587022146235,0.021349894506353734,0.03362030825745493,LOW_BAD,0.021349894506353734
FAMILY_MEMBER_AGREEMENT,165,0.13739479950392605,0.75,0.75,LOW_BAD,0.75
MKT_MOM_ACCEL,165,-0.044407341116127486,-0.03396331001328069,0.00434751756695234,HIGH_BAD,0.00434751756695234
