universe,state_cell,action,train_hit_edge,train_mean_edge,train_n
K200,B2|F_HIGH,WPLUS,0.0,0.0,24
K200,B2|F_LOW,REVISION,0.05479452054794526,0.0010314767384696872,73
K200,B3|F_HIGH,VALUE,0.05882352941176466,0.003458869750166762,51
K200,B3|F_LOW,REVISION,0.06976744186046513,0.0010527013904375949,86
K200,B4|F_HIGH,WPLUS,0.0,0.0,26
K200,B4|F_LOW,WPLUS,0.0,0.0,68
KOSDAQ,B3|F_HIGH,WPLUS,0.0,0.0,68
KOSDAQ,B3|F_LOW,WPLUS,0.0,0.0,77
KOSDAQ,B4|F_HIGH,WPLUS,0.0,0.0,48
KOSDAQ,B4|F_LOW,WPLUS,0.0,0.0,63
KOSDAQ_PLUS_KOSPI_EX_K200,B2|F_LOW,WPLUS,0.0,0.0,48
KOSDAQ_PLUS_KOSPI_EX_K200,B3|F_HIGH,WPLUS,0.0,0.0,67
KOSDAQ_PLUS_KOSPI_EX_K200,B3|F_LOW,REVISION,0.0547945205479452,0.0017608897181647367,73
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_HIGH,WPLUS,0.0,0.0,63
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_LOW,WPLUS,0.0,0.0,59
KOSPI_ALL,B2|F_HIGH,WPLUS,0.0,0.0,25
KOSPI_ALL,B2|F_LOW,WPLUS,0.0,0.0,68
KOSPI_ALL,B3|F_HIGH,WPLUS,0.0,0.0,45
KOSPI_ALL,B3|F_LOW,REVISION,0.05494505494505486,0.00015764733141302042,91
KOSPI_ALL,B4|F_HIGH,WPLUS,0.0,0.0,44
KOSPI_ALL,B4|F_LOW,WPLUS,0.0,0.0,55
KOSPI_EX_K200,B2|F_HIGH,WPLUS,0.0,0.0,38
KOSPI_EX_K200,B2|F_LOW,WPLUS,0.0,0.0,80
KOSPI_EX_K200,B3|F_HIGH,WPLUS,0.0,0.0,29
KOSPI_EX_K200,B3|F_LOW,WPLUS,0.0,0.0,73
KOSPI_EX_K200,B4|F_HIGH,WPLUS,0.0,0.0,29
KOSPI_EX_K200,B4|F_LOW,MOMENTUM,0.05128205128205132,0.002555591241099349,39
KOSPI_KOSDAQ_ALL,B2|F_HIGH,WPLUS,0.0,0.0,29
KOSPI_KOSDAQ_ALL,B2|F_LOW,REVISION,0.0714285714285714,4.349018419311018e-05,56
KOSPI_KOSDAQ_ALL,B3|F_HIGH,WPLUS,0.0,0.0,57
KOSPI_KOSDAQ_ALL,B3|F_LOW,WPLUS,0.0,0.0,77
KOSPI_KOSDAQ_ALL,B4|F_HIGH,WPLUS,0.0,0.0,25
KOSPI_KOSDAQ_ALL,B4|F_LOW,WPLUS,0.0,0.0,84
