universe,period,policy,n,switch_share,win_rate,wplus_win,mean5,mean_edge,switched_n,switched_win,switched_wplus_win,switched_edge,cagr,mdd
K200,STRESS_2025,HIT_TILT_5PP,49,0.42857142857142855,0.6326530612244898,0.5714285714285714,0.012949041928991043,0.0020804058361761223,21,0.7142857142857143,0.5714285714285714,0.004854280284410952,0.8529168844469852,-0.07202732338885764
K200,STRESS_2026,HIT_TILT_5PP,20,0.1,0.5,0.5,0.006303870157914432,-3.179651733137521e-05,2,0.0,0.0,-0.00031796517331375215,0.201931507465676,-0.2838571705600511
K200,TRAIN_2016_2022,HIT_TILT_5PP,328,0.6402439024390244,0.5701219512195121,0.5304878048780488,0.0016136424162378725,0.0010433917034891012,210,0.5380952380952381,0.47619047619047616,0.0016296784702115486,0.061413329568467345,-0.40905903768956653
K200,VALID_2023_2024,HIT_TILT_5PP,97,0.6804123711340206,0.5257731958762887,0.5257731958762887,0.0022657444347744422,-0.000360623370545135,66,0.5454545454545454,0.5454545454545454,-0.0005300070748920923,0.09891179669972061,-0.12847201556148857
KOSDAQ,STRESS_2025,HIT_TILT_5PP,45,0.0,0.6222222222222222,0.6222222222222222,0.010537933964738937,0.0,0,,,,0.5971510635629831,-0.10058698392159982
KOSDAQ,STRESS_2026,HIT_TILT_5PP,13,0.0,0.6923076923076923,0.6923076923076923,0.02233824879287821,0.0,0,,,,1.1961507943752738,-0.06774718424035031
KOSDAQ,TRAIN_2016_2022,HIT_TILT_5PP,256,0.0,0.5625,0.5625,0.0015413079880922324,0.0,0,,,,0.04108080383750168,-0.3936556834696189
KOSDAQ,VALID_2023_2024,HIT_TILT_5PP,73,0.0,0.5753424657534246,0.5753424657534246,0.0016310722677836836,0.0,0,,,,0.04304703111776975,-0.24942657042650196
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,HIT_TILT_5PP,49,0.14285714285714285,0.7142857142857143,0.6938775510204082,0.012325590374390103,0.0009983420112096102,7,0.7142857142857143,0.5714285714285714,0.006988394078467271,0.8093639259503349,-0.07129655700755355
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,HIT_TILT_5PP,19,0.05263157894736842,0.5789473684210527,0.5789473684210527,0.009663629057867065,0.0008217413936239004,1,1.0,1.0,0.015613086478854107,0.36413250633192806,-0.2349018843690398
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,HIT_TILT_5PP,328,0.2225609756097561,0.5945121951219512,0.5823170731707317,0.001688385231444412,0.00039190533361593236,73,0.589041095890411,0.5342465753424658,0.0017608897181647367,0.06008271700842727,-0.37846347263637103
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,HIT_TILT_5PP,96,0.3229166666666667,0.5625,0.5625,0.0013515990808088102,0.00033717642936573634,31,0.5161290322580645,0.5161290322580645,0.001044159265132603,0.04382381209419073,-0.27472843537240355
KOSPI_ALL,STRESS_2025,HIT_TILT_5PP,49,0.1836734693877551,0.673469387755102,0.6530612244897959,0.010210145418298781,0.0005520988208581347,9,0.5555555555555556,0.4444444444444444,0.0030058713580054003,0.6283915551263224,-0.08670532510705309
KOSPI_ALL,STRESS_2026,HIT_TILT_5PP,21,0.14285714285714285,0.5238095238095238,0.5238095238095238,0.00954019895035171,-0.001007084360108057,3,0.3333333333333333,0.3333333333333333,-0.007049590520756399,0.390082052126582,-0.21665971082083602
KOSPI_ALL,TRAIN_2016_2022,HIT_TILT_5PP,328,0.2774390243902439,0.5701219512195121,0.5548780487804879,0.0008579730104347245,4.373752182495371e-05,91,0.5714285714285714,0.5164835164835165,0.00015764733141302,0.02408664606300359,-0.4408421824381399
KOSPI_ALL,VALID_2023_2024,HIT_TILT_5PP,97,0.31958762886597936,0.5773195876288659,0.5670103092783505,0.0017083733329636712,-0.001192131638761005,31,0.6451612903225806,0.6129032258064516,-0.0037302183535425,0.07151560265857615,-0.1426522261777713
KOSPI_EX_K200,STRESS_2025,HIT_TILT_5PP,49,0.2653061224489796,0.5918367346938775,0.6122448979591837,0.007735922446456685,-3.94464903145293e-06,13,0.6153846153846154,0.6923076923076923,-1.4868292503168734e-05,0.43795575520870433,-0.09683820475904925
KOSPI_EX_K200,STRESS_2026,HIT_TILT_5PP,15,0.2,0.7333333333333333,0.7333333333333333,0.01606702990916504,-0.00021549006034925303,3,1.0,1.0,-0.001077450301746265,0.8164511039310045,-0.11865046308934935
KOSPI_EX_K200,TRAIN_2016_2022,HIT_TILT_5PP,288,0.13541666666666666,0.5729166666666666,0.5659722222222222,0.0018957316641261407,0.00034606964723220317,39,0.5641025641025641,0.5128205128205128,0.0025555912410993465,0.06841705459108138,-0.3606708817334898
KOSPI_EX_K200,VALID_2023_2024,HIT_TILT_5PP,91,0.1978021978021978,0.5604395604395604,0.5604395604395604,0.0014849799562035076,-0.00039829256437543757,18,0.5,0.5,-0.0020135901865647125,0.056700595904187745,-0.21658084979434933
KOSPI_KOSDAQ_ALL,STRESS_2025,HIT_TILT_5PP,49,0.061224489795918366,0.673469387755102,0.673469387755102,0.010430123869459636,0.00025760094705680415,3,0.6666666666666666,0.6666666666666666,0.004207482135261135,0.6484517713535984,-0.0727133256250787
KOSPI_KOSDAQ_ALL,STRESS_2026,HIT_TILT_5PP,21,0.047619047619047616,0.5238095238095238,0.5238095238095238,0.006369574674535505,0.0001817626217065044,1,1.0,1.0,0.0038170150558365923,0.21927526409651987,-0.24255687774490053
KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,HIT_TILT_5PP,328,0.17073170731707318,0.5823170731707317,0.5701219512195121,0.0009496437179241169,7.4251533988237525e-06,56,0.5714285714285714,0.5,4.3490184193110734e-05,0.026959395307248446,-0.40945464025837774
KOSPI_KOSDAQ_ALL,VALID_2023_2024,HIT_TILT_5PP,96,0.16666666666666666,0.5208333333333334,0.5208333333333334,0.0006549554470535977,1.3222687220858036e-05,16,0.375,0.375,7.9336123325148e-05,0.012150445818583044,-0.280048995624104
