universe,period,policy,avg_mult,win_rate,mean5,cagr,mdd,worst5
K200,STRESS_2025,SIZE_HIT55_125_75,1.0357142857142858,0.5714285714285714,0.012096848672423537,0.7702461634514277,-0.07331273297108076,-0.050862262088360505
K200,STRESS_2026,SIZE_HIT55_125_75,1.2,0.5,0.009464401899347316,0.31410049857576117,-0.32265556869390666,-0.15798546631114074
K200,TRAIN_2016_2022,SIZE_HIT55_125_75,0.9298780487804879,0.5304878048780488,0.0014187230553220902,0.053970482925208785,-0.3800455107107348,-0.12415067751549087
K200,VALID_2023_2024,SIZE_HIT55_125_75,0.9097938144329897,0.5257731958762887,0.00187735867674793,0.08369110833727755,-0.12966430529287976,-0.05966452189580813
KOSDAQ,STRESS_2025,SIZE_HIT55_125_75,0.85,0.6222222222222222,0.008074955314083653,0.430695926006438,-0.11174314482641678,-0.06182426513737775
KOSDAQ,STRESS_2026,SIZE_HIT55_125_75,0.9038461538461539,0.6923076923076923,0.018947971008831836,0.9668196792694272,-0.050810388180262955,-0.050810388180262796
KOSDAQ,TRAIN_2016_2022,SIZE_HIT55_125_75,0.873046875,0.5625,0.0015652394899458744,0.04621410989697683,-0.31738710259641023,-0.09269707236860864
KOSDAQ,VALID_2023_2024,SIZE_HIT55_125_75,0.8321917808219178,0.5753424657534246,0.0017896619507686722,0.058395705021552446,-0.19168023651207444,-0.09197493293558415
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,SIZE_HIT55_125_75,1.1377551020408163,0.6938775510204082,0.012989745286934112,0.8599578885896457,-0.07559183260217883,-0.04013770535958225
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,SIZE_HIT55_125_75,1.0657894736842106,0.5789473684210527,0.01167641858733883,0.5014104211518737,-0.21102950380507157,-0.09463405176193238
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,SIZE_HIT55_125_75,1.038109756097561,0.5823170731707317,0.0018901883972288862,0.06958880497265874,-0.37142921705861176,-0.13167346076393377
