universe,period,rule,n,win_rate,mean5,median5,cagr,mdd,worst5,mean_excess,beat_mkt
K200,STRESS_2025,ALWAYS_WPLUS,49,0.5714285714285714,0.01086863609281492,0.0100128327958145,0.6752039881708869,-0.08226489165743323,-0.0406898096706884,-0.0033791714204058692,0.4897959183673469
K200,STRESS_2026,ALWAYS_WPLUS,20,0.5,0.006335666675245807,0.00806045714089465,0.20261029150900844,-0.28365788691950644,-0.1263883730489126,-0.011444166629121207,0.3
K200,TRAIN_2016_2022,ALWAYS_WPLUS,328,0.5304878048780488,0.000570250712748771,0.00152777883868205,0.010147417263845382,-0.45502078947211644,-0.1523163359458333,0.00012751176333467386,0.4634146341463415
K200,VALID_2023_2024,ALWAYS_WPLUS,97,0.5257731958762887,0.0026263678053195768,0.0017684368275892,0.11951671961322163,-0.12409347826228034,-0.0707523827426301,0.0019315952673635032,0.4639175257731959
KOSDAQ,STRESS_2025,ALWAYS_WPLUS,45,0.6222222222222222,0.010537933964738937,0.0101547187668461,0.5971510635629831,-0.10058698392159982,-0.0494594121099022,0.00540159218312555,0.6444444444444445
KOSDAQ,STRESS_2026,ALWAYS_WPLUS,13,0.6923076923076923,0.02233824879287821,0.0263839996549397,1.1961507943752738,-0.06774718424035031,-0.0677471842403504,0.0073455431657272995,0.6153846153846154
KOSDAQ,TRAIN_2016_2022,ALWAYS_WPLUS,256,0.5625,0.0015413079880922324,0.0035115063313331998,0.04108080383750168,-0.3936556834696189,-0.0987587117774958,0.0019755202041488672,0.56640625
KOSDAQ,VALID_2023_2024,ALWAYS_WPLUS,73,0.5753424657534246,0.0016310722677836836,0.0038792353432302,0.04304703111776975,-0.24942657042650196,-0.1226332439141122,0.0013299066712578165,0.547945205479452
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2025,ALWAYS_WPLUS,49,0.6938775510204082,0.011327248363180494,0.010907942184396,0.7222863988092076,-0.0757979982339948,-0.0321101642876658,0.004560130257965715,0.6530612244897959
KOSDAQ_PLUS_KOSPI_EX_K200,STRESS_2026,ALWAYS_WPLUS,19,0.5789473684210527,0.008841887664243162,0.0087157622693863,0.3206657091077054,-0.23490188436903991,-0.1261787356825765,0.003058962745723242,0.5263157894736842
KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,ALWAYS_WPLUS,328,0.5823170731707317,0.001296479897828479,0.00388483740197765,0.04005873488510736,-0.3731870712669365,-0.1755646143519117,0.001443117312568687,0.5792682926829268
KOSDAQ_PLUS_KOSPI_EX_K200,VALID_2023_2024,ALWAYS_WPLUS,96,0.5625,0.0010144226514430738,0.002001026369077,0.027001948179328217,-0.31172072114019034,-0.119514170924694,0.0006285851949343607,0.53125
KOSPI_ALL,STRESS_2025,ALWAYS_WPLUS,49,0.6530612244897959,0.009658046597440647,0.0104442076901485,0.5850513658230523,-0.0747127439264339,-0.0471882838165168,-0.0039650911947415185,0.46938775510204084
KOSPI_ALL,STRESS_2026,ALWAYS_WPLUS,21,0.5238095238095238,0.010547283310459768,0.0021893956571574,0.4503520445048599,-0.20010222935679756,-0.1028297644163698,-0.012128272004576572,0.42857142857142855
KOSPI_ALL,TRAIN_2016_2022,ALWAYS_WPLUS,328,0.5548780487804879,0.0008142354886097708,0.00382823438259775,0.02180976072504337,-0.45436794103521927,-0.1647852780350054,0.00047514658135492207,0.5
KOSPI_ALL,VALID_2023_2024,ALWAYS_WPLUS,97,0.5670103092783505,0.0029005049717246768,0.0038180170834394,0.1344795360353268,-0.1545240075125046,-0.0766602202089991,0.002125541904305409,0.5979381443298969
KOSPI_EX_K200,STRESS_2025,ALWAYS_WPLUS,49,0.6122448979591837,0.007739867095488137,0.0102440359044099,0.4442478359745008,-0.05804548611649163,-0.0567332381096187,0.0017793564207973735,0.5510204081632653
KOSPI_EX_K200,STRESS_2026,ALWAYS_WPLUS,15,0.7333333333333333,0.01628251996951429,0.0234240739434095,0.8284614491503883,-0.11865046308934946,-0.0870298141417973,0.002714766497917686,0.6
KOSPI_EX_K200,TRAIN_2016_2022,ALWAYS_WPLUS,288,0.5659722222222222,0.001549662016893937,0.00306290376465575,0.05329773302482543,-0.3410803239575877,-0.0801712762275863,0.0015694825991790116,0.5277777777777778
