universe,state_cell,a,b,train_n,valid_n,train_diff,valid_diff,same_sign,train_win_vs_b,valid_win_vs_b
KOSPI_KOSDAQ_ALL,B2|F_HIGH,REVISION,WPLUS,29,8,0.003944766100868124,0.010003128124806013,1.0,0.5862068965517241,0.625
KOSDAQ,B4|F_HIGH,VALUE,WPLUS,48,10,0.0014354998036028715,0.009333015374912811,1.0,0.5416666666666666,0.8
KOSPI_ALL,B4|F_HIGH,REVISION,WPLUS,44,11,0.004386828002813887,0.008618160011365039,1.0,0.7045454545454546,0.5454545454545454
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_HIGH,VALUE,WPLUS,63,9,0.002175630219781888,0.008427990199732265,1.0,0.5396825396825397,0.5555555555555556
KOSPI_EX_K200,B3|F_HIGH,REVISION,WPLUS,29,13,0.0035946337618918372,0.006647335371529369,1.0,0.6551724137931034,0.5384615384615384
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_HIGH,REVISION,WPLUS,63,9,0.002619996598071674,0.006182397672056647,1.0,0.6031746031746031,0.5555555555555556
KOSPI_KOSDAQ_ALL,B2|F_LOW,VALUE,WPLUS,56,16,0.0003834508777897248,0.0058719247666978985,1.0,0.44642857142857145,0.6875
KOSDAQ,B4|F_HIGH,REVISION,WPLUS,48,10,0.002648383357013381,0.005644662823666309,1.0,0.5416666666666666,0.5
KOSPI_KOSDAQ_ALL,B4|F_LOW,REVISION,WPLUS,84,15,0.0004822178357563002,0.00429829445548326,1.0,0.4642857142857143,0.6
K200,B4|F_HIGH,REVISION,WPLUS,26,10,0.001819521804997896,0.00397079556960544,1.0,0.4230769230769231,0.5
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_LOW,FLOW,WPLUS,59,12,0.0012337539867947095,0.002825651260970683,1.0,0.4745762711864407,0.6666666666666666
KOSPI_ALL,B4|F_LOW,REVISION,WPLUS,55,10,0.0004898928119102127,0.0021549553587218895,1.0,0.509090909090909,0.5
KOSPI_EX_K200,B3|F_HIGH,VALUE,WPLUS,29,13,0.0017776620534344027,0.00208875628847563,1.0,0.5517241379310345,0.38461538461538464
KOSDAQ_PLUS_KOSPI_EX_K200,B2|F_LOW,REVISION,WPLUS,48,17,0.0001815975582400456,0.0014007302063815193,1.0,0.375,0.47058823529411764
KOSDAQ,B3|F_LOW,REVISION,WPLUS,77,31,0.0017764715962287811,0.0013047189617541612,1.0,0.5194805194805194,0.5161290322580645
KOSDAQ_PLUS_KOSPI_EX_K200,B4|F_LOW,REVISION,WPLUS,59,12,0.0018758901125284456,0.0012060703463954252,1.0,0.4067796610169492,0.5833333333333334
KOSDAQ_PLUS_KOSPI_EX_K200,B3|F_LOW,REVISION,WPLUS,73,31,0.0017608897181647367,0.001044159265132603,1.0,0.6438356164383562,0.5806451612903226
K200,B3|F_LOW,MOMENTUM,WPLUS,86,29,0.0002820762818645048,0.0010317459714145518,1.0,0.5,0.4827586206896552
KOSPI_KOSDAQ_ALL,B3|F_LOW,REVISION,WPLUS,77,24,0.0005427474389160453,0.0009639396243527918,1.0,0.4935064935064935,0.5416666666666666
K200,B3|F_HIGH,VALUE,WPLUS,51,16,0.0034588697501667614,0.0009129405782368127,1.0,0.49019607843137253,0.3125
KOSDAQ_PLUS_KOSPI_EX_K200,B2|F_LOW,FLOW,WPLUS,48,17,0.0008818445924482643,0.0004655624875322285,1.0,0.5,0.47058823529411764
KOSPI_KOSDAQ_ALL,B2|F_LOW,FLOW,WPLUS,56,16,0.0007812706714132747,0.0003685288449652858,1.0,0.5178571428571429,0.375
K200,B2|F_LOW,REVISION,WPLUS,73,21,0.0010314767384696861,0.0003211395008050239,1.0,0.5205479452054794,0.47619047619047616
K200,B4|F_HIGH,VALUE,WPLUS,26,10,0.0002532889340213961,0.00023191306804340987,1.0,0.6153846153846154,0.4
KOSPI_EX_K200,B3|F_LOW,REVISION,WPLUS,73,18,0.002876705155876549,0.00017964531913194394,1.0,0.4794520547945205,0.3888888888888889
KOSPI_KOSDAQ_ALL,B2|F_LOW,REVISION,WPLUS,56,16,4.3490184193110734e-05,7.9336123325148e-05,1.0,0.5,0.375
