universe,period,base_state,factor_substate,state_cell,a,b,n,mean_diff,median_diff,win_vs_b
K200,STRESS_2025,B2,F_HIGH,B2|F_HIGH,WPLUS,MARKET,1,0.0171778659172573,0.0171778659172573,1.0
K200,STRESS_2025,B2,F_HIGH,B2|F_HIGH,WPLUS,EW4,1,0.0014774151358124994,0.0014774151358124994,1.0
K200,STRESS_2025,B2,F_HIGH,B2|F_HIGH,MOMENTUM,WPLUS,1,0.0077669389319879045,0.0077669389319879045,1.0
K200,STRESS_2025,B2,F_HIGH,B2|F_HIGH,REVISION,WPLUS,1,-0.007766938931987898,-0.007766938931987898,0.0
K200,STRESS_2025,B2,F_HIGH,B2|F_HIGH,VALUE,WPLUS,1,-0.0064363953375208005,-0.0064363953375208005,0.0
K200,STRESS_2025,B2,F_HIGH,B2|F_HIGH,FLOW,WPLUS,1,0.0005267347942710041,0.0005267347942710041,1.0
K200,STRESS_2025,B2,F_LOW,B2|F_LOW,WPLUS,MARKET,3,0.011048300666478703,0.007783745572351501,0.6666666666666666
K200,STRESS_2025,B2,F_LOW,B2|F_LOW,WPLUS,EW4,3,0.0,0.0,0.0
K200,STRESS_2025,B2,F_LOW,B2|F_LOW,MOMENTUM,WPLUS,3,-0.0016075539155787691,-0.0102875739653062,0.3333333333333333
K200,STRESS_2025,B2,F_LOW,B2|F_LOW,REVISION,WPLUS,3,0.010481644298349866,0.002690711934858002,0.6666666666666666
K200,STRESS_2025,B2,F_LOW,B2|F_LOW,VALUE,WPLUS,3,-0.007522833325902367,-0.014396716906670402,0.3333333333333333
K200,STRESS_2025,B2,F_LOW,B2|F_LOW,FLOW,WPLUS,3,-0.0013512570568686676,-0.0027778972226586013,0.3333333333333333
K200,STRESS_2025,B3,F_HIGH,B3|F_HIGH,WPLUS,MARKET,10,-0.005742987432471509,-0.0014204009796858984,0.4
K200,STRESS_2025,B3,F_HIGH,B3|F_HIGH,WPLUS,EW4,10,-0.000751010079367859,-8.818019181489707e-05,0.5
K200,STRESS_2025,B3,F_HIGH,B3|F_HIGH,MOMENTUM,WPLUS,10,0.0024014761901922695,0.0032161969604640995,0.6
K200,STRESS_2025,B3,F_HIGH,B3|F_HIGH,REVISION,WPLUS,10,-0.0001513060918930398,-0.00015095495222965105,0.4
K200,STRESS_2025,B3,F_HIGH,B3|F_HIGH,VALUE,WPLUS,10,0.002336020024778829,0.00122873351336055,0.5
K200,STRESS_2025,B3,F_HIGH,B3|F_HIGH,FLOW,WPLUS,10,-0.0015821498056065905,-0.0011220032634024998,0.5
K200,STRESS_2025,B3,F_LOW,B3|F_LOW,WPLUS,MARKET,8,-0.014259264150496187,-0.0021678498965838496,0.375
K200,STRESS_2025,B3,F_LOW,B3|F_LOW,WPLUS,EW4,8,-0.0032176607817932875,0.0,0.0
K200,STRESS_2025,B3,F_LOW,B3|F_LOW,MOMENTUM,WPLUS,8,0.006178251871196224,-0.001951783673129201,0.375
K200,STRESS_2025,B3,F_LOW,B3|F_LOW,REVISION,WPLUS,8,0.005891844103724012,0.0058399666702793,0.625
K200,STRESS_2025,B3,F_LOW,B3|F_LOW,VALUE,WPLUS,8,4.319488188283681e-05,0.0008012156300011494,0.5
K200,STRESS_2025,B3,F_LOW,B3|F_LOW,FLOW,WPLUS,8,0.0007573522703700868,-0.00266866668841035,0.25
K200,STRESS_2025,B4,F_HIGH,B4|F_HIGH,WPLUS,MARKET,21,0.001480055905191481,0.0013124361696291997,0.5238095238095238
K200,STRESS_2025,B4,F_HIGH,B4|F_HIGH,WPLUS,EW4,21,-0.00017872856650939505,0.0,0.2857142857142857
K200,STRESS_2025,B4,F_HIGH,B4|F_HIGH,MOMENTUM,WPLUS,21,-0.0033733749536539294,-0.006111428544870595,0.38095238095238093
K200,STRESS_2025,B4,F_HIGH,B4|F_HIGH,REVISION,WPLUS,21,0.0014052158737618333,0.0014396642037343005,0.5238095238095238
K200,STRESS_2025,B4,F_HIGH,B4|F_HIGH,VALUE,WPLUS,21,0.001266428461422514,0.0026550959872026006,0.5238095238095238
K200,STRESS_2025,B4,F_HIGH,B4|F_HIGH,FLOW,WPLUS,21,0.0014166448845072282,0.003279283244058198,0.5714285714285714
K200,STRESS_2025,B4,F_LOW,B4|F_LOW,WPLUS,MARKET,6,-0.012579892332819585,-0.0014477862900589503,0.5
K200,STRESS_2025,B4,F_LOW,B4|F_LOW,WPLUS,EW4,6,-0.002175174418599883,-0.00485160984651655,0.3333333333333333
K200,STRESS_2025,B4,F_LOW,B4|F_LOW,MOMENTUM,WPLUS,6,0.002417724818141234,0.0032350459688762013,0.6666666666666666
K200,STRESS_2025,B4,F_LOW,B4|F_LOW,REVISION,WPLUS,6,0.0079843199652712,0.0069437113847332,0.6666666666666666
K200,STRESS_2025,B4,F_LOW,B4|F_LOW,VALUE,WPLUS,6,0.00011385145674204973,0.0035044273418802503,0.5
