universe,state_cell,spec,action,train_edge,train_win_vs_wplus,train_n
K200,B2|F_HIGH,TILT_0BP_W50,WPLUS,0.0,0.5,24
K200,B2|F_HIGH,TILT_10BP_W55,WPLUS,0.0,0.5,24
K200,B2|F_HIGH,TILT_20BP_W55,WPLUS,0.0,0.5,24
K200,B2|F_HIGH,TILT_20BP_W60,WPLUS,0.0,0.5,24
K200,B2|F_LOW,TILT_0BP_W50,REVISION,0.0010314767384696861,0.5205479452054794,73
K200,B2|F_LOW,TILT_10BP_W55,WPLUS,0.0,0.5,73
K200,B2|F_LOW,TILT_20BP_W55,WPLUS,0.0,0.5,73
K200,B2|F_LOW,TILT_20BP_W60,WPLUS,0.0,0.5,73
K200,B3|F_HIGH,TILT_0BP_W50,FLOW,0.0005740429452586269,0.5686274509803921,51
K200,B3|F_HIGH,TILT_10BP_W55,WPLUS,0.0,0.5,51
K200,B3|F_HIGH,TILT_20BP_W55,WPLUS,0.0,0.5,51
K200,B3|F_HIGH,TILT_20BP_W60,WPLUS,0.0,0.5,51
K200,B3|F_LOW,TILT_0BP_W50,MOMENTUM,0.0002820762818645048,0.5,86
K200,B3|F_LOW,TILT_10BP_W55,WPLUS,0.0,0.5,86
K200,B3|F_LOW,TILT_20BP_W55,WPLUS,0.0,0.5,86
K200,B3|F_LOW,TILT_20BP_W60,WPLUS,0.0,0.5,86
K200,B4|F_HIGH,TILT_0BP_W50,VALUE,0.0002532889340213961,0.6153846153846154,26
K200,B4|F_HIGH,TILT_10BP_W55,WPLUS,0.0,0.5,26
K200,B4|F_HIGH,TILT_20BP_W55,WPLUS,0.0,0.5,26
K200,B4|F_HIGH,TILT_20BP_W60,WPLUS,0.0,0.5,26
K200,B4|F_LOW,TILT_0BP_W50,WPLUS,0.0,0.5,68
K200,B4|F_LOW,TILT_10BP_W55,WPLUS,0.0,0.5,68
K200,B4|F_LOW,TILT_20BP_W55,WPLUS,0.0,0.5,68
K200,B4|F_LOW,TILT_20BP_W60,WPLUS,0.0,0.5,68
KOSDAQ,B3|F_HIGH,TILT_0BP_W50,WPLUS,0.0,0.5,68
KOSDAQ,B3|F_HIGH,TILT_10BP_W55,WPLUS,0.0,0.5,68
KOSDAQ,B3|F_HIGH,TILT_20BP_W55,WPLUS,0.0,0.5,68
KOSDAQ,B3|F_HIGH,TILT_20BP_W60,WPLUS,0.0,0.5,68
KOSDAQ,B3|F_LOW,TILT_0BP_W50,REVISION,0.0017764715962287811,0.5194805194805194,77
KOSDAQ,B3|F_LOW,TILT_10BP_W55,WPLUS,0.0,0.5,77
KOSDAQ,B3|F_LOW,TILT_20BP_W55,WPLUS,0.0,0.5,77
KOSDAQ,B3|F_LOW,TILT_20BP_W60,WPLUS,0.0,0.5,77
KOSDAQ,B4|F_HIGH,TILT_0BP_W50,REVISION,0.002648383357013381,0.5416666666666666,48
KOSDAQ,B4|F_HIGH,TILT_10BP_W55,WPLUS,0.0,0.5,48
KOSDAQ,B4|F_HIGH,TILT_20BP_W55,WPLUS,0.0,0.5,48
KOSDAQ,B4|F_HIGH,TILT_20BP_W60,WPLUS,0.0,0.5,48
KOSDAQ,B4|F_LOW,TILT_0BP_W50,REVISION,0.0019164616378892002,0.5079365079365079,63
KOSDAQ,B4|F_LOW,TILT_10BP_W55,WPLUS,0.0,0.5,63
KOSDAQ,B4|F_LOW,TILT_20BP_W55,WPLUS,0.0,0.5,63
