date,universe,period,base_state,factor_substate,state_cell,spec,action,ret,WPLUS,MARKET,edge,switched
2016-04-01,K200,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,FLOW,0.0068945115939829,0.0065647740755918,-0.0023417693470179,0.0003297375183911001,True
2016-04-01,KOSDAQ,TRAIN_2016_2022,B4,F_LOW,B4|F_LOW,TILT_0BP_W50,REVISION,0.0195676541316685,0.0182952978960241,0.0081024498545436,0.0012723562356443986,True
2016-04-01,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B4,F_LOW,B4|F_LOW,TILT_0BP_W50,WPLUS,0.0214474129068467,0.0214474129068467,0.0093290823456702,0.0,False
2016-04-01,KOSPI_ALL,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,0.0140008267995743,0.0100122669112481,-0.0007113472325011,0.0039885598883262,True
2016-04-01,KOSPI_EX_K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,0.0134772865955901,0.0134772865955901,0.0108788033448039,0.0,False
2016-04-01,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B4,F_LOW,B4|F_LOW,TILT_0BP_W50,WPLUS,0.0122505084927023,0.0122505084927023,0.0004778738736827,0.0,False
2016-04-08,K200,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,FLOW,0.0205679051764926,0.0104194906155926,0.0230757435208083,0.0101484145609,True
2016-04-08,KOSDAQ,TRAIN_2016_2022,B4,F_LOW,B4|F_LOW,TILT_0BP_W50,REVISION,-0.0225752136891764,-0.0225752136891764,-0.0011700860763812,0.0,True
2016-04-08,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,-0.022653614606843,-0.0106864153075935,-0.0058790921362498,-0.011967199299249498,True
2016-04-08,KOSPI_ALL,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,0.0045731929305039,0.0080815524543831,0.0187197446020911,-0.0035083595238791995,True
2016-04-08,KOSPI_EX_K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,0.0058962069237429,0.0058962069237429,-0.0118375854646667,0.0,False
2016-04-08,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B4,F_LOW,B4|F_LOW,TILT_0BP_W50,WPLUS,-0.0035780171392938,-0.0035780171392938,0.0160087415343379,0.0,False
2016-04-18,K200,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,VALUE,0.00764911946012,0.0010414661060619,0.0005562300813353,0.0066076533540580995,True
2016-04-18,KOSDAQ,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,0.0166272350982163,0.0166272350982163,0.0115393845325202,0.0,True
2016-04-18,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,0.0200728563357568,0.0107626611782769,0.0135759458751942,0.009310195157479901,True
2016-04-18,KOSPI_ALL,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,0.0045231080001624,0.0095773906082909,0.0024487904534538,-0.0050542826081285,True
2016-04-18,KOSPI_EX_K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,0.0145247190493282,0.0145247190493282,0.0161898676271219,0.0,False
2016-04-18,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,VALUE,0.0107042055947907,0.0093446933355574,0.0036706578565948,0.0013595122592333,True
2016-04-25,K200,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,VALUE,-0.023293199403644,-0.02010650701534,-0.0177444937075867,-0.0031866923883040014,True
2016-04-25,KOSDAQ,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,-0.019594541517917,-0.0166088477411418,-0.0189198357180493,-0.002985693776775201,True
2016-04-25,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,-0.0150159243098556,-0.0163942442531264,-0.019517898676565,0.0013783199432708011,True
2016-04-25,KOSPI_ALL,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,-0.0150709892527121,-0.0175725938940508,-0.0180585944954516,0.0025016046413387,True
2016-04-25,KOSPI_EX_K200,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,REVISION,-0.0085333622641512,-0.0147924987669019,-0.020278873764245,0.006259136502750701,True
2016-04-25,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,VALUE,-0.0198714724683392,-0.0174567641613386,-0.0181753439165344,-0.0024147083070006,True
2016-05-02,K200,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,FLOW,-0.0067637383126997,-0.0262759154044877,-0.0018753135141996,0.019512177091788,True
2016-05-02,KOSDAQ,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,WPLUS,-0.0115524816941956,-0.0115524816941956,0.0198260192327548,0.0,False
2016-05-02,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,0.0185631420837222,-0.0085516417723066,0.0190011720428252,0.0271147838560288,True
2016-05-02,KOSPI_ALL,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,VALUE,-0.0185119970248944,-0.0185119970248944,0.0005447029231866,0.0,True
2016-05-02,KOSPI_EX_K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,0.0075720726637972,0.0075720726637972,0.0179374551707796,0.0,False
2016-05-02,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,WPLUS,-0.0156130563657798,-0.0156130563657798,0.0031683964796405,0.0,False
2016-05-11,K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,MOMENTUM,-0.0014297043902952,-0.0122767501616519,-0.0123046148389052,0.0108470457713567,True
2016-05-11,KOSDAQ,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,REVISION,-0.0007997632706487,-0.0007997632706487,-0.0277314321490661,0.0,True
2016-05-11,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,REVISION,-0.0025859710599499,-0.0025859710599499,-0.0196477435711298,0.0,True
2016-05-11,KOSPI_ALL,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,-0.0097791045573961,-0.0097791045573961,-0.0119309373184611,0.0,False
2016-05-11,KOSPI_EX_K200,TRAIN_2016_2022,B4,F_LOW,B4|F_LOW,TILT_0BP_W50,MOMENTUM,0.0122835446252635,-0.0054032766399976,-0.009279226256167,0.0176868212652611,True
2016-05-11,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,-0.0108218616238447,-0.0108218616238447,-0.0141158771664731,0.0,False
2016-05-18,K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,MOMENTUM,-0.0099514336520364,-0.0075713941863583,0.0022724284205475,-0.0023800394656781,True
2016-05-18,KOSDAQ,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,WPLUS,0.0017381134914375,0.0017381134914375,0.0081914594282237,0.0,False
2016-05-18,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,0.0026634708342687,0.0052795787544377,0.0051619310835156,-0.002616107920169,True
2016-05-18,KOSPI_ALL,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,VALUE,-0.0076886245730919,0.0032329012249585,0.0021573646471438,-0.0109215257980504,True
2016-05-18,KOSPI_EX_K200,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,REVISION,-0.00308269085455,0.005802091136514,0.0013614513587555,-0.008884781991064,True
2016-05-18,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,WPLUS,0.0008736010295873,0.0008736010295873,0.0029799965569344,0.0,False
2016-05-25,K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,MOMENTUM,0.0069185091886778,0.0077109947050734,0.0099988064126853,-0.0007924855163956007,True
2016-05-25,KOSDAQ,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,WPLUS,0.0101976613032317,0.0101976613032317,0.0163073254584224,0.0,False
2016-05-25,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,WPLUS,0.0202654960524737,0.0202654960524737,0.0185859417938457,0.0,False
2016-05-25,KOSPI_ALL,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,0.0210045469370994,0.0210045469370994,0.0114472744165386,0.0,False
2016-05-25,KOSPI_EX_K200,TRAIN_2016_2022,B4,F_LOW,B4|F_LOW,TILT_0BP_W50,MOMENTUM,0.0357266669788718,0.0357266669788718,0.0214466918120149,0.0,True
2016-05-25,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,0.0139732738554536,0.0139732738554536,0.0121133159573352,0.0,False
2016-06-01,K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,MOMENTUM,0.0260965500705721,0.0260965500705721,0.0236713417178545,0.0,True
2016-06-01,KOSDAQ,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,WPLUS,0.0195465769250897,0.0195465769250897,0.0092388233368303,0.0,False
2016-06-01,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,WPLUS,0.0140006452091196,0.0140006452091196,0.0063221880451785,0.0,False
2016-06-01,KOSPI_ALL,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,0.0224865024233835,0.0224865024233835,0.0209876421502901,0.0,False
2016-06-01,KOSPI_EX_K200,TRAIN_2016_2022,B3,F_HIGH,B3|F_HIGH,TILT_0BP_W50,REVISION,-0.0084685727817189,0.0064220459375838,0.0026752525657186,-0.0148906187193027,True
2016-06-01,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,0.0205371656719819,0.0205371656719819,0.019369504997967,0.0,False
2016-06-09,K200,TRAIN_2016_2022,B4,F_LOW,B4|F_LOW,TILT_0BP_W50,WPLUS,-0.0525468981215061,-0.0525468981215061,-0.035480328396322,0.0,False
2016-06-09,KOSDAQ,TRAIN_2016_2022,B4,F_LOW,B4|F_LOW,TILT_0BP_W50,REVISION,-0.0350043826004816,-0.0569909953858159,-0.0359012798901279,0.0219866127853343,True
2016-06-09,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,-0.0290968507264139,-0.0428143198293414,-0.037754469327942,0.0137174691029275,True
2016-06-09,KOSPI_ALL,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,REVISION,-0.0418585037737468,-0.0470121961051646,-0.0359143074442336,0.005153692331417797,True
2016-06-09,KOSPI_EX_K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,-0.0578395110438046,-0.0578395110438046,-0.0403513197884932,0.0,False
2016-06-09,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B4,F_HIGH,B4|F_HIGH,TILT_0BP_W50,VALUE,-0.0458552575410969,-0.0453115906046917,-0.0359109960790986,-0.0005436669364052016,True
2016-06-16,K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,MOMENTUM,-0.0011393111127234,0.0107018652662385,0.0187190272240692,-0.0118411763789619,True
2016-06-16,KOSDAQ,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,REVISION,0.0058698103484349,0.0005718095438364,-0.0003937871169231,0.0052980008045985,True
2016-06-16,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,REVISION,0.0081191961099735,0.0046798755909451,0.0034617864165883,0.0034393205190283993,True
2016-06-16,KOSPI_ALL,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,0.0099054981662853,0.0099054981662853,0.0176950721133361,0.0,False
2016-06-16,KOSPI_EX_K200,TRAIN_2016_2022,B2,F_LOW,B2|F_LOW,TILT_0BP_W50,REVISION,0.0148156156503369,0.0017112226761666,0.009149090016505,0.0131043929741703,True
2016-06-16,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,0.006806964525123,0.006806964525123,0.0152309156720444,0.0,False
2016-06-23,K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,MOMENTUM,-0.0023694288829605,-0.0183483482250446,-0.0077667067973949,0.015978919342084102,True
2016-06-23,KOSDAQ,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,REVISION,0.0016292045787964,0.0022498403160005,-0.0071299710004371,-0.0006206357372041001,True
2016-06-23,KOSDAQ_PLUS_KOSPI_EX_K200,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,REVISION,-0.005268474505706,-0.0031165556483438,-0.0071433926763387,-0.0021519188573622,True
2016-06-23,KOSPI_ALL,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,-0.0113588232741966,-0.0113588232741966,-0.0076972472971594,0.0,False
2016-06-23,KOSPI_EX_K200,TRAIN_2016_2022,B2,F_LOW,B2|F_LOW,TILT_0BP_W50,REVISION,-0.0101414454672584,-0.0074407893328618,-0.0071539605310236,-0.002700656134396599,True
2016-06-23,KOSPI_KOSDAQ_ALL,TRAIN_2016_2022,B3,F_LOW,B3|F_LOW,TILT_0BP_W50,WPLUS,-0.0073530842364083,-0.0073530842364083,-0.0076209946578879,0.0,False
2016-06-30,K200,TRAIN_2016_2022,B4,F_LOW,B4|F_LOW,TILT_0BP_W50,WPLUS,0.0076450387912399,0.0076450387912399,0.0012491429364384,0.0,False
