universe,policy,action,raw_action,train_n,train_win,train_mean,train_beat,train_excess
K200,ABS_UNCOND,MARKET,MARKET,328,0.5548780487804879,0.00044273894941409723,0.0,0.0
K200,ALPHA_UNCOND,LEADER,,328,0.5396341463414634,0.00026436643945387865,0.4969512195121951,-0.0001783725099602184
KOSDAQ,ABS_UNCOND,LEADER_OR_ROTATE,LEADER_OR_ROTATE,256,0.5859375,0.0027595760390006735,0.59375,0.0031937882550573077
KOSDAQ,ALPHA_UNCOND,LEADER_OR_ROTATE,,256,0.5859375,0.0027595760390006735,0.59375,0.0031937882550573077
KOSDAQ_PLUS_KOSPI_EX_K200,ABS_UNCOND,POSABS,POSABS,328,0.5884146341463414,0.0010749690265942338,0.5762195121951219,0.0012216064413344415
KOSDAQ_PLUS_KOSPI_EX_K200,ALPHA_UNCOND,LEADER_OR_ROTATE,,328,0.5792682926829268,0.0019908471296933173,0.5823170731707317,0.0021374845444335246
KOSPI_ALL,ABS_UNCOND,POSABS,POSABS,328,0.5609756097560976,0.0005724580557766828,0.4847560975609756,0.00023336914852183443
KOSPI_ALL,ALPHA_UNCOND,WPLUS,,328,0.5548780487804879,0.0008142354886097738,0.5,0.00047514658135492554
KOSPI_EX_K200,ABS_UNCOND,WPLUS,WPLUS,288,0.5659722222222222,0.001549662016893941,0.5277777777777778,0.0015694825991790155
KOSPI_EX_K200,ALPHA_UNCOND,POSABS,,288,0.5451388888888888,0.0008403246433577299,0.5381944444444444,0.0008601452256428047
KOSPI_KOSDAQ_ALL,ABS_UNCOND,LEADER_OR_ROTATE,LEADER_OR_ROTATE,328,0.5792682926829268,0.0015078344126748622,0.5396341463414634,0.0012255028074750387
KOSPI_KOSDAQ_ALL,ALPHA_UNCOND,LEADER_OR_ROTATE,,328,0.5792682926829268,0.0015078344126748622,0.5396341463414634,0.0012255028074750387
