model,universe,k,train_n,bic,silhouette_train,persistence_all,median_run_all,eta2_fwd20_post,eta2_fwd_dd20_post
FULL,K200,3,333,-676.7167096744655,0.1488783668150012,0.6725838264299803,2.0,0.02509059622777464,0.022905831241378103
FULL,K200,4,333,-3147.8669061237088,0.16351291629926512,0.621301775147929,2.0,0.007034886666782605,0.025491659684483803
BASE,KOSDAQ,3,333,3953.5335366812524,0.21177504988337292,0.7712031558185405,3.0,0.00992616564481938,0.05295735593979598
BASE,KOSDAQ,4,333,3854.1509259111967,0.13031577729334237,0.7061143984220908,2.5,0.028116321809652987,0.05222380323681989
BASE,KOSDAQ,5,333,3769.190358037329,0.1568888550656741,0.6725838264299803,3.0,0.027220991660738325,0.0964676853536918
FULL,KOSDAQ,3,333,-725.0114901767412,0.16340345623401248,0.73767258382643,3.0,0.009145141221769557,0.016768695333346007
FULL,KOSDAQ,4,333,-4869.333056498584,0.179727810513284,0.6528599605522682,2.0,0.010549196099650762,0.044347640471508167
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,3,333,3878.3906822771664,0.20713882057290456,0.7712031558185405,3.0,0.012996734426228666,0.05146891360030766
BASE,KOSDAQ_PLUS_KOSPI_EX_K200,4,333,3770.230390022521,0.14560847600559476,0.727810650887574,3.0,0.029365556002542308,0.052374425608979126
FULL,KOSDAQ_PLUS_KOSPI_EX_K200,3,333,2452.2532607650205,0.19234673895142004,0.6607495069033531,2.0,0.014889243721785158,0.029285174167203554
BASE,KOSPI_ALL,4,333,3759.454458770941,0.2123570749150312,0.7790927021696252,3.0,0.07350231731445432,0.0030597959510629295
FULL,KOSPI_ALL,3,333,422.0193215445458,0.17213688246103404,0.7001972386587771,2.0,0.02172129021673933,0.03953583998137074
BASE,KOSPI_EX_K200,3,332,3926.894962029708,0.18613938868345312,0.7747035573122529,2.0,0.006244246606569633,0.04105183947763038
BASE,KOSPI_EX_K200,4,332,3777.4945765983216,0.18870163700103676,0.7529644268774703,2.0,0.0013607761121971875,0.045682510979711786
FULL,KOSPI_EX_K200,3,321,2700.8915353964953,0.17225167330676874,0.6727272727272727,2.0,0.012302413272605865,0.005229035131611642
FULL,KOSPI_EX_K200,4,321,-89.87130319494372,0.12109429855319441,0.5333333333333333,1.0,0.01844743823484691,0.044977976262395566
BASE,KOSPI_KOSDAQ_ALL,4,333,3775.340267113632,0.22674176469261187,0.7731755424063116,3.0,0.07500472727176433,0.002109516601257655
FULL,KOSPI_KOSDAQ_ALL,3,333,199.91983101621076,0.1724508956792618,0.650887573964497,2.0,0.01679914883227896,0.01987585950751463
