model,universe,k,state,sample,n,MKT_FWD_5D,MKT_FWD_20D,MKT_FWD_DD20,MKT_FWD_VOL20
BASE,KOSDAQ,5,S1,TRAIN,31,0.01607886158537543,0.07569042233744964,-0.01852052520949495,0.2566155172520924
BASE,KOSDAQ,5,S1,POST_2023,22,-0.0023462679673553134,-0.023462853713887143,-0.09391551658724666,0.45061089844675906
BASE,KOSDAQ,5,S1,NORMAL_2023_2024,10,0.016419212819264745,0.03138966716674692,-0.033293081191375015,0.26377407204863246
BASE,KOSDAQ,5,S2,TRAIN,72,-0.0024905970823942154,-0.007093357141211685,-0.056029655000903095,0.2323472381564312
BASE,KOSDAQ,5,S2,POST_2023,27,-0.003549038071732202,0.002642240943679521,-0.057795226565594916,0.29057895890023555
BASE,KOSDAQ,5,S2,NORMAL_2023_2024,20,-0.0015803642909954893,0.0008375575095441928,-0.057115304104497236,0.2721277870718476
BASE,KOSDAQ,5,S3,TRAIN,116,0.0006750031365000861,-0.004243026188619056,-0.04793533761758224,0.20232073110884743
BASE,KOSDAQ,5,S3,POST_2023,68,0.0005653831414827608,0.011311735959665992,-0.04259654526220181,0.2284693210447341
BASE,KOSDAQ,5,S3,NORMAL_2023_2024,42,-0.0025450083313089096,0.0008571041832558451,-0.04374376777784061,0.20593158207040987
BASE,KOSDAQ,5,S4,TRAIN,77,-0.002032360920484397,-0.00724442945517324,-0.04104179290450923,0.16463935776055721
BASE,KOSDAQ,5,S4,POST_2023,24,0.018809104907572687,0.023269657646468638,-0.0254802524661026,0.23388107684407608
BASE,KOSDAQ,5,S4,NORMAL_2023_2024,13,0.005860673609562591,-0.014563388920877789,-0.04089107248119244,0.20191423860325536
BASE,KOSDAQ,5,S5,TRAIN,37,0.0006170442148058498,0.00996044438622215,-0.042956227440289534,0.233747263622593
BASE,KOSDAQ,5,S5,POST_2023,34,-0.0021125959779941562,-0.00456148433729999,-0.06051468951741781,0.29132473054156643
BASE,KOSDAQ,5,S5,NORMAL_2023_2024,12,-0.0037867018561063364,0.0026130129933890785,-0.05102872265101057,0.2262428573225441
