model,universe,k,from_state,to_state,n,prob
BASE,KOSDAQ,5,S3,S3,128,0.6956521739130435
BASE,KOSDAQ,5,S4,S4,66,0.6534653465346535
BASE,KOSDAQ,5,S2,S2,66,0.6666666666666666
BASE,KOSDAQ,5,S5,S5,43,0.6056338028169014
BASE,KOSDAQ,5,S1,S1,38,0.7307692307692307
BASE,KOSDAQ,5,S3,S4,21,0.11413043478260869
BASE,KOSDAQ,5,S5,S3,19,0.2676056338028169
BASE,KOSDAQ,5,S4,S3,18,0.1782178217821782
BASE,KOSDAQ,5,S3,S2,18,0.09782608695652174
BASE,KOSDAQ,5,S2,S3,17,0.1717171717171717
BASE,KOSDAQ,5,S4,S5,14,0.13861386138613863
BASE,KOSDAQ,5,S3,S5,13,0.07065217391304347
BASE,KOSDAQ,5,S1,S2,12,0.23076923076923078
BASE,KOSDAQ,5,S2,S1,11,0.1111111111111111
BASE,KOSDAQ,5,S5,S4,9,0.1267605633802817
BASE,KOSDAQ,5,S2,S4,4,0.04040404040404041
BASE,KOSDAQ,5,S3,S1,4,0.021739130434782608
BASE,KOSDAQ,5,S4,S2,3,0.0297029702970297
BASE,KOSDAQ,5,S1,S3,2,0.038461538461538464
BASE,KOSDAQ,5,S2,S5,1,0.010101010101010102
