universe,base_state,outcome,period,block_states,n_boot_target,point,n_high,n_low,boot_n,ci025,ci975,p_gt0,p_lt0,boot_median
K200,B3,NEXT_BASE_DOWN,TRAIN_2016_2022,4,3000,-0.12722298221614226,51,86,3000,-0.22826086956521738,-0.028946099492063414,0.004666666666666667,0.9953333333333333,-0.1270416575294624
K200,B3,NEXT_BASE_DOWN,VALID_2023_2024,4,3000,-0.07543103448275862,16,29,3000,-0.25,0.10555555555555554,0.19066666666666668,0.7986666666666666,-0.08
K200,B3,NEXT_BASE_DOWN,STRESS_2025,4,3000,-0.125,10,8,2353,-0.4,0.0,0.0,0.6850828729281768,-0.1111111111111111
KOSPI_ALL,B2,NEXT_BASE_UP,TRAIN_2016_2022,4,3000,0.1035294117647059,25,68,3000,-0.07263549607299608,0.338246121111697,0.8576666666666667,0.13966666666666666,0.10527525043654076
KOSPI_ALL,B2,NEXT_BASE_UP,VALID_2023_2024,4,3000,0.1875,8,16,2607,-0.125,0.5714285714285714,0.8423475258918297,0.11200613732259301,0.16666666666666666
KOSPI_ALL,B2,NEXT_BASE_UP,STRESS_2025,4,3000,,1,3,0,,,,,
KOSPI_ALL,B3,NEXT_BASE_DOWN,TRAIN_2016_2022,4,3000,-0.07619047619047618,45,91,3000,-0.17570740662845927,0.028891976921799133,0.07466666666666667,0.924,-0.07575757575757575
KOSPI_ALL,B3,NEXT_BASE_DOWN,VALID_2023_2024,4,3000,-0.12903225806451613,21,31,3000,-0.2692307692307692,-0.02857142857142857,0.0,0.99,-0.125
KOSPI_ALL,B3,NEXT_BASE_DOWN,STRESS_2025,4,3000,-0.1111111111111111,9,9,2421,-0.3333333333333333,0.0,0.0,0.6840148698884758,-0.1111111111111111
KOSPI_EX_K200,B2,NEXT_BASE_UP,TRAIN_2016_2022,4,3000,0.07434210526315788,38,80,3000,-0.08540966547379295,0.2416050595996498,0.814,0.183,0.07286456919464497
KOSPI_EX_K200,B2,NEXT_BASE_UP,VALID_2023_2024,4,3000,0.2417582417582418,13,21,2984,-0.08647321428571426,0.6314166666666657,0.9266085790884718,0.0700402144772118,0.2411239495798319
KOSPI_EX_K200,B2,NEXT_BASE_UP,STRESS_2025,4,3000,,1,6,0,,,,,
KOSPI_EX_K200,B2,NEXT_BASE_DOWN,TRAIN_2016_2022,4,3000,-0.0875,38,80,3000,-0.1466764705882353,-0.03488372093023256,0.0,0.9993333333333333,-0.08641975308641975
KOSPI_EX_K200,B2,NEXT_BASE_DOWN,VALID_2023_2024,4,3000,-0.14285714285714285,13,21,2990,-0.2727272727272727,0.0,0.0,0.9591973244147157,-0.14285714285714285
KOSPI_EX_K200,B2,NEXT_BASE_DOWN,STRESS_2025,4,3000,,1,6,0,,,,,
KOSDAQ,B3,NEXT_BASE_UP,TRAIN_2016_2022,4,3000,0.10714285714285715,68,77,3000,-0.02031115026423061,0.23697743793934659,0.9466666666666667,0.051333333333333335,0.10866688691055779
KOSDAQ,B3,NEXT_BASE_UP,VALID_2023_2024,4,3000,0.07096774193548389,20,31,3000,-0.1376874062968516,0.2727543290043291,0.741,0.252,0.06666666666666667
KOSDAQ,B3,NEXT_BASE_UP,STRESS_2025,4,3000,0.09027777777777779,16,9,2831,-0.26190476190476186,0.4123588829471182,0.7039915224302367,0.27764040974920523,0.09659090909090909
KOSDAQ,B3,NEXT_BASE_DOWN,TRAIN_2016_2022,4,3000,-0.05634071810542397,68,77,3000,-0.15049388482404125,0.043234154929577474,0.12966666666666668,0.8666666666666667,-0.05668694109554325
KOSDAQ,B3,NEXT_BASE_DOWN,VALID_2023_2024,4,3000,-0.0967741935483871,20,31,3000,-0.17647058823529413,0.0,0.0,0.9623333333333334,-0.09375
KOSDAQ,B3,NEXT_BASE_DOWN,STRESS_2025,4,3000,-0.1111111111111111,16,9,2842,-0.3076923076923077,0.0,0.0,0.6717100633356791,-0.1111111111111111
KOSDAQ,B3,MKT_FWD_DD20,TRAIN_2016_2022,4,3000,0.005298707210249255,68,77,3000,-0.016386070217449995,0.025604136724050954,0.6826666666666666,0.31733333333333336,0.004814376399736493
KOSDAQ,B3,MKT_FWD_DD20,VALID_2023_2024,4,3000,0.02376667834132295,20,31,3000,-0.006487556999043004,0.05376730521515975,0.9343333333333333,0.06566666666666666,0.022691477987092062
KOSDAQ,B3,MKT_FWD_DD20,STRESS_2025,4,3000,0.025490472464346194,16,9,2850,-0.008716905438236527,0.060444148245456644,0.9105263157894737,0.08947368421052632,0.02403418394469671
KOSDAQ,B4,MKT_FWD_20D,TRAIN_2016_2022,4,3000,-0.026001185802252302,48,63,3000,-0.05755533572583024,0.0032876829368152748,0.047,0.953,-0.025017994331999104
KOSDAQ,B4,MKT_FWD_20D,VALID_2023_2024,4,3000,-0.015234226573208502,10,12,2762,-0.05441173549618011,0.029070820498790007,0.22338884866039102,0.776611151339609,-0.015362651368545411
KOSDAQ,B4,MKT_FWD_20D,STRESS_2025,4,3000,0.01858171803629788,11,9,2454,-0.04051236903843087,0.08867330867975141,0.6874490627546862,0.3125509372453138,0.018682283577396784
KOSDAQ_PLUS_KOSPI_EX_K200,B3,NEXT_BASE_UP,TRAIN_2016_2022,4,3000,0.16152116131670413,67,73,3000,0.01904667171908553,0.3029312471257159,0.988,0.011666666666666667,0.16516835016835016
KOSDAQ_PLUS_KOSPI_EX_K200,B3,NEXT_BASE_UP,VALID_2023_2024,4,3000,0.1532258064516129,24,31,3000,-0.03277777777777776,0.37222222222222223,0.9443333333333334,0.05333333333333334,0.15497076023391812
KOSDAQ_PLUS_KOSPI_EX_K200,B3,NEXT_BASE_UP,STRESS_2025,4,3000,0.00840336134453784,17,7,2484,-0.36914262820512816,0.4,0.49557165861513686,0.4782608695652174,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,B3,NEXT_BASE_DOWN,TRAIN_2016_2022,4,3000,-0.04988754855857697,67,73,3000,-0.1490360562943124,0.043714216491792926,0.13933333333333334,0.856,-0.05004617892675552
KOSDAQ_PLUS_KOSPI_EX_K200,B3,NEXT_BASE_DOWN,VALID_2023_2024,4,3000,-0.12903225806451613,24,31,3000,-0.25806451612903225,-0.030303030303030304,0.0,0.9863333333333333,-0.125
KOSDAQ_PLUS_KOSPI_EX_K200,B3,NEXT_BASE_DOWN,STRESS_2025,4,3000,-0.14285714285714285,17,7,2502,-0.5,0.0,0.0,0.6810551558752997,-0.14285714285714285
KOSDAQ_PLUS_KOSPI_EX_K200,B4,MKT_FWD_20D,TRAIN_2016_2022,4,3000,-0.009128010816906926,63,59,3000,-0.032431814365237746,0.015055554380905598,0.218,0.782,-0.0089211588499796
KOSDAQ_PLUS_KOSPI_EX_K200,B4,MKT_FWD_20D,VALID_2023_2024,4,3000,-0.009695548004602431,9,12,2590,-0.04764180687798205,0.03507964704521674,0.3104247104247104,0.6895752895752896,-0.00945341667736117
KOSDAQ_PLUS_KOSPI_EX_K200,B4,MKT_FWD_20D,STRESS_2025,4,3000,0.01853577679209572,12,9,2516,-0.04700210477471914,0.0779075693707301,0.6844197138314785,0.31558028616852146,0.01634282301907853
