universe,base_state,train_n,low_n,high_n,factor_silhouette,factor_centroid_distance_z,health_low,health_high
K200,B2,97,73,24,0.4131119220969161,2.9287626263376763,-0.5723930998272126,1.741029011974441
K200,B3,137,86,51,0.30606037444665196,2.7032659218058144,-0.943768597726808,1.5914529295001079
K200,B4,94,68,26,0.3404128487764603,2.7157828706672826,-0.9929740900357125,2.597009158554941
KOSDAQ,B3,145,77,68,0.25164627700171555,2.5893023525989936,-1.1848204588483189,1.3416349313429528
KOSDAQ,B4,111,63,48,0.24870105269080442,2.2190172469215996,-0.4403093466977622,0.5779060175408153
KOSDAQ_PLUS_KOSPI_EX_K200,B2,66,48,18,0.3807402943569917,2.8692812059095822,-0.6811477886016721,1.8163941029377892
KOSDAQ_PLUS_KOSPI_EX_K200,B3,140,73,67,0.2480273092060567,2.4323436441028807,-1.347359697220091,1.4680187745830833
KOSDAQ_PLUS_KOSPI_EX_K200,B4,122,59,63,0.23940974327230263,2.3768996382951135,-1.317856496516155,1.2341830681659247
KOSPI_ALL,B2,93,68,25,0.4154531791341636,2.993595880218354,-0.9375691753476876,2.5501881569457105
KOSPI_ALL,B3,136,91,45,0.338696733823188,2.853612966151301,-0.7745123116442736,1.5662360079917534
KOSPI_ALL,B4,99,55,44,0.3275667778103576,2.6464098047531563,-1.107721686882416,1.3846521086030188
KOSPI_EX_K200,B2,118,80,38,0.29968053140654627,2.641245806136185,-0.82273674681214,1.7320773617097696
KOSPI_EX_K200,B3,102,73,29,0.32259340356218213,2.7591279289352624,-0.8964939783171288,2.256691738522428
KOSPI_EX_K200,B4,68,39,29,0.29892714259516867,2.8899240642321624,-1.2187636233669106,1.6390269417692933
KOSPI_KOSDAQ_ALL,B2,85,56,29,0.3614356892053879,2.678005799401732,-0.9913289948572541,1.914290472827799
KOSPI_KOSDAQ_ALL,B3,134,77,57,0.26637608344694147,2.4663551284550427,-0.9613490040628064,1.2986644440848432
KOSPI_KOSDAQ_ALL,B4,109,84,25,0.35431580573221544,2.9188252963542345,-0.5445401913878141,1.8296550430630567
