hypothesis,factor_method,universe,n_specs,train_expected_share,valid_expected_share,train_valid_same_sign_share,median_train_diff,median_valid_diff
REPAIR_UP,KMEANS,K200,3,0.3333333333333333,1.0,0.3333333333333333,-0.0157819225251076,0.15294117647058825
REPAIR_UP,KMEANS,KOSDAQ,3,1.0,0.6666666666666666,0.6666666666666666,0.08870967741935484,0.02878787878787878
REPAIR_UP,KMEANS,KOSDAQ_PLUS_KOSPI_EX_K200,3,1.0,1.0,1.0,0.16152116131670413,0.1532258064516129
REPAIR_UP,KMEANS,KOSPI_ALL,6,0.8333333333333334,0.5,0.6666666666666666,0.05327896966267086,0.09375
REPAIR_UP,KMEANS,KOSPI_EX_K200,5,1.0,0.6,0.6,0.0634674922600619,0.09649122807017543
REPAIR_UP,KMEANS,KOSPI_KOSDAQ_ALL,6,0.5,0.8333333333333334,0.5,0.02482539979037597,0.06490384615384616
REPAIR_UP,KMEANS,ALL_UNIVERSES,26,0.7692307692307693,0.7307692307692307,0.6153846153846154,0.07516124871001031,0.09172387490465293
REPAIR_UP,SCORE_MEDIAN,K200,6,0.8333333333333334,0.8333333333333334,0.6666666666666666,0.0835711981938397,0.06385696040868455
REPAIR_UP,SCORE_MEDIAN,KOSDAQ,6,1.0,1.0,1.0,0.17321678331952306,0.14285714285714285
REPAIR_UP,SCORE_MEDIAN,KOSDAQ_PLUS_KOSPI_EX_K200,4,1.0,1.0,1.0,0.15409858958246053,0.17792792792792794
REPAIR_UP,SCORE_MEDIAN,KOSPI_ALL,6,0.8333333333333334,0.6666666666666666,0.5,0.040556788753237136,0.07997317130908231
REPAIR_UP,SCORE_MEDIAN,KOSPI_EX_K200,5,0.6,0.4,0.8,0.0657510227936879,-0.00219298245614033
REPAIR_UP,SCORE_MEDIAN,KOSPI_KOSDAQ_ALL,6,0.6666666666666666,0.8333333333333334,0.5,0.049862938596491234,0.17424242424242425
REPAIR_UP,SCORE_MEDIAN,ALL_UNIVERSES,33,0.8181818181818182,0.7878787878787878,0.7272727272727273,0.10787671232876711,0.15333333333333332
REPAIR_DOWN,KMEANS,K200,3,1.0,0.6666666666666666,0.6666666666666666,-0.11592539454806312,-0.0411764705882353
REPAIR_DOWN,KMEANS,KOSDAQ,3,1.0,1.0,1.0,-0.06065188172043011,-0.0967741935483871
REPAIR_DOWN,KMEANS,KOSDAQ_PLUS_KOSPI_EX_K200,3,1.0,1.0,1.0,-0.04988754855857697,-0.12
REPAIR_DOWN,KMEANS,KOSPI_ALL,6,0.8333333333333334,0.6666666666666666,0.5,-0.014894419306184013,-0.03186329799233025
REPAIR_DOWN,KMEANS,KOSPI_EX_K200,5,1.0,0.6,0.6,-0.06501547987616099,-0.08571428571428572
