universe,base_k,base_rank,base_role,factor_method,stress_period,outcome,valid_diff,stress_diff,same_sign,stress_n_min
K200,3,3,STRONG,KMEANS,STRESS_2025,NEXT_UP,0.0,0.0,1.0,12
K200,3,3,STRONG,KMEANS,STRESS_2025,NEXT_DOWN,-0.1473684210526316,-0.011904761904761904,1.0,12
K200,3,3,STRONG,KMEANS,STRESS_2025,MKT_FWD_20D,-0.0024466084169198106,-0.0262776984339151,1.0,12
K200,3,3,STRONG,KMEANS,STRESS_2025,MKT_FWD_DD20,-0.005580509065020934,0.002929269909664991,0.0,12
K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.0,0.0,1.0,9
K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,-0.10833333333333334,-0.04659498207885304,1.0,9
K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,-0.013049222726844358,0.012991653369841774,0.0,9
K200,3,3,STRONG,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,-0.017415305283945037,0.02097459472609787,0.0,9
K200,4,3,REPAIR_MID,KMEANS,STRESS_2025,NEXT_UP,0.16810344827586207,0.15000000000000002,1.0,8
K200,4,3,REPAIR_MID,KMEANS,STRESS_2025,NEXT_DOWN,-0.07543103448275862,-0.125,1.0,8
K200,4,3,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_20D,-0.014003552614858462,-0.03843153203784701,1.0,8
K200,4,3,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_DD20,-0.016103971821047978,-0.0015689785578825097,1.0,8
K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.07407407407407407,0.3,1.0,8
K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,0.09259259259259259,-0.1,0.0,8
K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,-0.01588288917818952,-0.010580443095755537,1.0,8
K200,4,3,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,-0.013896295829592266,0.012546280482722973,0.0,8
KOSDAQ,3,2,REPAIR_MID,KMEANS,STRESS_2025,NEXT_UP,0.02878787878787878,0.08571428571428569,1.0,10
KOSDAQ,3,2,REPAIR_MID,KMEANS,STRESS_2025,NEXT_DOWN,-0.04090909090909091,-0.1,1.0,10
KOSDAQ,3,2,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_20D,0.027059724430199293,0.00714872391906109,1.0,10
KOSDAQ,3,2,REPAIR_MID,KMEANS,STRESS_2025,MKT_FWD_DD20,0.023674627479707104,0.02789696201113798,1.0,10
KOSDAQ,3,2,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_UP,0.11587301587301588,0.375,1.0,8
KOSDAQ,3,2,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,NEXT_DOWN,-0.13809523809523808,-0.125,1.0,8
KOSDAQ,3,2,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_20D,-0.02243815945657174,0.019363605046417334,0.0,8
KOSDAQ,3,2,REPAIR_MID,SCORE_MEDIAN,STRESS_2025,MKT_FWD_DD20,-0.02059540242740454,0.03759699579773363,0.0,8
KOSDAQ,3,3,STRONG,KMEANS,STRESS_2025,NEXT_UP,0.0,0.0,1.0,10
KOSDAQ,3,3,STRONG,KMEANS,STRESS_2025,NEXT_DOWN,0.006060606060606044,-0.2846153846153846,0.0,10
KOSDAQ,3,3,STRONG,KMEANS,STRESS_2025,MKT_FWD_20D,-0.02541960182586536,0.005730724634993526,0.0,10
KOSDAQ,3,3,STRONG,KMEANS,STRESS_2025,MKT_FWD_DD20,-0.01501347431735655,0.014044456611538705,0.0,10
KOSDAQ,4,3,REPAIR_MID,KMEANS,STRESS_2025,NEXT_UP,0.07096774193548389,0.09027777777777779,1.0,9
