universe,state,sample,n,ret60,liq,abs_confirmed,defensive,leader_strength,fwd5,fwd20,fwd_dd20
K200,BROAD_EXPANSION,TRAIN,19,0.12222777650056879,0.6332561772503414,0.5723684210526315,0.006578947368421052,0.07593665887926804,-0.0016362885710325375,0.007936213350145478,-0.02631147014162867
K200,BROAD_EXPANSION,POST_2023,29,0.2239439536210726,0.6667628498586408,0.5603448275862069,0.0,0.08536775524405456,0.021265718337807236,0.05995631786794187,-0.030355334387576486
K200,BROAD_EXPANSION,NORMAL_2023_2024,5,0.08191901452180153,0.6565011787974789,0.425,0.0,0.07795622459524523,-0.008320579066040895,-0.012607595943344842,-0.03555477408417525
K200,BROAD_WEAKNESS,TRAIN,53,-0.0722101705473348,0.37909706714581587,0.29952830188679247,0.0,0.048302382988131005,0.0019465252518246657,-0.0015691468604652724,-0.028082818308071526
K200,BROAD_WEAKNESS,POST_2023,14,-0.05265903219490964,0.3870430646538014,0.42857142857142855,0.0,0.0514488640442111,0.005889866579901611,0.012522001673045334,-0.03154153073909182
K200,BROAD_WEAKNESS,NORMAL_2023_2024,8,-0.06072474334604312,0.34927967786496456,0.359375,0.0,0.047406694516852296,0.0004772682258383917,-0.02123045634751084,-0.047369691907436826
K200,CONCENTRATED_TREND,TRAIN,20,0.10037683801611559,0.3124961486833261,0.25,0.08125,0.09086824254037904,0.007174978098452323,0.027119439808889513,-0.014779799079332977
K200,CONCENTRATED_TREND,POST_2023,21,0.25761116775628035,0.2393141338826618,0.25,0.24404761904761904,0.12042240162298569,-0.005974344591444197,0.0282828357075739,-0.07691668881927023
K200,CONCENTRATED_TREND,NORMAL_2023_2024,5,0.050247086286910214,0.31335676168163473,0.2,0.175,0.10781332345911751,-0.0038706380246012377,0.024042584470478537,-0.009088531827265966
K200,DEFENSIVE_WEAKNESS,TRAIN,58,-0.08102892159044245,0.40640129263925684,0.021551724137931036,0.4224137931034483,0.04194127392140393,0.0010217769332160997,0.016831045828897946,-0.02984154021837062
K200,DEFENSIVE_WEAKNESS,POST_2023,17,-0.0765212473329548,0.439626869292216,0.08088235294117647,0.4411764705882353,0.07603284405048935,0.005297121399100116,0.012830589109284807,-0.03255859256384443
K200,DEFENSIVE_WEAKNESS,NORMAL_2023_2024,15,-0.07164594311658604,0.44068934633687323,0.09166666666666666,0.43333333333333335,0.0624441734566191,0.0019055687042921156,0.01283058910928481,-0.029910852717268663
K200,MIXED,TRAIN,111,0.005479969429287934,0.408033302974553,0.240990990990991,0.10135135135135136,0.06442806191466771,-0.0007634618557339139,-0.009885665443389865,-0.03904421379014631
K200,MIXED,POST_2023,43,0.0035946088553424887,0.3800401124656452,0.3168604651162791,0.12209302325581395,0.054424901369087245,0.0036544461408486687,0.015949170027377245,-0.02553331956211591
K200,MIXED,NORMAL_2023_2024,36,0.004672839861732818,0.3744134228308914,0.2881944444444444,0.11458333333333333,0.056195455315834614,-8.5540620159139e-05,0.0038821540938175298,-0.03080971640310302
K200,OTHER_UPTREND,TRAIN,69,0.10443680238484583,0.406876351003077,0.3115942028985507,0.043478260869565216,0.04714636277746714,0.0009737749191526763,0.010274684141491451,-0.024047833536619
K200,OTHER_UPTREND,POST_2023,49,0.13894082000150706,0.37476965224075,0.3010204081632653,0.09183673469387756,0.073616700488951,0.007565780527319072,0.033487390444909115,-0.03660718876721211
K200,OTHER_UPTREND,NORMAL_2023_2024,27,0.06321821567957657,0.4021040954173933,0.2824074074074074,0.05092592592592592,0.06976749817771867,0.0037044440831754915,0.0025933913979718855,-0.03086120970417244
KOSDAQ,BROAD_EXPANSION,TRAIN,28,0.10325998061942869,0.4574089048903865,0.48214285714285715,0.008928571428571428,0.07614596989371154,-0.002944694273874393,-0.00838467131955826,-0.05099766853499077
KOSDAQ,BROAD_EXPANSION,POST_2023,24,0.13054682445858357,0.4796469099849416,0.53125,0.0,0.10885877119079113,-0.006174438675649038,0.002214686254777882,-0.0626442933286807
KOSDAQ,BROAD_EXPANSION,NORMAL_2023_2024,6,0.1575458844558056,0.464800621787977,0.4375,0.0,0.17486377144122503,-0.015520853567959764,-0.030465923822000418,-0.061057247864763874
KOSDAQ,BROAD_WEAKNESS,TRAIN,44,-0.085167081381979,0.36331943033514863,0.2840909090909091,0.0,0.08842527075463773,0.0021599178355564703,-0.005104040836020173,-0.03776412354278011
KOSDAQ,BROAD_WEAKNESS,POST_2023,20,-0.07793143800419425,0.3343460294506194,0.26875,0.0,0.04870588437510623,0.004798060418766341,0.009693046072761393,-0.037943964613088514
KOSDAQ,BROAD_WEAKNESS,NORMAL_2023_2024,15,-0.08076421277567883,0.33717933154554897,0.21666666666666667,0.0,0.04305788434114756,-0.0005590300113834314,-0.01074027362427007,-0.04896279587583353
KOSDAQ,CONCENTRATED_TREND,TRAIN,15,0.20433006766176703,0.3527444775917817,0.18333333333333332,0.058333333333333334,0.15889501456514588,-0.002625661038267592,0.032055421101506,-0.024087341436270827
KOSDAQ,CONCENTRATED_TREND,POST_2023,17,0.10458727320799167,0.2618832826645807,0.27205882352941174,0.18382352941176472,0.13304044854852862,0.005551118638768178,0.009352270581461057,-0.038578289460547456
KOSDAQ,CONCENTRATED_TREND,NORMAL_2023_2024,12,0.0742216501010871,0.2763400421479363,0.17708333333333334,0.22916666666666666,0.14444609591310428,0.01387886597360901,0.018126432965752944,-0.021808878852426494
KOSDAQ,DEFENSIVE_WEAKNESS,TRAIN,66,-0.11634393778063455,0.3070904204993621,0.045454545454545456,0.3522727272727273,0.0755312598779727,0.0020199361320072332,0.024366200682326474,-0.044879771150314315
KOSDAQ,DEFENSIVE_WEAKNESS,POST_2023,31,-0.1428917621240855,0.28024878775755896,0.04435483870967742,0.4798387096774194,0.08496459979955379,-0.010428655936676304,-0.03339352234540046,-0.098466183177476
KOSDAQ,DEFENSIVE_WEAKNESS,NORMAL_2023_2024,19,-0.11173185388298919,0.30270347712264156,0.039473684210526314,0.42105263157894735,0.06995437347459242,-0.0020676039037568748,0.007642792752961565,-0.05955418382269464
KOSDAQ,MIXED,TRAIN,110,0.004233929906929633,0.35019388746204294,0.2409090909090909,0.1409090909090909,0.08611386257455726,-0.00013778200793945858,-0.004149215140640135,-0.049289386720014705
KOSDAQ,MIXED,POST_2023,32,0.0001376969512631998,0.3389378757706947,0.32421875,0.09765625,0.07060355877784939,0.003753086687722608,-0.003050943897910397,-0.04360618800082264
KOSDAQ,MIXED,NORMAL_2023_2024,22,0.0002374737705957823,0.33626729827870017,0.3125,0.11363636363636363,0.06959423140945202,-0.00250435687748315,-0.020275360483959278,-0.05677273286383344
KOSDAQ,OTHER_UPTREND,TRAIN,62,0.12430308611086854,0.3555890309333579,0.29838709677419356,0.056451612903225805,0.08244313861845823,0.0026875978532606764,-0.0009156591589527433,-0.044500783366077344
KOSDAQ,OTHER_UPTREND,POST_2023,50,0.11360573776199719,0.34236532511404755,0.2325,0.0575,0.07439367547656926,0.00782108381384199,0.027483520471660104,-0.0368209865302355
KOSDAQ,OTHER_UPTREND,NORMAL_2023_2024,22,0.09411231139163023,0.35869796841519036,0.2215909090909091,0.056818181818181816,0.07848949996935765,0.0024219846908279906,0.027056355663513207,-0.03289548691727503
KOSDAQ,ROTATION,TRAIN,8,0.06376795411504606,0.30385556829876814,0.28125,0.140625,0.04020040521373998,0.0007212584819369918,0.004717285019704196,-0.04056959923894282
KOSDAQ_PLUS_KOSPI_EX_K200,BROAD_EXPANSION,TRAIN,25,0.11145580588320111,0.4812377030121125,0.475,0.01,0.09919026720466265,0.0052619385263011735,0.001375222205734635,-0.030741821005196127
KOSDAQ_PLUS_KOSPI_EX_K200,BROAD_EXPANSION,POST_2023,26,0.14011980987960573,0.4932233803202654,0.5240384615384616,0.0,0.10163549831364461,-0.0003505858205177835,0.006301887937516455,-0.06394127037108586
KOSDAQ_PLUS_KOSPI_EX_K200,BROAD_EXPANSION,NORMAL_2023_2024,8,0.14009996024279237,0.46473681964817987,0.4375,0.0,0.158675739397581,-0.009849825120779265,-0.02237159576465223,-0.050866109835037865
KOSDAQ_PLUS_KOSPI_EX_K200,BROAD_WEAKNESS,TRAIN,41,-0.08717324892586059,0.3680786445023883,0.29573170731707316,0.0,0.07904808534651525,0.004643856727598171,-0.0002870732443412483,-0.030966252734526127
KOSDAQ_PLUS_KOSPI_EX_K200,BROAD_WEAKNESS,POST_2023,15,-0.06840494815558902,0.3382887081070705,0.23333333333333334,0.0,0.04236154297564276,0.0068422918189445835,0.012941935044424376,-0.027504528794224284
KOSDAQ_PLUS_KOSPI_EX_K200,BROAD_WEAKNESS,NORMAL_2023_2024,12,-0.07112842268478153,0.3361728417733043,0.19791666666666666,0.0,0.04337561964608285,0.003159780581927049,0.0004493165433382054,-0.03418381242290233
