eval_block,split,universe,family_pair,anchor_family,other_family,contrast,n_left,n_right,mkt_1d_left,mkt_1d_right,mkt_1d_diff,mkt_5d_left,mkt_5d_right,mkt_5d_diff,mkt_20d_left,mkt_20d_right,mkt_20d_diff,a_top_fwd_5d_left,a_top_fwd_5d_right,a_top_fwd_5d_diff,a_top_fwd_20d_left,a_top_fwd_20d_right,a_top_fwd_20d_diff,a_spread_fwd_5d_left,a_spread_fwd_5d_right,a_spread_fwd_5d_diff,a_spread_fwd_20d_left,a_spread_fwd_20d_right,a_spread_fwd_20d_diff,b_top_fwd_5d_left,b_top_fwd_5d_right,b_top_fwd_5d_diff,b_top_fwd_20d_left,b_top_fwd_20d_right,b_top_fwd_20d_diff,b_spread_fwd_5d_left,b_spread_fwd_5d_right,b_spread_fwd_5d_diff,b_spread_fwd_20d_left,b_spread_fwd_20d_right,b_spread_fwd_20d_diff
2020-2021,TRAIN,K200,MOMENTUM_X_REVISION,MOMENTUM,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,17,8,-0.0009680523833312413,-0.0012981034043682877,0.0003300510210370464,-0.00674282101686473,-0.0033231787856221645,-0.003419642231242565,-0.03262251326914809,-0.004328502237488361,-0.02829401103165973,-0.003225131156163754,-0.01589826751868173,0.012673136362517975,-0.039676717502361285,-0.02565875339872481,-0.014017964103636475,-0.004693267487074652,-0.006269927355120053,0.0015766598680454005,-0.0005411621960790716,-0.01507249153362529,0.01453132933754622,-0.003665865506122004,-0.006274538626515919,0.0026086731203939146,-0.03756268732119767,-0.008750770031035207,-0.028811917290162463,-0.0020979121716183918,0.00595188053734011,-0.008049792708958501,0.009522882955503957,0.0008187229720692385,0.008704159983434719
2020-2021,TRAIN,K200,MOMENTUM_X_REVISION,MOMENTUM,REVISION,ALT_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,8,14,-0.004404716491561369,-0.0005461249190782928,-0.0038585915724830763,-0.0018715923249799354,0.008771404193292167,-0.010642996518272102,0.024436976135651538,0.021730930299131052,0.0027060458365204855,-0.001402578240366048,0.010589578442289582,-0.01199215668265563,0.007721348075613962,0.007449540768251439,0.00027180730736252323,0.0009951910076851644,-0.0014257869134016085,0.002420977921086773,-0.011151800977590623,-0.004169894379643316,-0.006981906597947307,-0.0015579158908939766,0.012714507808393696,-0.014272423699287672,0.011410173590368028,0.014194868560632679,-0.0027846949702646506,0.0038912770016239356,0.0021872834888751074,0.0017039935127488282,-0.005035243990318405,0.00040299777783253665,-0.005438241768150942
2020-2021,TRAIN,K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,17,20,-0.0009680523833312413,8.495636304818484e-05,-0.0010530087463794262,-0.00674282101686473,5.3054713073458086e-05,-0.006795875729938188,-0.03262251326914809,0.0015135321830659558,-0.03413604545221405,-0.003225131156163754,-0.001830176896556074,-0.0013949542596076799,-0.039676717502361285,0.006212086959391327,-0.045888804461752614,-0.004693267487074652,-0.004996435145619277,0.00030316765854462423,-0.0005411621960790716,0.0012279547559481407,-0.0017691169520272123,-0.003665865506122004,-0.001468924902656299,-0.002196940603465705,-0.03756268732119767,0.005836505941326803,-0.04339919326252447,-0.0020979121716183918,-0.0013115513999615968,-0.0007863607716567949,0.009522882955503957,0.005665735539241668,0.0038571474162622894
2020-2021,TRAIN,K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFLICT_RMINUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,8,20,-0.004404716491561369,8.495636304818484e-05,-0.004489672854609554,-0.0018715923249799354,5.3054713073458086e-05,-0.0019246470380533934,0.024436976135651538,0.0015135321830659558,0.02292344395258558,-0.001402578240366048,-0.001830176896556074,0.0004275986561900259,0.007721348075613962,0.006212086959391327,0.0015092611162226353,0.0009951910076851644,-0.004996435145619277,0.005991626153304441,-0.011151800977590623,0.0012279547559481407,-0.012379755733538764,-0.0015579158908939766,-0.001468924902656299,-8.899098823767762e-05,0.011410173590368028,0.005836505941326803,0.005573667649041225,0.0038912770016239356,-0.0013115513999615968,0.005202828401585533,-0.005035243990318405,0.005665735539241668,-0.010700979529560072
2020-2021,TRAIN,KOSDAQ,MOMENTUM_X_REVISION,MOMENTUM,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,29,9,0.0015269663914226413,-0.0026805878589419223,0.004207554250364564,0.0021109403439316184,-0.031709084321948605,0.03382002466588022,-0.018386093561268937,-0.03395821732447362,0.015572123763204684,0.0036664766012612046,-0.03405482093734875,0.03772129753860995,-0.023009090056628743,0.007256443015373759,-0.030265533072002502,0.004609193144581318,-0.0034278840943858923,0.00803707723896721,0.004580120258062108,0.055394875917257815,-0.05081475565919571,0.002887772228939579,-0.0265158973556804,0.029403669584619978,-0.002817299752990962,-0.012472357829739829,0.009655058076748867,0.004097716366052782,0.003908144740012097,0.00018957162604068493,0.030900445510335595,0.020129168036771165,0.01077127747356443
2020-2021,TRAIN,KOSDAQ,MOMENTUM_X_REVISION,MOMENTUM,REVISION,ALT_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,8,18,0.0013699390720744,0.004677026281860206,-0.003307087209785806,-0.005277649459606059,0.015491122460925984,-0.020768771920532045,-0.01319668280534095,0.030125143519301727,-0.043321826324642675,-0.009199322402479282,0.011363197324457754,-0.020562519726937036,-0.016620559385741404,0.02065923036909986,-0.03727978975484127,-0.0004937015401600409,-0.008243734889851787,0.007750033349691746,0.007694149219492644,-0.02472138831239152,0.03241553753188416,-0.002385632697625581,0.020431719961277604,-0.022817352658903185,0.010383309885966724,0.026822223649809726,-0.016438913763843002,0.006431739829299579,0.00871945070557633,-0.002287710876276751,0.028715126535239888,0.0056987608746789965,0.02301636566056089
2020-2021,TRAIN,KOSDAQ,MOMENTUM_X_REVISION,MOMENTUM,REVISION,ALT_WMINUS_VS_NEUTRAL_WHEN_ANCHOR_RMINUS,8,18,0.006956141934704738,0.004677026281860206,0.002279115652844532,0.004368315820621521,0.015491122460925984,-0.011122806640304465,0.0091928978636419,0.030125143519301727,-0.020932245655659827,0.0013017475999173994,0.011363197324457754,-0.010061449724540355,0.027265120794130224,0.02065923036909986,0.006605890425030365,-0.0054633818187315025,-0.008243734889851787,0.0027803530711202843,0.023250396207692273,-0.02472138831239152,0.04797178452008379,0.004385596647992693,0.020431719961277604,-0.01604612331328491,0.008371324679931819,0.026822223649809726,-0.018450898969877907,-0.0013843036710220191,0.00871945070557633,-0.01010375437659835,0.00774767865294701,0.0056987608746789965,0.0020489177782680133
2020-2021,TRAIN,KOSDAQ,MOMENTUM_X_REVISION,MOMENTUM,REVISION,GENUINE_VS_DEFENSIVE_SUPPORT_WHEN_ANCHOR_RMINUS,8,8,0.0013699390720744,0.006956141934704738,-0.005586202862630338,-0.005277649459606059,0.004368315820621521,-0.00964596528022758,-0.01319668280534095,0.0091928978636419,-0.022389580668982847,-0.009199322402479282,0.0013017475999173994,-0.010501070002396681,-0.016620559385741404,0.027265120794130224,-0.04388568017987163,-0.0004937015401600409,-0.0054633818187315025,0.004969680278571462,0.007694149219492644,0.023250396207692273,-0.015556246988199629,-0.002385632697625581,0.004385596647992693,-0.006771229345618274,0.010383309885966724,0.008371324679931819,0.0020119852060349053,0.006431739829299579,-0.0013843036710220191,0.007816043500321598,0.028715126535239888,0.00774767865294701,0.020967447882292878
2020-2021,TRAIN,KOSDAQ,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,29,23,0.0015269663914226413,-0.0037693205277817905,0.005296286919204432,0.0021109403439316184,-0.002805719983507743,0.004916660327439362,-0.018386093561268937,0.000816860539630368,-0.019202954100899304,0.0036664766012612046,-0.0017917760284910584,0.005458252629752263,-0.023009090056628743,0.0028840475307137054,-0.02589313758734245,0.004609193144581318,0.006068741276579038,-0.0014595481319977198,0.004580120258062108,0.01785053912985758,-0.013270418871795473,0.002887772228939579,0.003858651348719182,-0.0009708791197796029,-0.002817299752990962,0.011609075840430891,-0.014426375593421853,0.004097716366052782,0.006890781791754406,-0.002793065425701624,0.030900445510335595,0.01046592380016488,0.020434521710170715
2020-2021,TRAIN,KOSDAQ,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFLICT_RMINUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,8,23,0.0013699390720744,-0.0037693205277817905,0.005139259599856191,-0.005277649459606059,-0.002805719983507743,-0.0024719294760983156,-0.01319668280534095,0.000816860539630368,-0.014013543344971317,-0.009199322402479282,-0.0017917760284910584,-0.007407546373988223,-0.016620559385741404,0.0028840475307137054,-0.01950460691645511,-0.0004937015401600409,0.006068741276579038,-0.006562442816739079,0.007694149219492644,0.01785053912985758,-0.010156389910364938,-0.002385632697625581,0.003858651348719182,-0.006244284046344762,0.010383309885966724,0.011609075840430891,-0.0012257659544641676,0.006431739829299579,0.006890781791754406,-0.0004590419624548271,0.028715126535239888,0.01046592380016488,0.018249202735075007
