universe,family_pair,anchor_family,other_family,contrast,outcome,n_years,sign_stability,median_train_diff,median_valid_diff,positive_valid_year_share
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,0.0,0.00445050454821707,-0.00331203772926867,0.0
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,1.0,0.002048596886210769,0.0022852732264950597,1.0
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,0.0,-0.004809441723623596,0.0319238939156206,1.0
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,1.0,-0.0028885420578021698,-0.004067740563277229,0.0
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,0.0,-0.006968290569931982,0.036666806412965505,1.0
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,0.0,-0.0016575988342151249,0.00594278659919403,1.0
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,1.0,0.012541330814014397,0.0019254425421473959,1.0
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,1.0,-0.004460876711002496,-0.0059615283137734315,0.0
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,0.0,-0.01517922656479746,0.04026496706282531,1.0
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,1.0,0.0022361537091258304,1.8443426277597354e-05,1.0
K200,REVISION_X_FLOW,REVISION,FLOW,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,1.0,0.0007349352978618003,0.013431274981720538,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,0.0,0.0031883804536128814,-0.0016968235340055829,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,0.0,-0.0007116710587243735,0.0036581201278593494,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,1.0,-0.029553269089424287,-0.004875628592719679,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,1.0,-0.00421391501429506,-2.5917313220155354e-05,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,0.0,-0.03232346614624371,0.0010210256734014614,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,1.0,-0.006428928087400539,-0.005320313973218989,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,0.0,-0.004586554254269568,0.00436445438561325,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,1.0,-0.005454932601649051,-0.002689102291654806,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,0.0,-0.033597954284296766,0.0016179318783500346,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,1.0,-0.002323144008798365,-5.822241186998877e-05,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,0.0,-0.005157599428877734,0.005104232561514481,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,1.0,-0.004537816415355344,-0.0009748845187848697,0.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,0.0,-0.012664921440933516,0.007836920273831857,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,0.0,-0.028579683175212388,0.007396818795147005,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,0.0,-0.010190345404327568,0.0079703553842137,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,0.0,-0.009831088815094499,0.0071285336592482144,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,1.0,0.00973989112557823,0.0017701943326736335,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,1.0,0.03428953144862888,0.002110333162181002,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_5d_diff,1,0.0,-0.012642253903507808,0.01780155312997796,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_top_fwd_20d_diff,1,0.0,-0.03655788389903776,0.014050769819496614,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_5d_diff,1,1.0,0.0033786128477854647,0.014853771050209307,1.0
KOSDAQ_PLUS_KOSPI_EX_K200,REVISION_X_VALUE,VALUE,REVISION,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,b_spread_fwd_20d_diff,1,0.0,-0.018999059111849636,0.011667836092475854,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_1d_diff,1,0.0,-0.0006973742872044513,0.006679057674698642,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_5d_diff,1,1.0,0.0014237343566531396,0.004192211897693558,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,mkt_20d_diff,1,0.0,-0.0057007006068059566,0.04651647298368958,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_5d_diff,1,1.0,-0.005142648412599037,-0.0007797982119312694,0.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_top_fwd_20d_diff,1,0.0,-0.0035213993717929,0.038793038556131865,1.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_5d_diff,1,1.0,-0.007084276710514296,-0.0007583250973083829,0.0
KOSPI_ALL,MOMENTUM_X_REVISION,REVISION,MOMENTUM,CONFIRM_WPLUS_VS_NEUTRAL_WHEN_ANCHOR_WPLUS,a_spread_fwd_20d_diff,1,0.0,0.0009595304899476563,-0.010943463008627483,0.0
