date,universe,factor,family,cut_name,spread_20d,strength_vs_cut,state
2016-02-01,K200,MOM1M,MOMENTUM,Q25,0.0537396785576465,4.628830920857171,WORKING
2016-02-11,K200,MOM1M,MOMENTUM,Q25,-0.02886301279886616,-2.4860961155391585,REVERSE
2016-02-18,K200,MOM1M,MOMENTUM,Q25,-0.06060090517152261,-5.2198180416909805,REVERSE
2016-02-25,K200,MOM1M,MOMENTUM,Q25,-0.0719210275865555,-6.194869141157166,REVERSE
2016-03-04,K200,MOM1M,MOMENTUM,Q25,-0.04771332821846186,-4.109755304131755,REVERSE
2016-03-11,K200,MOM1M,MOMENTUM,Q25,-0.0014727739463026301,-0.12685638926488232,NEUTRAL
2016-03-18,K200,MOM1M,MOMENTUM,Q25,-0.014958412335794091,-1.2884327447657022,REVERSE
2016-03-25,K200,MOM1M,MOMENTUM,Q25,-0.02523911677658397,-2.173954278964583,REVERSE
2016-04-01,K200,MOM1M,MOMENTUM,Q25,0.0039886178266381744,0.3435569028873155,NEUTRAL
2016-04-08,K200,MOM1M,MOMENTUM,Q25,0.007265879361095129,0.6258416119437242,NEUTRAL
2016-04-18,K200,MOM1M,MOMENTUM,Q25,0.00633189936798817,0.5453938759767528,NEUTRAL
2016-04-25,K200,MOM1M,MOMENTUM,Q25,0.046518699596459934,4.006856774537244,WORKING
2016-05-02,K200,MOM1M,MOMENTUM,Q25,0.022130977614004177,1.9062368111973822,WORKING
2016-05-11,K200,MOM1M,MOMENTUM,Q25,0.01695251329828329,1.4601932845050618,WORKING
2016-05-18,K200,MOM1M,MOMENTUM,Q25,0.03684061749530465,3.173241708597337,WORKING
2016-05-25,K200,MOM1M,MOMENTUM,Q25,0.010109467676583161,0.8707721711542669,NEUTRAL
2016-06-01,K200,MOM1M,MOMENTUM,Q25,-0.014854360488537943,-1.2794703091710249,REVERSE
2016-06-09,K200,MOM1M,MOMENTUM,Q25,-0.007174129036216947,-0.6179387596715573,NEUTRAL
2016-06-16,K200,MOM1M,MOMENTUM,Q25,-0.017606746000589313,-1.5165451764990114,REVERSE
2016-06-23,K200,MOM1M,MOMENTUM,Q25,-0.031797141843247445,-2.7388253392885757,REVERSE
2016-06-30,K200,MOM1M,MOMENTUM,Q25,-0.016492600236757027,-1.42057898354092,REVERSE
2016-07-07,K200,MOM1M,MOMENTUM,Q25,-0.019792090537481766,-1.7047783523681803,REVERSE
2016-07-14,K200,MOM1M,MOMENTUM,Q25,-0.003794407169633307,-0.32682869910135887,NEUTRAL
2016-07-21,K200,MOM1M,MOMENTUM,Q25,0.025154084291948653,2.166630063325015,WORKING
2016-07-28,K200,MOM1M,MOMENTUM,Q25,0.014856617496466384,1.2796647150247291,WORKING
2016-08-04,K200,MOM1M,MOMENTUM,Q25,0.009307339597296016,0.8016814107413762,NEUTRAL
2016-08-11,K200,MOM1M,MOMENTUM,Q25,-0.006667659747189747,-0.5743143694921695,NEUTRAL
2016-08-19,K200,MOM1M,MOMENTUM,Q25,0.010082399523085872,0.8684406740325571,NEUTRAL
2016-08-26,K200,MOM1M,MOMENTUM,Q25,0.0004000992694657146,0.034462280378708174,NEUTRAL
2016-09-02,K200,MOM1M,MOMENTUM,Q25,0.025209756630849345,2.171425362639348,WORKING
2016-09-09,K200,MOM1M,MOMENTUM,Q25,0.03442624802231853,2.9652816245238225,WORKING
2016-09-21,K200,MOM1M,MOMENTUM,Q25,-0.025591726260597025,-2.204326058744328,REVERSE
2016-09-28,K200,MOM1M,MOMENTUM,Q25,-0.005710936611345807,-0.4919076682845431,NEUTRAL
2016-10-06,K200,MOM1M,MOMENTUM,Q25,-0.07714151330466612,-6.6445321529662555,REVERSE
2016-10-13,K200,MOM1M,MOMENTUM,Q25,-0.07523491059543297,-6.480308216181418,REVERSE
