sample,universe,cut_name,factor_a,factor_b,family_pair,contrast,left_state,right_state,n_left,n_right,mkt_1d_diff,mkt_5d_diff,mkt_20d_diff,a_fwd_5d_diff,a_fwd_20d_diff,b_fwd_5d_diff,b_fwd_20d_diff
OOS,K200,Q25,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,22,17,-0.002179996212505377,-0.0004891332314741152,0.011717987839426437,-0.010219554324030773,-0.0201623885868222,0.0008188587076398031,-0.002367196149189586
OOS,K200,Q25,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,22,43,0.0012375828618881183,-0.003551052363673383,-0.0003518735235985837,-0.003809150236796529,-0.011544753663980473,0.0038708461720899454,-0.019469583451701848
OOS,K200,Q25,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,20,23,0.004435642078999917,0.02481797445888708,0.006428050869170761,0.02034211863978002,0.012822216797696951,-0.0058165544732746545,-0.008577617459169051
OOS,K200,Q25,MOM12_1,FOREIGN_FLOW,MOMENTUM_X_FLOW,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,20,43,0.007953434006377123,0.019659392950373996,-0.0023267641706350498,0.006611980641858144,-0.006772120888605196,-0.0063515062640390205,-0.024453966339229877
OOS,K200,Q25,MOM12_1,OP12_REV,MOMENTUM_X_REVISION,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,21,16,0.012059905158656101,0.0026664315361021804,-0.01545769535607145,-0.001515709694591168,-0.027021935322730402,-0.0070750576909919104,-0.015300812169805948
OOS,K200,Q25,MOM12_1,OP12_REV,MOMENTUM_X_REVISION,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,21,66,0.012549596635120338,0.00789627863988037,-0.009688178286255157,0.004986025997715322,-0.008025747835606209,-0.005420254159321475,-0.004694196574263027
OOS,K200,Q25,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,8,9,-0.010702229524453313,-0.03545728072036264,-0.05015337359447817,-0.0035532379506614405,-0.061920291008993475,0.002760632716886067,-0.004197030087924658
OOS,K200,Q25,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,8,65,-0.010459776323791295,-0.024394925589778394,-0.07141926344373678,-0.013930853042238353,-0.075249487046643,0.008203347817842183,0.007534172620864237
OOS,K200,Q25,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,23,16,0.011683650135914086,0.010790779819625371,-0.0004962158080637144,-0.00719432245924573,-0.009285168148248316,0.005456339010971582,0.018291124590914185
OOS,K200,Q25,MOM12_1,OPFY1_REV,MOMENTUM_X_REVISION,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,23,65,0.012950128633755041,0.004691731737169704,-0.01483203501789291,-0.010314052286140123,-0.010339825876144067,-0.00024415246669324056,0.0019927645302658704
OOS,K200,Q25,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,40,18,0.0004520778600701854,0.0070550862927662725,0.04579222384226916,0.009201986240566343,0.029530971318740773,-0.00717032867683571,0.0011251551055976756
OOS,K200,Q25,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,40,24,0.0009642803181184145,0.016808575257429105,0.004527235840477685,-0.011575489654473595,0.010306192853206216,0.0098420876768817,0.04482220747507732
OOS,K200,Q25,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_R_MINUS_N_OTHER_W,REVERSE|WORKING,NEUTRAL|WORKING,33,16,0.0026621475713929366,0.0037792498023370563,0.006202627085700511,-0.012685461724155331,0.004480270340329502,-0.0022930813795957426,-0.015594129885682125
OOS,K200,Q25,MOM12_1,PBR12MF,MOMENTUM_X_VALUE,MOM_R_OTHER_W_MINUS_BOTH_W,REVERSE|WORKING,WORKING|WORKING,33,24,0.00914486747395985,0.01799499335241811,-0.005440602396205418,-0.02118927994929731,-0.006074600655905971,0.007143588009198844,0.009877069227659132
OOS,K200,Q25,MOM12_1,PER12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_N,WORKING|REVERSE,WORKING|NEUTRAL,25,18,-0.008598132341136688,0.012986803208646088,0.0487699566354062,0.00706773136777736,0.009936382376850333,0.009895821726414747,0.04834511501625903
OOS,K200,Q25,MOM12_1,PER12MF,MOMENTUM_X_VALUE,MOM_W_OTHER_R_MINUS_W,WORKING|REVERSE,WORKING|WORKING,25,39,-0.002132259467253704,0.01594883458781383,0.04551767912258638,-0.005387821633958261,0.021039258642538604,0.01185264793363249,0.040265793559502806
