universe,factor,family,cut_name,abs_spread_cut,train_n
K200,MOM1M,MOMENTUM,Q25,0.011609773499286713,341
K200,MOM1M,MOMENTUM,Q33,0.01654334042324427,341
K200,MOM1M,MOMENTUM,Q50,0.026576095238944886,341
K200,MOM12_1,MOMENTUM,Q25,0.01473893554027117,341
K200,MOM12_1,MOMENTUM,Q33,0.019847452666247063,341
K200,MOM12_1,MOMENTUM,Q50,0.02794943863683752,341
K200,OP12_REV,REVISION,Q25,0.01077455551916029,341
K200,OP12_REV,REVISION,Q33,0.012955341899493952,341
K200,OP12_REV,REVISION,Q50,0.02013108503417005,341
K200,OPFY1_REV,REVISION,Q25,0.009857308639581563,341
K200,OPFY1_REV,REVISION,Q33,0.013824910473615226,341
K200,OPFY1_REV,REVISION,Q50,0.023170202483352886,341
K200,PBR12MF,VALUE,Q25,0.01347613426050387,341
K200,PBR12MF,VALUE,Q33,0.018069811955068887,341
K200,PBR12MF,VALUE,Q50,0.033132450074583764,341
K200,PER12MF,VALUE,Q25,0.013945217557859602,341
K200,PER12MF,VALUE,Q33,0.02190578425881506,341
K200,PER12MF,VALUE,Q50,0.03562630375417952,341
K200,PRIVATE_FLOW,FLOW,Q25,0.009358682218170156,341
K200,PRIVATE_FLOW,FLOW,Q33,0.01187715154430243,341
K200,PRIVATE_FLOW,FLOW,Q50,0.016949568756745803,341
K200,FOREIGN_FLOW,FLOW,Q25,0.008750229859794234,341
K200,FOREIGN_FLOW,FLOW,Q33,0.01337191240138132,341
K200,FOREIGN_FLOW,FLOW,Q50,0.019952754407464357,341
KOSDAQ,MOM1M,MOMENTUM,Q25,0.018655626660276647,341
KOSDAQ,MOM1M,MOMENTUM,Q33,0.0243564843472613,341
KOSDAQ,MOM1M,MOMENTUM,Q50,0.04033084791054531,341
KOSDAQ,MOM12_1,MOMENTUM,Q25,0.019376724308175497,341
KOSDAQ,MOM12_1,MOMENTUM,Q33,0.026111894187297684,341
KOSDAQ,MOM12_1,MOMENTUM,Q50,0.04013565766316196,341
KOSDAQ,OP12_REV,REVISION,Q25,0.013328772106450448,341
KOSDAQ,OP12_REV,REVISION,Q33,0.0178880895995905,341
KOSDAQ,OP12_REV,REVISION,Q50,0.030379389544703206,341
KOSDAQ,OPFY1_REV,REVISION,Q25,0.01393498810461169,341
KOSDAQ,OPFY1_REV,REVISION,Q33,0.01814759109519048,341
KOSDAQ,OPFY1_REV,REVISION,Q50,0.028110559191577233,341
KOSDAQ,PBR12MF,VALUE,Q25,0.01797409011377704,341
KOSDAQ,PBR12MF,VALUE,Q33,0.02312332296930686,341
KOSDAQ,PBR12MF,VALUE,Q50,0.03633531181400462,341
KOSDAQ,PER12MF,VALUE,Q25,0.015317513813632111,341
KOSDAQ,PER12MF,VALUE,Q33,0.021146645743041592,341
KOSDAQ,PER12MF,VALUE,Q50,0.03448559023105946,341
KOSDAQ,PRIVATE_FLOW,FLOW,Q25,0.012092279886931068,341
KOSDAQ,PRIVATE_FLOW,FLOW,Q33,0.015406715374563246,341
KOSDAQ,PRIVATE_FLOW,FLOW,Q50,0.022853773422767953,341
KOSDAQ,FOREIGN_FLOW,FLOW,Q25,0.011680155149456306,341
KOSDAQ,FOREIGN_FLOW,FLOW,Q33,0.015900312207168216,341
KOSDAQ,FOREIGN_FLOW,FLOW,Q50,0.02424087342400605,341
KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,Q25,0.0159075694163735,341
KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,Q33,0.021735599770013936,341
KOSDAQ_PLUS_KOSPI_EX_K200,MOM1M,MOMENTUM,Q50,0.034810997265361854,341
KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,Q25,0.014965532891560662,341
KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,Q33,0.02112848140781239,341
KOSDAQ_PLUS_KOSPI_EX_K200,MOM12_1,MOMENTUM,Q50,0.03270900179474023,341
KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,Q25,0.011948408461668447,341
KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,Q33,0.016254327689071497,341
KOSDAQ_PLUS_KOSPI_EX_K200,OP12_REV,REVISION,Q50,0.025698900864974505,341
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,Q25,0.014083234837936609,341
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,Q33,0.018602899465561446,341
KOSDAQ_PLUS_KOSPI_EX_K200,OPFY1_REV,REVISION,Q50,0.025829220766670602,341
KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,Q25,0.018052860183384478,341
KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,Q33,0.026591084608877564,341
KOSDAQ_PLUS_KOSPI_EX_K200,PBR12MF,VALUE,Q50,0.043149208702338404,341
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,Q25,0.015788181655150835,341
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,Q33,0.022483854875546234,341
KOSDAQ_PLUS_KOSPI_EX_K200,PER12MF,VALUE,Q50,0.03496946055805328,341
KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,Q25,0.007887208951888214,341
KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,Q33,0.010698874044592799,341
KOSDAQ_PLUS_KOSPI_EX_K200,PRIVATE_FLOW,FLOW,Q50,0.017376459746276884,341
KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q25,0.007034024916598991,341
KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q33,0.010554523922147913,341
KOSDAQ_PLUS_KOSPI_EX_K200,FOREIGN_FLOW,FLOW,Q50,0.016276637458922605,341
KOSPI_ALL,MOM1M,MOMENTUM,Q25,0.011463167846697209,341
KOSPI_ALL,MOM1M,MOMENTUM,Q33,0.017046562109500764,341
KOSPI_ALL,MOM1M,MOMENTUM,Q50,0.027062198946230742,341
KOSPI_ALL,MOM12_1,MOMENTUM,Q25,0.01347715539549077,341
KOSPI_ALL,MOM12_1,MOMENTUM,Q33,0.018302625782127824,341
KOSPI_ALL,MOM12_1,MOMENTUM,Q50,0.02660793162889674,341
KOSPI_ALL,OP12_REV,REVISION,Q25,0.011325740044053734,341
KOSPI_ALL,OP12_REV,REVISION,Q33,0.014284724544118296,341
KOSPI_ALL,OP12_REV,REVISION,Q50,0.022292231933378592,341
